## 1
## 처벌 수준을 현행 최고 1억원 벌금에서 2년 이하 징역으로 높이고 해외 계열사 현황을 의무적으로 공시토록 하는 내용이다.
## 처벌 수준을 현행 최고 <1억원:MNY> 벌금에서 <2년:DUR> 이하 징역으로 높이고 해외 계열사 현황을 의무적으로 공시토록 하는 내용이다.
처벌	처벌	NNG	O
다	다	EF	O
.	.	SF	O

## 9
## tvN 관계자는 26일 “방송사 대표 콘텐츠인 만큼 이전보다 더 많은 시청자를 확보하기 위해 생중계를 기획했다”며 “최근 중국을 포함해 아시아권 시청자가 출연자의 이름에 휩쓸리지 않고 다양한 콘텐츠를 찾는 추세이기도 하다”고 밝혔다.
## <tvN:POH> 관계자는 <26일:DAT> “방송사 대표 콘텐츠인 만큼 이전보다 더 많은 시청자를 확보하기 위해 생중계를 기획했다”며 “최근 <중국:ORG>을 포함해 <아시아:LOC>권 시청자가 출연자의 이름에 휩쓸리지 않고 다양한 콘텐츠를 찾는 추세이기도 하다”고 밝혔다.
tvN	tvN	SL	B-POH
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
26	26	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
방송사	방송사	NNG	O
_	_	_	O
대표	대표	NNG	O
_	_	_	O
콘텐츠	콘텐츠	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
이전	이전	NNG	O
보다	보다	JKB	O
_	_	_	O
더	더	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
시청자	시청자	NNG	O
를	를	JKO	O
_	_	_	O
확보하	확보하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
생	생	XPN	O
중계	중계	NNG	O
를	를	JKO	O
_	_	_	O
기획	기획하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
최근	최근	NNG	O
_	_	_	O
중국	중국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
포함해	포함하+여	VV+EC	O
_	_	_	O
아시아	아시아	NNP	B-LOC
권	권	XSN	O
_	_	_	O
시청자	시청자	NNG	O
가	가	JKS	O
_	_	_	O
출연자	출연자	NNG	O
의	의	JKG	O
_	_	_	O
이름	이름	NNG	O
에	에	JKB	O
_	_	_	O
휩쓸리	휩쓸리	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
콘텐츠	콘텐츠	NNG	O
를	를	JKO	O
_	_	_	O
찾	찾	VV	O
는	는	ETM	O
_	_	_	O
추세	추세	NNG	O
이	이	VCP	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
하	하	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이날 유가증권시장에서는 외국인과 개인이 각각 364억원, 185억원을 순매수했다.
## 이날 유가증권시장에서는 외국인과 개인이 각각 <364억원:MNY>, <185억원:MNY>을 순매수했다.
이날	이날	NNG	O
_	_	_	O
유가증권시장	유가증권시장	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
외국인	외국인	NNG	O
과	과	JC	O
_	_	_	O
개인	개인	NNG	O
이	이	JKS	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
364	364	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
185	185	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
순	순	MM	O
매수	매수하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 이날 방송에서 백종원은 떡볶이 소스로 설탕 한 컵, 굵은 고춧가루 한 컵(고추장 맛을 내는 효과), 고추장 2/3 컵, 진간장 반 컵, 물 한 컵을 넣고 섞어서 만들었다.
## 이날 방송에서 <백종원:PER>은 떡볶이 소스로 설탕 <한 컵:NOH>, 굵은 고춧가루 <한 컵:NOH>(고추장 맛을 내는 효과), 고추장 <2/3 컵:NOH>, 진간장 <반 컵:NOH>, 물 <한 컵:NOH>을 넣고 섞어서 만들었다.
이날	이날	NNG	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
백종원	백종원	NNP	B-PER
은	은	JX	O
_	_	_	O
떡볶이	떡볶이	NNG	O
_	_	_	O
소스	소스	NNG	O
로	로	JKB	O
_	_	_	O
설탕	설탕	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
컵	컵	NNG	I-NOH
,	,	SP	O
_	_	_	O
굵	굵	VA	O
은	은	ETM	O
_	_	_	O
고춧가루	고춧가루	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
컵	컵	NNG	I-NOH
(	(	SS	O
고추장	고추장	NNG	O
_	_	_	O
맛	맛	NNG	O
을	을	JKO	O
_	_	_	O
내	내	VV	O
는	는	ETM	O
_	_	_	O
효과	효과	NNG	O
)	)	SS	O
,	,	SP	O
_	_	_	O
고추장	고추장	NNG	O
_	_	_	O
2	2	SN	B-NOH
/	/	SP	I-NOH
3	3	SN	I-NOH
_	_	_	I-NOH
컵	컵	NNG	I-NOH
,	,	SP	O
_	_	_	O
진간장	진간장	NNG	O
_	_	_	O
반	반	NNG	B-NOH
_	_	_	I-NOH
컵	컵	NNG	I-NOH
,	,	SP	O
_	_	_	O
물	물	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
컵	컵	NNG	I-NOH
을	을	JKO	O
_	_	_	O
넣	넣	VV	O
고	고	EC	O
_	_	_	O
섞	섞	VV	O
어서	어서	EC	O
_	_	_	O
만들	만들	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 백종원은 떡국 떡 두 컵을 준비해 헹궈준 후 부재료로 파, 어묵을 준비했다.
## <백종원:PER>은 떡국 떡 <두 컵:NOH>을 준비해 헹궈준 후 부재료로 파, 어묵을 준비했다.
백종원	백종원	NNP	B-PER
은	은	JX	O
_	_	_	O
떡국	떡국	NNG	O
_	_	_	O
떡	떡	NNG	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
컵	컵	NNG	I-NOH
을	을	JKO	O
_	_	_	O
준비해	준비하+여	VV+EC	O
_	_	_	O
헹궈	헹구+어	VV+EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
부	부	XPN	O
재료	재료	NNG	O
로	로	JKB	O
_	_	_	O
파	파	NNG	O
,	,	SP	O
_	_	_	O
어묵	어묵	NNG	O
을	을	JKO	O
_	_	_	O
준비	준비하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 이로써 그는 일본과 미국 프로야구를 합쳐 개인 통산 1968번째 득점을 기록했다.
## 이로써 그는 <일본:ORG>과 <미국:ORG> 프로야구를 합쳐 개인 통산 <1968번:NOH>째 득점을 기록했다.
이	이	NP	O
로써	로써	JKB	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
일본	일본	NNP	B-ORG
과	과	JC	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
프로	프로	NNG	O
야구	야구	NNG	O
를	를	JKO	O
_	_	_	O
합쳐	합치+어	VV+EC	O
_	_	_	O
개인	개인	NNG	O
_	_	_	O
통산	통산	NNG	O
_	_	_	O
1968	1968	SN	B-NOH
번째	번째	NNB	O
_	_	_	O
득점	득점	NNG	O
을	을	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 또 전원책이 “연말에 연예대상에서 신인상 들어오지 않을까?”라고 묻자 유시민은 “‘복면가왕’ 한 번 나왔다고 심사 대상이 되지는 않는다”고 답해 웃음을 자아냈다.
## 또 <전원책:PER>이 “연말에 연예대상에서 신인상 들어오지 않을까?”라고 묻자 <유시민:PER>은 “‘<복면가왕:POH>’ 한 번 나왔다고 심사 대상이 되지는 않는다”고 답해 웃음을 자아냈다.
또	또	MAG	O
_	_	_	O
전원책	전원책	NNP	B-PER
이	이	JKS	O
_	_	_	O
“	“	SS	O
연말	연말	NNG	O
에	에	JKB	O
_	_	_	O
연예	연예	NNG	O
대상	대상	NNG	O
에서	에서	JKB	O
_	_	_	O
신인	신인	NNG	O
상	상	NNG	O
_	_	_	O
들어오	들어오	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
을까	을까	EF	O
?	?	SF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
묻	묻	VV	O
자	자	EC	O
_	_	_	O
유시민	유시민	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
‘	‘	SS	O
복면	복면	NNG	B-POH
가왕	가왕	NNG	I-POH
’	’	SS	O
_	_	_	O
한	한	MM	O
_	_	_	O
번	번	NNB	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다고	다고	EC	O
_	_	_	O
심사	심사	NNG	O
_	_	_	O
대상	대상	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
지	지	EC	O
는	는	JX	O
_	_	_	O
않	않	VX	O
는다	는다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
답해	답하+여	VV+EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
자아냈	자아내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

