## 1
## 윤석진 충남대 국문과 교수는 “그간 많은 드라마를 통해 과거는 이미 충분히 돌아봤지만 이렇다할 답을 찾지 못했기 때문에 다시 앞으로 나아가고자 하는 욕망이 생겨났다”며 “‘김과장’ ‘역적’ ‘피고인’ 등이 함께 뜨는 데는 그만한 이유가 있는 것”이라고 분석했다.
## <윤석진:PER> <충남대:ORG> 국문과 교수는 “그간 많은 드라마를 통해 과거는 이미 충분히 돌아봤지만 이렇다할 답을 찾지 못했기 때문에 다시 앞으로 나아가고자 하는 욕망이 생겨났다”며 “‘<김과장:POH>’ ‘<역적:POH>’ ‘<피고인:POH>’ 등이 함께 뜨는 데는 그만한 이유가 있는 것”이라고 분석했다.
윤석진	윤석진	NNP	B-PER
남성	남성	NNG	O
,	,	SP	O
_	_	_	O
환각	환각	NNG	O
_	_	_	O
상태	상태	NNG	O
서	서	JKB	O
_	_	_	O
출근길	출근길	NNG	O
_	_	_	O
차량	차량	NNG	O
에	에	JKB	O
_	_	_	O
각목	각목	NNG	O
_	_	_	O
투척	투척	NNG	O
!	!	SF	O

## 8
## 박 대통령은 기업 관계자들을 직접 만나거나 청와대 참모들을 통해 최씨의 요구가 이뤄지도록 했다.
## <박:PER> 대통령은 기업 관계자들을 직접 만나거나 <청와대:ORG> 참모들을 통해 <최:PER>씨의 요구가 이뤄지도록 했다.
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
기업	기업	NNG	O
_	_	_	O
관계자	관계자	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
만나	만나	VV	O
거나	거나	EC	O
_	_	_	O
청와대	청와대	NNP	B-ORG
_	_	_	O
참모	참모	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
최	최	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
요구	요구	NNG	O
가	가	JKS	O
_	_	_	O
이뤄지	이루어지	VV	O
도록	도록	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 9
## 평범한 민간인인 최씨가 딸의 승마 훈련 비용을 기업들이 대도록 한 데에는 박 대통령이 있었기에 가능했다.
## 평범한 민간인인 <최:PER>씨가 딸의 승마 훈련 비용을 기업들이 대도록 한 데에는 <박:PER> 대통령이 있었기에 가능했다.
평범한	평범하+ㄴ	VA+ETM	O
_	_	_	O
민간인	민간인	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
최	최	NNP	B-PER
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
딸	딸	NNG	O
의	의	JKG	O
_	_	_	O
승마	승마	NNG	O
_	_	_	O
훈련	훈련	NNG	O
_	_	_	O
비용	비용	NNG	O
을	을	JKO	O
_	_	_	O
기업	기업	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
대	대	VV	O
도록	도록	EC	O
_	_	_	O
한	하+ㄴ	VX+ETM	O
_	_	_	O
데	데	NNB	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
기에	기에	EC	O
_	_	_	O
가능	가능하	VA	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 지난해 ‘핫 제약기업’이 글로벌 제약회사와 8조원 규모의 기술수출계약을 체결해 잭팟을 터뜨린 한미약품이었다면 올해는 종근당이 될 듯하다.
## 지난해 ‘핫 제약기업’이 글로벌 제약회사와 <8조원:MNY> 규모의 기술수출계약을 체결해 잭팟을 터뜨린 <한미약품:ORG>이었다면 올해는 <종근당:ORG>이 될 듯하다.
지난해	지난해	NNG	O
_	_	_	O
‘	‘	SS	O
핫	핫	NNG	O
_	_	_	O
제약	제약	NNG	O
기업	기업	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
제약	제약	NNG	O
회사	회사	NNG	O
와	와	JC	O
_	_	_	O
8	8	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
규모	규모	NNG	O
의	의	JKG	O
_	_	_	O
기술	기술	NNG	O
수출	수출	NNG	O
계약	계약	NNG	O
을	을	JKO	O
_	_	_	O
체결해	체결하+여	VV+EC	O
_	_	_	O
잭팟	잭팟	NNG	O
을	을	JKO	O
_	_	_	O
터뜨린	터뜨리+ㄴ	VV+ETM	O
_	_	_	O
한미약품	한미약품	NNP	B-ORG
이	이	VCP	O
었	었	EP	O
다면	다면	EC	O
_	_	_	O
올해	올해	NNG	O
는	는	JX	O
_	_	_	O
종근당	종근당	NNP	B-ORG
이	이	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
듯하	듯하	VX	O
다	다	EF	O
.	.	SF	O

## 11
## 김소정, 복고 매력 방출…‘마이클 잭슨 연상 무대’
## <김소정:PER>, 복고 매력 방출…‘<마이클 잭슨:PER> 연상 무대’
김소정	김소정	NNP	B-PER
,	,	SP	O
_	_	_	O
복고	복고	NNG	O
_	_	_	O
매력	매력	NNG	O
_	_	_	O
방출	방출	NNG	O
…	…	SE	O
‘	‘	SS	O
마이클	마이클	NNP	B-PER
_	_	_	I-PER
잭슨	잭슨	NNP	I-PER
_	_	_	O
연상	연상	NNG	O
_	_	_	O
무대	무대	NNG	O
’	’	SS	O

## 12
## 미래부는 케이블, 위성, IPTV 등 유료방송 사업자가 전송 방식을 효율적으로 혼합한 서비스를 선보이면 시청자의 상품 선택권이 넓어져 편익이 증대되고 사업자 간 경쟁도 촉진될 것으로 판단했다.
## <미래부:ORG>는 케이블, 위성, IPTV 등 유료방송 사업자가 전송 방식을 효율적으로 혼합한 서비스를 선보이면 시청자의 상품 선택권이 넓어져 편익이 증대되고 사업자 간 경쟁도 촉진될 것으로 판단했다.
미래	미래	NNG	B-ORG
부	부	XSN	I-ORG
는	는	JX	O
_	_	_	O
케이블	케이블	NNG	O
,	,	SP	O
_	_	_	O
위성	위성	NNG	O
,	,	SP	O
_	_	_	O
IPTV	IPTV	SL	O
_	_	_	O
등	등	NNB	O
_	_	_	O
유료	유료	NNG	O
방송	방송	NNG	O
_	_	_	O
사업자	사업자	NNG	O
가	가	JKS	O
_	_	_	O
전송	전송	NNG	O
_	_	_	O
방식	방식	NNG	O
을	을	JKO	O
_	_	_	O
효율적	효율적	NNG	O
으로	으로	JKB	O
_	_	_	O
혼합한	혼합하+ㄴ	VV+ETM	O
_	_	_	O
서비스	서비스	NNG	O
를	를	JKO	O
_	_	_	O
선보이	선보이	VV	O
면	면	EC	O
_	_	_	O
시청자	시청자	NNG	O
의	의	JKG	O
_	_	_	O
상품	상품	NNG	O
_	_	_	O
선택권	선택권	NNG	O
이	이	JKS	O
_	_	_	O
넓어져	넓어지+어	VV+EC	O
_	_	_	O
편익	편익	NNG	O
이	이	JKS	O
_	_	_	O
증대되	증대되	VV	O
고	고	EC	O
_	_	_	O
사업자	사업자	NNG	O
_	_	_	O
간	간	NNB	O
_	_	_	O
경쟁	경쟁	NNG	O
도	도	JX	O
_	_	_	O
촉진될	촉진되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
판단	판단하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 나는 WBA(세계권투협회) 여자 수퍼페더급 세계챔피언 최현미(26)다.
## 나는 <WBA:ORG>(<세계권투협회:ORG>) 여자 수퍼페더급 세계챔피언 <최현미:PER>(<26:NOH>)다.
나	나	NP	O
는	는	JX	O
_	_	_	O
WBA	WBA	SL	B-ORG
(	(	SS	O
세계권투협회	세계권투협회	NNP	B-ORG
)	)	SS	O
_	_	_	O
여자	여자	NNG	O
_	_	_	O
수퍼	수퍼	NNG	O
페더급	페더급	NNG	O
_	_	_	O
세계	세계	NNG	O
챔피언	챔피언	NNG	O
_	_	_	O
최현미	최현미	NNP	B-PER
(	(	SS	O
26	26	SN	B-NOH
)	)+이	SS+VCP	O
다	다	EF	O
.	.	SF	O

## 14
## ‘강두리 교통사교’14일 신인 배우 강두리(22)가 교통사고로 세상을 떠났다.
## ‘<강두리 교통사교:POH>’<14일:DAT> 신인 배우 <강두리:PER>(<22:NOH>)가 교통사고로 세상을 떠났다.
‘	‘	SS	O
강두리	강두리	NNP	B-POH
_	_	_	I-POH
교통	교통	NNG	I-POH
사교	사교	NNG	I-POH
’	’	SS	O
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
신인	신인	NNG	O
_	_	_	O
배우	배우	NNG	O
_	_	_	O
강두리	강두리	NNP	B-PER
(	(	SS	O
22	22	SN	B-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
교통사고	교통사고	NNG	O
로	로	JKB	O
_	_	_	O
세상	세상	NNG	O
을	을	JKO	O
_	_	_	O
떠났	떠나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 15
## 방용훈 사장은 방상훈 조선일보 사장의 동생이다.
## <방용훈:PER> 사장은 <방상훈:PER> <조선일보:ORG> 사장의 동생이다.
방용훈	방용훈	NNP	B-PER
_	_	_	O
사장	사장	NNG	O
은	은	JX	O
_	_	_	O
방상훈	방상훈	NNP	B-PER
_	_	_	O
조선일보	조선일보	NNP	B-ORG
_	_	_	O
사장	사장	NNG	O
의	의	JKG	O
_	_	_	O
동생	동생	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

