## 1
## 메르세데스벤츠코리아㈜가 수입·판매한 이 차량은 엔진 핵심 기능을 제어하는 전자장치인 ‘ECU(Electronic Control Unit)’에서 결함이 발견됐다.
## <메르세데스벤츠코리아㈜:ORG>가 수입·판매한 이 차량은 엔진 핵심 기능을 제어하는 전자장치인 ‘ECU(Electronic Control Unit)’에서 결함이 발견됐다.
메르세데스벤츠코리아	메르세데스벤츠코리아	NNP	B-ORG
## 최운정은 보기 없이 버디만 6개를 잡는 깔끔한 경기를 했다.
## <최운정:PER>은 보기 없이 버디만 <6개:NOH>를 잡는 깔끔한 경기를 했다.
최운정	최운정	NNP	B-PER
은	은	JX	O
_	_	_	O
보기	보기	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
버디	버디	NNG	O
만	만	JX	O
_	_	_	O
6	6	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
잡	잡	VV	O
는	는	ETM	O
_	_	_	O
깔끔한	깔끔하+ㄴ	VA+ETM	O
_	_	_	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 단지는 웰빙타운로를 통해서 진입할 수 있고, 3면이 광교산으로 둘러싸여 있어 쾌적한 전원생활을 누릴 수 있다.
## 단지는 웰빙타운로를 통해서 진입할 수 있고, <3면:NOH>이 <광교산:LOC>으로 둘러싸여 있어 쾌적한 전원생활을 누릴 수 있다.
단지	단지	NNG	O
는	는	JX	O
_	_	_	O
웰빙	웰빙	NNG	O
타운	타운	NNG	O
로	로	XSN	O
를	를	JKO	O
_	_	_	O
통해서	통하+여서	VV+EC	O
_	_	_	O
진입할	진입하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
면	면	NNG	I-NOH
이	이	JKS	O
_	_	_	O
광교산	광교산	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
둘러싸	둘러싸이	VV	O
여	어	EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
_	_	_	O
쾌적한	쾌적하+ㄴ	VA+ETM	O
_	_	_	O
전원생활	전원생활	NNG	O
을	을	JKO	O
_	_	_	O
누릴	누리+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 상대 수비수가 적은 속공 상황에서 무리하게 3점슛을 던지는 욕심도 부렸다.
## 상대 수비수가 적은 속공 상황에서 무리하게 <3점:NOH>슛을 던지는 욕심도 부렸다.
상대	상대	NNG	O
_	_	_	O
수비수	수비수	NNG	O
가	가	JKS	O
_	_	_	O
적	적	VA	O
은	은	ETM	O
_	_	_	O
속공	속공	NNG	O
_	_	_	O
상황	상황	NNG	O
에서	에서	JKB	O
_	_	_	O
무리하	무리하	VV	O
게	게	EC	O
_	_	_	O
3	3	SN	B-NOH
점	점	NNB	I-NOH
슛	슛	NNG	O
을	을	JKO	O
_	_	_	O
던지	던지	VV	O
는	는	ETM	O
_	_	_	O
욕심	욕심	NNG	O
도	도	JX	O
_	_	_	O
부	부리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이어 약 13분 뒤 거의 같은 곳에서 규모 3.8의 여진이 이어졌다.
## 이어 약 <13분:NOH> 뒤 거의 같은 곳에서 <규모 3.8:NOH>의 여진이 이어졌다.
이	잇	VV	O
어	어	EC	O
_	_	_	O
약	약	MM	O
_	_	_	O
13	13	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
곳	곳	NNG	O
에서	에서	JKB	O
_	_	_	O
규모	규모	NNG	B-NOH
_	_	_	I-NOH
3.8	3.8	SN	I-NOH
의	의	JKG	O
_	_	_	O
여진	여진	NNG	O
이	이	JKS	O
_	_	_	O
이어	이어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 2015년에 114명(육군 85명, 해군 29명), 2014년에 131명(육군 107명, 해군 24명)의 군장학생을 배출했다.
## <2015년:DAT>에 <114명:NOH>(육군 <85명:NOH>, 해군 <29명:NOH>), <2014년:DAT>에 <131명:NOH>(육군 <107명:NOH>, 해군 <24명:NOH>)의 군장학생을 배출했다.
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
114	114	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
육군	육군	NNG	O
_	_	_	O
85	85	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
해군	해군	NNG	O
_	_	_	O
29	29	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
131	131	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
육군	육군	NNG	O
_	_	_	O
107	107	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
해군	해군	NNG	O
_	_	_	O
24	24	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
군장	군장	NNG	O
학생	학생	NNG	O
을	을	JKO	O
_	_	_	O
배출	배출하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## FCA코리아는 지프 최초의 소형 스포츠유틸리티차량(SUV) 모델 ‘올 뉴 지프 레니게이드’를 국내에 출시했다.
## <FCA코리아:ORG>는 <지프:POH> 최초의 소형 스포츠유틸리티차량(SUV) 모델 ‘<올 뉴 지프 레니게이드:POH>’를 국내에 출시했다.
FCA	FCA	SL	B-ORG
코리아	코리아	NNP	I-ORG
는	는	JX	O
_	_	_	O
지프	지프	NNG	B-POH
_	_	_	O
최초	최초	NNG	O
의	의	JKG	O
_	_	_	O
소형	소형	NNG	O
_	_	_	O
스포츠	스포츠	NNG	O
유틸리티	유틸리티	NNG	O
차량	차량	NNG	O
(	(	SS	O
SUV	SUV	SL	O
)	)	SS	O
_	_	_	O
모델	모델	NNG	O
_	_	_	O
‘	‘	SS	O
올	올	NNG	B-POH
_	_	_	I-POH
뉴	뉴	NNG	I-POH
_	_	_	I-POH
지프	지프	NNG	I-POH
_	_	_	I-POH
레니게이드	레니게이드	NNP	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
국내	국내	NNG	O
에	에	JKB	O
_	_	_	O
출시	출시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 전국 각지 대학에 재학 중인 20여 명의 동아리 회원을 모아 서울 동작구 국립서울현충원에서 비석을 닦는 등 일일봉사에 나서기 위한 준비 작업 때문이다.
## 전국 각지 대학에 재학 중인 <20여 명:NOH>의 동아리 회원을 모아 <서울:LOC> <동작구:LOC> <국립서울현충원:LOC>에서 비석을 닦는 등 일일봉사에 나서기 위한 준비 작업 때문이다.
전국	전국	NNG	O
_	_	_	O
각지	각지	NNG	O
_	_	_	O
대학	대학	NNG	O
에	에	JKB	O
_	_	_	O
재학	재학	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
20	20	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
동아리	동아리	NNG	O
_	_	_	O
회원	회원	NNG	O
을	을	JKO	O
_	_	_	O
모	모으	VV	O
아	아	EC	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
동작구	동작구	NNP	B-LOC
_	_	_	O
국립서울현충원	국립서울현충원	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
비석	비석	NNG	O
을	을	JKO	O
_	_	_	O
닦	닦	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
일일	일일	NNG	O
봉사	봉사	NNG	O
에	에	JKB	O
_	_	_	O
나서	나서	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
준비	준비	NNG	O
_	_	_	O
작업	작업	NNG	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 리버풀시의 매슈가는 록밴드 비틀스가 로컬밴드에서 글로벌 스타로 도약하는 데 발판 역할을 한 전설의 캐번(Cavern) 라이브 클럽이 있어 늘 관광객의 발길이 끊이지 않는 명소다.
## <리버풀시:LOC>의 <매슈가:LOC>는 록밴드 <비틀스:ORG>가 로컬밴드에서 글로벌 스타로 도약하는 데 발판 역할을 한 전설의 <캐번(Cavern) 라이브 클럽:POH>이 있어 늘 관광객의 발길이 끊이지 않는 명소다.
리버풀	리버풀	NNP	B-LOC
시	시	NNG	I-LOC
의	의	JKG	O
_	_	_	O
매슈	매슈	NNP	B-LOC
가	가	VV	I-LOC
는	는	ETM	O
_	_	_	O
록	록	NNG	O
밴드	밴드	NNG	O
_	_	_	O
비틀스	비틀스	NNP	B-ORG
가	가	JKS	O
_	_	_	O
로컬	로컬	NNG	O
밴드	밴드	NNG	O
에서	에서	JKB	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
스타	스타	NNG	O
로	로	JKB	O
_	_	_	O
도약하	도약하	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
발판	발판	NNG	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
전설	전설	NNG	O
의	의	JKG	O
_	_	_	O
캐번	캐번	NNG	B-POH
(	(	SS	I-POH
Cavern	Cavern	SL	I-POH
)	)	SS	I-POH
_	_	_	I-POH
라이브	라이브	NNG	I-POH
_	_	_	I-POH
클럽	클럽	NNG	I-POH
이	이	JKS	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
늘	늘	MAG	O
_	_	_	O
관광객	관광객	NNG	O
의	의	JKG	O
_	_	_	O
발길	발길	NNG	O
이	이	JKS	O
_	_	_	O
끊이	끊이	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
명소	명소+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 누적 구매 금액이 1만 원 이상 2만 원 미만인 유저는 2천 원, 2만 원 이상 5만 원 미만은 5천 원, 5만 원 이상 10만 원 미만은 만원, 10만 원 이상 25만 원 미만은 2만 5천 원,25만 원 이상 50만 원 미만은 6만 원, 50만 원 이상이면 10만 원 캐쉬백이 제공된다.
## 누적 구매 금액이 <1만 원:MNY> 이상 <2만 원:MNY> 미만인 유저는 <2천 원:MNY>, <2만 원:MNY> 이상 <5만 원:MNY> 미만은 <5천 원:MNY>, <5만 원:MNY> 이상 <10만 원:MNY> 미만은 <만원:MNY>, <10만 원:MNY> 이상 <25만 원:MNY> 미만은 <2만 5천 원:MNY>,<25만 원:MNY> 이상 <50만 원:MNY> 미만은 <6만 원:MNY>, <50만 원:MNY> 이상이면 <10만 원:MNY> 캐쉬백이 제공된다.
누적	누적	NNG	O
_	_	_	O
구매	구매	NNG	O
_	_	_	O
금액	금액	NNG	O
이	이	JKS	O
_	_	_	O
1	1	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
_	_	_	O
2	2	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
미만	미만	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
유저	유저	NNG	O
는	는	JX	O
_	_	_	O
2	2	SN	B-MNY
천	천	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
2	2	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
_	_	_	O
5	5	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
미만	미만	NNG	O
은	은	JX	O
_	_	_	O
5	5	SN	B-MNY
천	천	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
5	5	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
_	_	_	O
10	10	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
미만	미만	NNG	O
은	은	JX	O
_	_	_	O
만	만	NR	B-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
10	10	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
_	_	_	O
25	25	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
미만	미만	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
5	5	SN	I-MNY
천	천	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
25	25	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
_	_	_	O
50	50	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
미만	미만	NNG	O
은	은	JX	O
_	_	_	O
6	6	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
50	50	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
이	이	VCP	O
면	면	EC	O
_	_	_	O
10	10	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
캐쉬백	캐쉬백	NNG	O
이	이	JKS	O
_	_	_	O
제공된다	제공되+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 렉서스는 지난 22일부터 23일까지 2일간 성수동에 위치한 트레이닝 센터에서 ‘렉서스 고객서비스 기술경진대회’를 가졌다고 27일 밝혔다.
## <렉서스:ORG>는 지난 <22일부터 23일:DUR>까지 <2일간:DUR> <성수동:LOC>에 위치한 트레이닝 센터에서 ‘<렉서스 고객서비스 기술경진대회:POH>’를 가졌다고 <27일:DAT> 밝혔다.
렉서스	렉서스	NNP	B-ORG
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
22	22	SN	B-DUR
일	일	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
23	23	SN	I-DUR
일	일	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
2	2	SN	B-DUR
일	일	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
성수동	성수동	NNP	B-LOC
에	에	JKB	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
트레이닝	트레이닝	NNG	O
_	_	_	O
센터	센터	NNG	O
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
렉서스	렉서스	NNP	B-POH
_	_	_	I-POH
고객	고객	NNG	I-POH
서비스	서비스	NNG	I-POH
_	_	_	I-POH
기술	기술	NNG	I-POH
경진	경진	NNG	I-POH
대회	대회	NNG	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
가	가지	VV	O
졌	었	EP	O
다고	다고	EC	O
_	_	_	O
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 이번 경진대회에는 렉서스 8개 딜러에서 근무하는 267명의 테크니션 및 서비스 어드바이저 중 자체 경연을 통해 선발된 ‘최고 서비스 고수’ 32명이 참가해 서비스 어드바이저, 판금, 도장, 일반정비, 부품의 5개 부문에서 실제 고객응대 상황을 방불케 하는 필기 및 실기 시험을 치뤘다.
## 이번 경진대회에는 <렉서스:ORG> <8개:NOH> 딜러에서 근무하는 <267명:NOH>의 테크니션 및 서비스 어드바이저 중 자체 경연을 통해 선발된 ‘최고 서비스 고수’ <32명:NOH>이 참가해 서비스 어드바이저, 판금, 도장, 일반정비, 부품의 <5개:NOH> 부문에서 실제 고객응대 상황을 방불케 하는 필기 및 실기 시험을 치뤘다.
이번	이번	NNG	O
_	_	_	O
경진	경진	NNG	O
대회	대회	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
렉서스	렉서스	NNP	B-ORG
_	_	_	O
8	8	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
딜러	딜러	NNG	O
에서	에서	JKB	O
_	_	_	O
근무하	근무하	VV	O
는	는	ETM	O
_	_	_	O
267	267	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
테크니션	테크니션	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
어드바이저	어드바이저	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
자체	자체	NNG	O
_	_	_	O
경연	경연	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
선발된	선발되+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
최고	최고	NNG	O
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
고수	고수	NNG	O
’	’	SS	O
_	_	_	O
32	32	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
참가해	참가하+여	VV+EC	O
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
어드바이저	어드바이저	NNG	O
,	,	SP	O
_	_	_	O
판금	판금	NNG	O
,	,	SP	O
_	_	_	O
도장	도장	NNG	O
,	,	SP	O
_	_	_	O
일반	일반	NNG	O
정비	정비	NNG	O
,	,	SP	O
_	_	_	O
부품	부품	NNG	O
의	의	JKG	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
부문	부문	NNG	O
에서	에서	JKB	O
_	_	_	O
실제	실제	NNG	O
_	_	_	O
고객	고객	NNG	O
응대	응대	NNG	O
_	_	_	O
상황	상황	NNG	O
을	을	JKO	O
_	_	_	O
방불	방불하	VA	O
케	게	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
필기	필기	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
실기	실기	NNG	O
_	_	_	O
시험	시험	NNG	O
을	을	JKO	O
_	_	_	O
치	치루	VV	O
뤘	었	EP	O
다	다	EF	O
.	.	SF	O

