## 1
## 알파고가 지고 있을 때 이상한 수를 놓는 상황과 비슷하다”고 백 대표는 말했다.백 대표는 DIB의 신뢰도를 높이는 것이 가장 중요한 일이라고 판단한다.
## <알파고:POH>가 지고 있을 때 이상한 수를 놓는 상황과 비슷하다”고 <백:PER> 대표는 말했다.<백:PER> 대표는 DIB의 신뢰도를 높이는 것이 가장 중요한 일이라고 판단한다.
알	알	NNP	B-POH
을	을	JKO	O
_	_	_	O
짜	짜	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 권 씨는 “달려서, 사람을 만나서 좋다”고 말했다.
## <권:PER> 씨는 “달려서, 사람을 만나서 좋다”고 말했다.
권	권	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
달려서	달리+어서	VV+EC	O
,	,	SP	O
_	_	_	O
사람	사람	NNG	O
을	을	JKO	O
_	_	_	O
만나서	만나+아서	VV+EC	O
_	_	_	O
좋	좋	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 검찰 공소장에는 박창진 사무장이 조 전 부사장에게 “이미 비행기가 활주로로 들어서기 시작해 비행기를 세울 수 없다”고 했으나 조현아 전 부사장이 “상관없어, 니가 나한테 대들어, 어따 대고 말대꾸야”라고 서너 차례 말한 것으로 작성돼 있다.‘조현아 오늘 첫 공판’ 소식을 접한 네티즌들은 “조현아 오늘 첫 공판, 드디어 첫 공판이구나”, “조현아 오늘 첫 공판, 국민적 공분을 산 사건인 만큼 제대로 처벌 받을 수 있는 판결이 나오길 바랍니다”,
## 검찰 공소장에는 <박창진:PER> 사무장이 <조:PER> 전 부사장에게 “이미 비행기가 활주로로 들어서기 시작해 비행기를 세울 수 없다”고 했으나 <조현아:PER> 전 부사장이 “상관없어, 니가 나한테 대들어, 어따 대고 말대꾸야”라고 서너 차례 말한 것으로 작성돼 있다.‘<조현아:PER> 오늘 첫 공판’ 소식을 접한 네티즌들은 “<조현아:PER> 오늘 첫 공판, 드디어 첫 공판<이구:PER>나”, “<조현아:PER> 오늘 첫 공판, 국민적 공분을 산 사건인 만큼 제대로 처벌 받을 수 있는 판결이 나오길 바랍니다”,
검찰	검찰	NNG	O
_	_	_	O
공소장	공소장	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
박창진	박창진	NNP	B-PER
_	_	_	O
사무장	사무장	NNG	O
이	이	JKS	O
_	_	_	O
조	조	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
부사장	부사장	NNG	O
에게	에게	JKB	O
_	_	_	O
“	“	SS	O
이미	이미	MAG	O
_	_	_	O
비행기	비행기	NNG	O
가	가	JKS	O
_	_	_	O
활주로	활주로	NNG	O
로	로	JKB	O
_	_	_	O
들어서	들어서	VV	O
기	기	ETN	O
_	_	_	O
시작해	시작하+여	VV+EC	O
_	_	_	O
비행기	비행기	NNG	O
를	를	JKO	O
_	_	_	O
세울	세우+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
으나	으나	EC	O
_	_	_	O
조현아	조현아	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
부사장	부사장	NNG	O
이	이	JKS	O
_	_	_	O
“	“	SS	O
상관없	상관없	VA	O
어	어	EC	O
,	,	SP	O
_	_	_	O
니	니	NP	O
가	가	JKS	O
_	_	_	O
나	나	NP	O
한테	한테	JKB	O
_	_	_	O
대들	대들	VV	O
어	어	EC	O
,	,	SP	O
_	_	_	O
어	어디	NP	O
따	다	JX	O
_	_	_	O
대	대	VV	O
고	고	EC	O
_	_	_	O
말대꾸	말대꾸+이	NNG+VCP	O
야	야	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
서너	서너	MM	O
_	_	_	O
차례	차례	NNG	O
_	_	_	O
말한	말하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
작성돼	작성되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O
‘	‘	SS	O
조현아	조현아	NNP	B-PER
_	_	_	O
오늘	오늘	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
공판	공판	NNG	O
’	’	SS	O
_	_	_	O
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
접한	접하+ㄴ	VV+ETM	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
조현아	조현아	NNP	B-PER
_	_	_	O
오늘	오늘	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
공판	공판	NNG	O
,	,	SP	O
_	_	_	O
드디어	드디어	MAG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
공판	공판	NNG	O
이	이	VCP	B-PER
구나	구나	EF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
조현아	조현아	NNP	B-PER
_	_	_	O
오늘	오늘	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
공판	공판	NNG	O
,	,	SP	O
_	_	_	O
국민적	국민적	NNG	O
_	_	_	O
공분	공분	NNG	O
을	을	JKO	O
_	_	_	O
산	산	NNG	O
_	_	_	O
사건	사건	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
처벌	처벌	NNG	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
판결	판결	NNG	O
이	이	JKS	O
_	_	_	O
나오	나오	VV	O
길	기+ㄹ	ETN+JKO	O
_	_	_	O
바랍니다	바라+ㅂ니다	VV+EF	O
”	”	SS	O
,	,	SP	O

## 5
## 오바마 대통령은 “희생자들이 일생을 통해 보여준 노력과 가치를 이제 우리가 계승해야 한다.
## <오바마:PER> 대통령은 “희생자들이 일생을 통해 보여준 노력과 가치를 이제 우리가 계승해야 한다.
오바마	오바마	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
희생자	희생자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
일생	일생	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
노력	노력	NNG	O
과	과	JC	O
_	_	_	O
가치	가치	NNG	O
를	를	JKO	O
_	_	_	O
이제	이제	MAG	O
_	_	_	O
우리	우리	NP	O
가	가	JKS	O
_	_	_	O
계승해야	계승하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 6
## 군 소식통에 따르면 최근 국방부에서 열린 육군 모 부대 소속 A 중령의 성군기(性軍紀) 위반사건에 대한 항고심에서 심사위원들은 계급강등 징계처분에 문제가 없다고 결론을 내렸다.
## 군 소식통에 따르면 최근 <국방부:ORG>에서 열린 육군 모 부대 소속 <A:PER> 중령의 성군기(性軍紀) 위반사건에 대한 항고심에서 심사위원들은 계급강등 징계처분에 문제가 없다고 결론을 내렸다.
군	군	NNG	O
_	_	_	O
소식통	소식통	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
국방부	국방부	NNG	B-ORG
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
육군	육군	NNG	O
_	_	_	O
모	모	MM	O
_	_	_	O
부대	부대	NNG	O
_	_	_	O
소속	소속	NNG	O
_	_	_	O
A	A	SL	B-PER
_	_	_	O
중령	중령	NNG	O
의	의	JKG	O
_	_	_	O
성	성	NNG	O
군기	군기	NNG	O
(	(	SS	O
性軍紀	性軍紀	SH	O
)	)	SS	O
_	_	_	O
위반	위반	NNG	O
사건	사건	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
항고심	항고심	NNG	O
에서	에서	JKB	O
_	_	_	O
심사	심사	NNG	O
위원	위원	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
계급	계급	NNG	O
강등	강등	NNG	O
_	_	_	O
징계처분	징계처분	NNG	O
에	에	JKB	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
다고	다고	EC	O
_	_	_	O
결론	결론	NNG	O
을	을	JKO	O
_	_	_	O
내	내리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 홍준표 후보도 전술핵 도입, 해병대 특전사령부 창설 등을 주장했다.
## <홍준표:PER> 후보도 전술핵 도입, <해병대 특전사령부:ORG> 창설 등을 주장했다.
홍준표	홍준표	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
도	도	JX	O
_	_	_	O
전술	전술	NNG	O
핵	핵	NNG	O
_	_	_	O
도입	도입	NNG	O
,	,	SP	O
_	_	_	O
해병대	해병대	NNG	B-ORG
_	_	_	I-ORG
특전	특전	NNG	I-ORG
사령부	사령부	NNG	I-ORG
_	_	_	O
창설	창설	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
주장	주장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 인터뷰에 앞서 비공개할 테니 한 가지를 솔직하게 답해 달라고 부탁했다.
## 인터뷰에 앞서 비공개할 테니 <한 가지:NOH>를 솔직하게 답해 달라고 부탁했다.
인터뷰	인터뷰	NNG	O
에	에	JKB	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
비공개할	비공개하+ㄹ	VV+ETM	O
_	_	_	O
테	터+이	NNB+VCP	O
니	니	EC	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
가지	가지	NNB	I-NOH
를	를	JKO	O
_	_	_	O
솔직하	솔직하	VA	O
게	게	EC	O
_	_	_	O
답해	답하+여	VV+EC	O
_	_	_	O
달	달	VX	O
라고	라고	EC	O
_	_	_	O
부탁	부탁하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 이제 겨우 시작단계에 들어선 동독의 경제체제를 선진적인 서독의 경제체제에 억지로 맞추려는 완벽주의적인 법적 조치들이 문제다.
## 이제 겨우 시작단계에 들어선 동독의 경제체제를 선진적인 <서독:ORG>의 경제체제에 억지로 맞추려는 완벽주의적인 법적 조치들이 문제다.
이제	이제	MAG	O
_	_	_	O
겨우	겨우	MAG	O
_	_	_	O
시작	시작	NNG	O
단계	단계	NNG	O
에	에	JKB	O
_	_	_	O
들어선	들어서+ㄴ	VV+ETM	O
_	_	_	O
동독	동독	NNP	O
의	의	JKG	O
_	_	_	O
경제	경제	NNG	O
체제	체제	NNG	O
를	를	JKO	O
_	_	_	O
선진적	선진적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
서독	서독	NNP	B-ORG
의	의	JKG	O
_	_	_	O
경제	경제	NNG	O
체제	체제	NNG	O
에	에	JKB	O
_	_	_	O
억지로	억지로	MAG	O
_	_	_	O
맞추	맞추	VV	O
려는	려는	ETM	O
_	_	_	O
완벽	완벽	NNG	O
주의적	주의적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
법적	법적	NNG	O
_	_	_	O
조치	조치	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
문제	문제+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 이와 함께 복합리조트가 국가적 프로젝트로 떠오른 지금, 강원랜드가 축적한 경험과 맨파워, 중독문제 해결에 들인 노력이 복합리조트의 사회적 비용 유발을 예방하는데 유용한 자산이라는 의견도 있다.
## 이와 함께 복합리조트가 국가적 프로젝트로 떠오른 지금, <강원랜드:ORG>가 축적한 경험과 맨파워, 중독문제 해결에 들인 노력이 복합리조트의 사회적 비용 유발을 예방하는데 유용한 자산이라는 의견도 있다.
이	이	NP	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
복합	복합	NNG	O
리조트	리조트	NNG	O
가	가	JKS	O
_	_	_	O
국가적	국가적	NNG	O
_	_	_	O
프로젝트	프로젝트	NNG	O
로	로	JKB	O
_	_	_	O
떠오른	떠오르+ㄴ	VV+ETM	O
_	_	_	O
지금	지금	MAG	O
,	,	SP	O
_	_	_	O
강원랜드	강원랜드	NNP	B-ORG
가	가	JKS	O
_	_	_	O
축적한	축적하+ㄴ	VV+ETM	O
_	_	_	O
경험	경험	NNG	O
과	과	JC	O
_	_	_	O
맨	맨	NNG	O
파워	파워	NNG	O
,	,	SP	O
_	_	_	O
중독	중독	NNG	O
문제	문제	NNG	O
_	_	_	O
해결	해결	NNG	O
에	에	JKB	O
_	_	_	O
들인	들이+ㄴ	VV+ETM	O
_	_	_	O
노력	노력	NNG	O
이	이	JKS	O
_	_	_	O
복합	복합	NNG	O
리조트	리조트	NNG	O
의	의	JKG	O
_	_	_	O
사회적	사회적	NNG	O
_	_	_	O
비용	비용	NNG	O
_	_	_	O
유발	유발	NNG	O
을	을	JKO	O
_	_	_	O
예방하	예방하	VV	O
는	는	ETM	O
데	데	NNB	O
_	_	_	O
유용한	유용하+ㄴ	VA+ETM	O
_	_	_	O
자산	자산	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
의견	의견	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 11
## 다음은 이 최고위원과의 문자메시지 문답. -특위에 임하는 각오가 있다면. “개혁을 성공시키기 위해 최선을 다할 생각이다.”
## <다음:ORG>은 <이:PER> 최고위원과의 문자메시지 문답. -특위에 임하는 각오가 있다면. “개혁을 성공시키기 위해 최선을 다할 생각이다.”
다음	다음	NNG	B-ORG
은	은	JX	O
_	_	_	O
이	이	MM	B-PER
_	_	_	O
최고	최고	NNG	O
위원	위원	NNG	O
과	과	JKB	O
의	의	JKG	O
_	_	_	O
문자	문자	NNG	O
메시지	메시지	NNG	O
_	_	_	O
문답	문답	NNG	O
.	.	SF	O
_	_	_	O
-	-	SO	O
특위	특위	NNG	O
에	에	JKB	O
_	_	_	O
임하	임하	VV	O
는	는	ETM	O
_	_	_	O
각오	각오	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다면	다면	EF	O
.	.	SF	O
_	_	_	O
“	“	SS	O
개혁	개혁	NNG	O
을	을	JKO	O
_	_	_	O
성공	성공	NNG	O
시키	시키	XSV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
최선	최선	NNG	O
을	을	JKO	O
_	_	_	O
다할	다하+ㄹ	VV+ETM	O
_	_	_	O
생각	생각	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O
”	”	SS	O

## 12
## 한국 메이저리거 ‘기지개’…류현진·오승환·강정호 본격 훈련 돌입
## <한국:LOC> 메이저리거 ‘기지개’…<류현진:PER>·<오승환:PER>·<강정호:PER> 본격 훈련 돌입
한국	한국	NNP	B-LOC
_	_	_	O
메이저리거	메이저리거	NNG	O
_	_	_	O
‘	‘	SS	O
기지개	기지개	NNG	O
’	’	SS	O
…	…	SE	O
류현진	류현진	NNP	B-PER
·	·	SP	O
오승환	오승환	NNP	B-PER
·	·	SP	O
강정호	강정호	NNP	B-PER
_	_	_	O
본격	본격	NNG	O
_	_	_	O
훈련	훈련	NNG	O
_	_	_	O
돌입	돌입	NNG	O

