## 1
## 경찰에 따르면 달톤에게 범죄 경력은 없고, 범행 동기는 아직까지 밝혀지지 않았다.
## 경찰에 따르면 <달톤:PER>에게 범죄 경력은 없고, 범행 동기는 아직까지 밝혀지지 않았다.
경찰	경찰	NNG	O
라임	라임	NNG	I-POH
_	_	_	I-POH
피지오	피지오	NNP	I-POH
’	’	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
피지오	피지오	NNP	O
_	_	_	O
음료	음료	NNG	O
를	를	JKO	O
_	_	_	O
구매하	구매하	VV	O
면	면	EC	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
잔당	잔당	NNG	O
_	_	_	O
별	별	MM	O
_	_	_	O
3	3	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
증정하	증정하	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
스타벅스	스타벅스	NNP	B-ORG
_	_	_	O
여름	여름	NNG	O
_	_	_	O
프로모션	프로모션	NNG	O
_	_	_	O
웹사이트	웹사이트	NNG	O
(	(	SS	O
www	www	SL	B-POH
.	.	SF	I-POH
istarbucks	istarbucks	SL	I-POH
.	.	SF	I-POH
co	co	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
/	/	SP	I-POH
2015	2015	SN	I-POH
summer	summer	SL	I-POH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
음료	음료	NNG	O
_	_	_	O
이름	이름	NNG	O
을	을	JKO	O
_	_	_	O
맞추	맞추	VV	O
는	는	ETM	O
_	_	_	O
퀴즈	퀴즈	NNG	O
_	_	_	O
이벤트	이벤트	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
총	총	MM	O
_	_	_	O
1000	1000	SN	B-NOH
명	명	NNB	I-NOH
에게	에게	JKB	O
_	_	_	O
무료	무료	NNG	O
_	_	_	O
여름	여름	NNG	O
음료	음료	NNG	O
_	_	_	O
e	e	SL	O
-	-	SO	O
쿠폰	쿠폰	NNG	O
을	을	JKO	O
_	_	_	O
증정한다	증정하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 수도권 지하철 신분당선 판교역에서 걸어서 3분 거리인 경기도 성남 판교신도시의 중심상업지구(알파돔시티). 오는 11월 이곳에 입주하는 복합단지인 판교 알파리움 아파트 분양권을 사려면 웃돈(프리미엄) 2억 원 이상을 줘야 하는데도 부동산 중개업소를 찾는 손님은 꾸준하다.
## <수도권:LOC> 지하철 <신분당선:LOC> <판교역:LOC>에서 걸어서 <3분:DUR> 거리인 <경기도:LOC> <성남:LOC> <판교신도시:LOC>의 중심상업지구(<알파돔시티:LOC>). 오는 <11월:DAT> 이곳에 입주하는 복합단지인 <판교 알파리움 아파트:LOC> 분양권을 사려면 웃돈(프리미엄) <2억 원:MNY> 이상을 줘야 하는데도 부동산 중개업소를 찾는 손님은 꾸준하다.
수도권	수도권	NNG	B-LOC
_	_	_	O
지하철	지하철	NNG	O
_	_	_	O
신분당선	신분당선	NNP	B-LOC
_	_	_	O
판교역	판교역	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
걸	걷	VV	O
어서	어서	EC	O
_	_	_	O
3	3	SN	B-DUR
분	분	NNB	I-DUR
_	_	_	O
거리	거리	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
경기도	경기도	NNP	B-LOC
_	_	_	O
성남	성남	NNP	B-LOC
_	_	_	O
판교	판교	NNP	B-LOC
신도시	신도시	NNG	I-LOC
의	의	JKG	O
_	_	_	O
중심	중심	NNG	O
상업	상업	NNG	O
지구	지구	NNG	O
(	(	SS	O
알파	알파	NNP	B-LOC
돔	돔	NNG	I-LOC
시티	시티	NNG	I-LOC
)	)	SS	O
.	.	SF	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
11	11	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
이곳	이곳	NP	O
에	에	JKB	O
_	_	_	O
입주하	입주하	VV	O
는	는	ETM	O
_	_	_	O
복합	복합	NNG	O
단지	단지	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
판교	판교	NNP	B-LOC
_	_	_	I-LOC
알	알	NNP	I-LOC
파리	파리	NNP	I-LOC
움	움	NNG	I-LOC
_	_	_	I-LOC
아파트	아파트	NNG	I-LOC
_	_	_	O
분양	분양	NNG	O
권	권	XSN	O
을	을	JKO	O
_	_	_	O
사	사	VV	O
려면	려면	EC	O
_	_	_	O
웃돈	웃돈	NNG	O
(	(	SS	O
프리미엄	프리미엄	NNG	O
)	)	SS	O
_	_	_	O
2	2	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
을	을	JKO	O
_	_	_	O
줘야	주+어야	VV+EC	O
_	_	_	O
하	하	VX	O
는데	는데	EC	O
도	도	JX	O
_	_	_	O
부동산	부동산	NNG	O
_	_	_	O
중개	중개	NNG	O
업소	업소	NNG	O
를	를	JKO	O
_	_	_	O
찾	찾	VV	O
는	는	ETM	O
_	_	_	O
손님	손님	NNG	O
은	은	JX	O
_	_	_	O
꾸준하	꾸준하	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 올 4월 첫아이 출산을 앞두고 있는 그는 출산 준비에도 ‘미니멀리즘’을 실천 중이다.
## 올 <4월:DAT> 첫아이 출산을 앞두고 있는 그는 출산 준비에도 ‘미니멀리즘’을 실천 중이다.
올	올	NNG	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
첫아이	첫아이	NNG	O
_	_	_	O
출산	출산	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
출산	출산	NNG	O
_	_	_	O
준비	준비	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
‘	‘	SS	O
미니멀리즘	미니멀리즘	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
실천	실천	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 난자 채취를 하는 그날, 하루 휴가를 낼 수 있었다.
## 난자 채취를 하는 그날, 하루 <휴가:NOH>를 낼 수 있었다.
난자	난자	NNG	O
_	_	_	O
채취	채취	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
그날	그날	NNG	O
,	,	SP	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
휴가	휴가	NNG	B-NOH
를	를	JKO	O
_	_	_	O
낼	내+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 90kWh의 배터리 용량을 지닌 모델 S 90D도 슈처 차저에서는 완충까지 1시간이 걸리지 않는다.
## <90kWh:NOH>의 배터리 용량을 지닌 모델 <S 90D:POH>도 슈처 차저에서는 완충까지 <1시간:NOH>이 걸리지 않는다.
90	90	SN	B-NOH
kWh	kWh	SL	I-NOH
의	의	JKG	O
_	_	_	O
배터리	배터리	NNG	O
_	_	_	O
용량	용량	NNG	O
을	을	JKO	O
_	_	_	O
지닌	지니+ㄴ	VV+ETM	O
_	_	_	O
모델	모델	NNG	O
_	_	_	O
S	S	SL	B-POH
_	_	_	I-POH
90	90	SN	I-POH
D	D	SL	I-POH
도	도	JX	O
_	_	_	O
슈	슈	NNP	O
처	처	NNG	O
_	_	_	O
차저	차저	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
완충	완충	NNG	O
까지	까지	JX	O
_	_	_	O
1	1	SN	B-NOH
시간	시간	NNB	I-NOH
이	이	JKS	O
_	_	_	O
걸리	걸리	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는다	는다	EF	O
.	.	SF	O

## 8
## 하지만 지금 홍 지사의 애매한 발언에 국민들의 궁금증은 커지고 있다.
## 하지만 지금 <홍:PER> 지사의 애매한 발언에 국민들의 궁금증은 커지고 있다.
하지만	하지만	MAJ	O
_	_	_	O
지금	지금	MAG	O
_	_	_	O
홍	홍	NNP	B-PER
_	_	_	O
지사	지사	NNG	O
의	의	JKG	O
_	_	_	O
애매한	애매하+ㄴ	VA+ETM	O
_	_	_	O
발언	발언	NNG	O
에	에	JKB	O
_	_	_	O
국민	국민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
궁금증	궁금증	NNG	O
은	은	JX	O
_	_	_	O
커지	커지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## 헤지펀드는 1백명 미만의 거액 투자가들의 돈을 대신 운용해주는 일종의 투자신탁회사로 작년에 수십억달러에 달하는 투자액의 수익률은 70%에 달한 것으로 알려졌다.
## <헤지펀드:ORG>는 <1백명:NOH> 미만의 거액 투자가들의 돈을 대신 운용해주는 일종의 투자신탁회사로 작년에 <수십억달러:MNY>에 달하는 투자액의 수익률은 <70%:PNT>에 달한 것으로 알려졌다.
헤지	헤지	NNG	B-ORG
펀드	펀드	NNG	I-ORG
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
백	백	NR	I-NOH
명	명	NNB	I-NOH
_	_	_	O
미만	미만	NNG	O
의	의	JKG	O
_	_	_	O
거액	거액	NNG	O
_	_	_	O
투자가	투자가	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
운용해	운용하+여	VV+EC	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
일종	일종	NNG	O
의	의	JKG	O
_	_	_	O
투자	투자	NNG	O
신탁	신탁	NNG	O
회사	회사	NNG	O
로	로	JKB	O
_	_	_	O
작년	작년	NNG	O
에	에	JKB	O
_	_	_	O
수십	수십	NR	B-MNY
억	억	NR	I-MNY
달러	달러	NNB	I-MNY
에	에	JKB	O
_	_	_	O
달하	달하	VV	O
는	는	ETM	O
_	_	_	O
투자액	투자액	NNG	O
의	의	JKG	O
_	_	_	O
수익률	수익률	NNG	O
은	은	JX	O
_	_	_	O
70	70	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
달한	달하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이 지역에서 지난 30년간 지역민의 크고 작은 아픔을 보살피며 ‘인간 중심의 참병원’을 추구해 온 의료기관이 있다.
## 이 지역에서 지난 <30년간:DUR> 지역민의 크고 작은 아픔을 보살피며 ‘인간 중심의 참병원’을 추구해 온 의료기관이 있다.
이	이	MM	O
_	_	_	O
지역	지역	NNG	O
에서	에서	JKB	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
30	30	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
지역민	지역민	NNG	O
의	의	JKG	O
_	_	_	O
크	크	VA	O
고	고	EC	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
아픔	아픔	NNG	O
을	을	JKO	O
_	_	_	O
보살피	보살피	VV	O
며	며	EC	O
_	_	_	O
‘	‘	SS	O
인간	인간	NNG	O
_	_	_	O
중심	중심	NNG	O
의	의	JKG	O
_	_	_	O
참병원	참병원	NNP	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
추구해	추구하+여	VV+EC	O
_	_	_	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
의료	의료	NNG	O
기관	기관	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 11
## 뉴욕의 윈덤 뉴요커 호텔 3층 홀에서의 13분간 승복 연설에서 그는 몇 번이고 복받쳐 오르는 감정을 억눌렀다.
## <뉴욕:LOC>의 <윈덤 뉴요커 호텔:LOC> <3층:NOH> 홀에서의 <13분간:MNY> 승복 연설에서 그는 몇 번이고 복받쳐 오르는 감정을 억눌렀다.
뉴욕	뉴욕	NNP	B-LOC
의	의	JKG	O
_	_	_	O
윈덤	윈덤	NNP	B-LOC
_	_	_	I-LOC
뉴요커	뉴요커	NNP	I-LOC
_	_	_	I-LOC
호텔	호텔	NNG	I-LOC
_	_	_	O
3	3	SN	B-NOH
층	층	NNG	I-NOH
_	_	_	O
홀	홀	NNG	O
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
13	13	SN	B-MNY
분	분	NNB	I-MNY
간	간	XSN	I-MNY
_	_	_	O
승복	승복	NNG	O
_	_	_	O
연설	연설	NNG	O
에서	에서	JKB	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
몇	몇	MM	O
_	_	_	O
번	번	NNB	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
복받쳐	복받치+어	VV+EC	O
_	_	_	O
오르	오르	VV	O
는	는	ETM	O
_	_	_	O
감정	감정	NNG	O
을	을	JKO	O
_	_	_	O
억눌	억누르	VV	O
렀	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 이를 위해 촬영 때마다 4시간이 소요되는 특수분장에도 나섰다.
## 이를 위해 촬영 때마다 <4시간:DUR>이 소요되는 특수분장에도 나섰다.
이	이	NP	O
를	를	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
촬영	촬영	NNG	O
_	_	_	O
때	때	NNG	O
마다	마다	JX	O
_	_	_	O
4	4	SN	B-DUR
시간	시간	NNB	I-DUR
이	이	JKS	O
_	_	_	O
소요되	소요되	VV	O
는	는	ETM	O
_	_	_	O
특수	특수	NNG	O
분장	분장	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

