## 1
## 물론 타석에 무조건 한 발을 둬야 하는 것 등 논란을 일으킨 규정도 있었지만, 시즌을 치르며 불합리한 부분은 최대한 완화됐다.
## 물론 타석에 무조건 <한 발:NOH>을 둬야 하는 것 등 논란을 일으킨 규정도 있었지만, 시즌을 치르며 불합리한 부분은 최대한 완화됐다.
물론	물론	MAG	O
## [경제계 인사]<한국콜마홀딩스:ORG> 대표이사 <윤상현:PER>씨
[	[	SS	O
경제계	경제계	NNG	O
_	_	_	O
인사	인사	NNG	O
]	]	SS	O
한국콜마	한국콜마	NNP	B-ORG
홀딩스	홀딩스	NNP	I-ORG
_	_	_	O
대표	대표	NNG	O
이사	이사	NNG	O
_	_	_	O
윤상현	윤상현	NNP	B-PER
씨	씨	NNB	O

## 9
## 송파구 글마루도서관은 같은 해 10월에 문을 열었고, 양천구 갈산도서관은 지난해 10월 개관했다.
## <송파구 글마루도서관:LOC>은 같은 해 <10월:DAT>에 문을 열었고, <양천구 갈산도서관:LOC>은 지난해 <10월:DAT> 개관했다.
송파구	송파구	NNP	B-LOC
_	_	_	I-LOC
글마루	글마루	NNG	I-LOC
도서관	도서관	NNG	I-LOC
은	은	JX	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
해	해	NNG	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
에	에	JKB	O
_	_	_	O
문	문	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
었	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
양천구	양천구	NNP	B-LOC
_	_	_	I-LOC
갈산	갈산	NNP	I-LOC
도서관	도서관	NNG	I-LOC
은	은	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
개관	개관하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## “도전적인 역할에 관심이 많다”는 그는 차기작 ‘대니쉬 걸’(톰 후퍼 감독)에선 여성으로 성전환하는 덴마크 화가 역할을 맡는다.
## “도전적인 역할에 관심이 많다”는 그는 차기작 ‘<대니쉬 걸:POH>’(<톰 후퍼:PER> 감독)에선 여성으로 성전환하는 <덴마크:ORG> 화가 역할을 맡는다.
“	“	SS	O
도전적	도전적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
역할	역할	NNG	O
에	에	JKB	O
_	_	_	O
관심	관심	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
차기	차기	NNG	O
작	작	XSN	O
_	_	_	O
‘	‘	SS	O
대니쉬	대니쉬	NNP	B-POH
_	_	_	I-POH
걸	것+ㄹ	NNB+JKO	I-POH
’	’	SS	O
(	(	SS	O
톰	톰	NNP	B-PER
_	_	_	I-PER
후퍼	후퍼	NNP	I-PER
_	_	_	O
감독	감독	NNG	O
)	)	SS	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
여성	여성	NNG	O
으로	으로	JKB	O
_	_	_	O
성전환	성전환	NNG	O
하	하	XSV	O
는	는	ETM	O
_	_	_	O
덴마크	덴마크	NNP	B-ORG
_	_	_	O
화	화	NNG	O
가	가	JKS	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
는다	는다	EF	O
.	.	SF	O

## 11
## 상공자원부는 22일 지난해 11월 6일부터 금년 1월 20일까지 11­2광구 B구조에서 시추작업을 벌인 결과 4개 구간의 석유및 가스층에서 하루 원유 3천4백19배럴과 가스 2천2백만 입방피트가 분출되는 것을 확인했다고 발표했다.
## <상공자원부:ORG>는 <22일:DAT> 지난해 <11월 6일:DAT>부터 금년 <1월 20일:DAT>까지 <11­2광구 B구조:LOC>에서 시추작업을 벌인 결과 <4개:NOH> 구간의 석유및 가스층에서 하루 원유 <3천4백19배럴:NOH>과 가스 <2천2백만 입방피트:NOH>가 분출되는 것을 확인했다고 발표했다.
상공자원부	상공자원부	NNG	B-ORG
는	는	JX	O
_	_	_	O
22	22	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
11	11	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
6	6	SN	I-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
금년	금년	NNG	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
20	20	SN	I-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
11	11	SN	B-LOC
­	­	SS	I-LOC
2	2	SN	I-LOC
광구	광구	NNG	I-LOC
_	_	_	I-LOC
B	B	SL	I-LOC
구조	구조	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
시추	시추	NNG	O
작업	작업	NNG	O
을	을	JKO	O
_	_	_	O
벌인	벌이+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
4	4	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
구간	구간	NNG	O
의	의	JKG	O
_	_	_	O
석유	석유	NNG	O
및	및	MAG	O
_	_	_	O
가스층	가스층	NNG	O
에서	에서	JKB	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
원유	원유	NNG	O
_	_	_	O
3	3	SN	B-NOH
천	천	NR	I-NOH
4	4	SN	I-NOH
백	백	NR	I-NOH
19	19	SN	I-NOH
배럴	배럴	NNG	I-NOH
과	과	JC	O
_	_	_	O
가스	가스	NNG	O
_	_	_	O
2	2	SN	B-NOH
천	천	NR	I-NOH
2	2	SN	I-NOH
백만	백만	NR	I-NOH
_	_	_	I-NOH
입방	입방	NNG	I-NOH
피트	피트	NNB	I-NOH
가	가	JKS	O
_	_	_	O
분출되	분출되	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
확인	확인하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

