## 1
## 국가보훈처는 “임정기념관 건립이 필요하다는 데 동의한다.
## <국가보훈처:ORG>는 “<임정기념관:LOC> 건립이 필요하다는 데 동의한다.
국가	국가	NNG	B-ORG
탄탄하	탄탄하	VA	O
게	게	EC	O
_	_	_	O
마련	마련하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 또 인천 경인항 전망대에서는 6개월 내 전국의 터널·항만·옹벽·댐·하천 등을 대상으로 안전 진단을 한 뒤 노후 인프라 재건 5개년 계획을 세운다는 내용의 ‘경제 살리기 뉴딜플랜’을 발표했다.
## 또 <인천:LOC> <경인항 전망대:LOC>에서는 <6개월 내:DUR> 전국의 터널·항만·옹벽·댐·하천 등을 대상으로 안전 진단을 한 뒤 노후 인프라 재건 <5개년:NOH> 계획을 세운다는 내용의 ‘경제 살리기 뉴딜플랜’을 발표했다.
또	또	MAG	O
_	_	_	O
인천	인천	NNP	B-LOC
_	_	_	O
경인	경인	NNP	B-LOC
항	항	NNG	I-LOC
_	_	_	I-LOC
전망대	전망대	NNG	I-LOC
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
6	6	SN	B-DUR
개월	개월	NNB	I-DUR
_	_	_	I-DUR
내	내	NNB	I-DUR
_	_	_	O
전국	전국	NNG	O
의	의	JKG	O
_	_	_	O
터널	터널	NNG	O
·	·	SP	O
항만	항만	NNG	O
·	·	SP	O
옹벽	옹벽	NNG	O
·	·	SP	O
댐	댐	NNG	O
·	·	SP	O
하천	하천	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
안전	안전	NNG	O
_	_	_	O
진단	진단	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
노후	노후	NNG	O
_	_	_	O
인프라	인프라	NNG	O
_	_	_	O
재건	재건	NNG	O
_	_	_	O
5	5	SN	B-NOH
개년	개년	NNB	I-NOH
_	_	_	O
계획	계획	NNG	O
을	을	JKO	O
_	_	_	O
세운다는	세우+ㄴ다는	VV+ETM	O
_	_	_	O
내용	내용	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
경제	경제	NNG	O
_	_	_	O
살리	살리	VV	O
기	기	ETN	O
_	_	_	O
뉴딜	뉴딜	NNG	O
플랜	플랜	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 농촌진흥청이 11월의 식재료로 무·쌀과 함께 배추를 선정한 것은 그래서다.
## <농촌진흥청:ORG>이 <11월:DAT>의 식재료로 무·쌀과 함께 배추를 선정한 것은 그래서다.
농촌	농촌	NNG	B-ORG
진흥	진흥	NNG	I-ORG
청	청	XSN	I-ORG
이	이	JKS	O
_	_	_	O
11	11	SN	B-DAT
월	월	NNB	I-DAT
의	의	JKG	O
_	_	_	O
식	식	NNG	O
재료	재료	NNG	O
로	로	JKB	O
_	_	_	O
무	무	NNG	O
·	·	SP	O
쌀	쌀	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
배추	배추	NNG	O
를	를	JKO	O
_	_	_	O
선정한	선정하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
그래서	그리하+여서+이	VV+EC+VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 9월에만 3할에 올랐다가 이튿날 바로 2할대로 떨어진 것이 3번. 20일 사직 삼성전에서 9월 들어 4번째로 3할 고지를 밟았다.
## <9월:DAT>에만 <3할:PNT>에 올랐다가 이튿날 바로 <2할:PNT>대로 떨어진 것이 <3번:NOH>. <20일:DAT> <사직:LOC> <삼성전:POH>에서 <9월:DAT> 들어 <4번째:NOH>로 <3할:PNT> 고지를 밟았다.
9	9	SN	B-DAT
월	월	NNB	I-DAT
에	에	JKB	O
만	만	JX	O
_	_	_	O
3	3	SN	B-PNT
할	할	NNB	I-PNT
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다가	다가	EC	O
_	_	_	O
이튿날	이튿날	NNG	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
2	2	SN	B-PNT
할	하+ㄹ	VV+ETM	I-PNT
대로	대로	NNB	O
_	_	_	O
떨어진	떨어지+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
3	3	SN	B-NOH
번	번	NNB	I-NOH
.	.	SF	O
_	_	_	O
20	20	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
사직	사직	NNP	B-LOC
_	_	_	O
삼성	삼성	NNP	B-POH
전	전	XSN	I-POH
에서	에서	JKB	O
_	_	_	O
9	9	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
4	4	SN	B-NOH
번째	번째	NNB	I-NOH
로	로	JKB	O
_	_	_	O
3	3	SN	B-PNT
할	할	NNB	I-PNT
_	_	_	O
고지	고지	NNG	O
를	를	JKO	O
_	_	_	O
밟	밟	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이 회의의 의장인 아베 신조(安倍晋三) 총리의 승인을 얻은 뒤 전문가 회의와 여론 수렴 절차를 거쳐 본격적으로 조정이 이뤄질 것으로 전망된다.
## 이 회의의 의장인 <아베 신조:PER>(<安倍晋三:PER>) 총리의 승인을 얻은 뒤 전문가 회의와 여론 수렴 절차를 거쳐 본격적으로 조정이 이뤄질 것으로 전망된다.
이	이	MM	O
_	_	_	O
회의	회의	NNG	O
의	의	JKG	O
_	_	_	O
의장	의장	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
아베	아베	NNP	B-PER
_	_	_	I-PER
신조	신조	NNP	I-PER
(	(	SS	O
安倍晋三	安倍晋三	SH	B-PER
)	)	SS	O
_	_	_	O
총리	총리	NNG	O
의	의	JKG	O
_	_	_	O
승인	승인	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
은	은	ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
전문가	전문가	NNG	O
_	_	_	O
회의	회의	NNG	O
와	와	JC	O
_	_	_	O
여론	여론	NNG	O
_	_	_	O
수렴	수렴	NNG	O
_	_	_	O
절차	절차	NNG	O
를	를	JKO	O
_	_	_	O
거쳐	거치+어	VV+EC	O
_	_	_	O
본격적	본격적	NNG	O
으로	으로	JKB	O
_	_	_	O
조정	조정	NNG	O
이	이	JKS	O
_	_	_	O
이뤄질	이루어지+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전망된다	전망되+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 이유리 하차하는 '세바퀴', 빈 자리 대신할 새 MC는?
## <이유리:PER> 하차하는 '<세바퀴:POH>', 빈 자리 대신할 새 MC는?
이유리	이유리	NNP	B-PER
_	_	_	O
하차하	하차하	VV	O
는	는	ETM	O
_	_	_	O
'	'	SS	O
세	세	NNB	B-POH
바퀴	바퀴	NNG	I-POH
'	'	SS	O
,	,	SP	O
_	_	_	O
빈	비+ㄴ	VV+ETM	O
_	_	_	O
자리	자리	NNG	O
_	_	_	O
대신할	대신하+ㄹ	VV+ETM	O
_	_	_	O
새	새	MM	O
_	_	_	O
MC	MC	SL	O
는	는	JX	O
?	?	SF	O

## 9
## 특검팀이 최근 최씨 측근에 대한 조사에서 이 같은 진술을 확보했다고 보도했다.
## 특검팀이 최근 <최:PER>씨 측근에 대한 조사에서 이 같은 진술을 확보했다고 보도했다.
특검	특검	NNG	O
팀	팀	NNG	O
이	이	JKS	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
최	최	NNP	B-PER
씨	씨	NNB	O
_	_	_	O
측근	측근	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
조사	조사	NNG	O
에서	에서	JKB	O
_	_	_	O
이	이	NP	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
진술	진술	NNG	O
을	을	JKO	O
_	_	_	O
확보	확보하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 주변에 23만㎡ 규모의 롯데타운이 들어선다.
## 주변에 <23만㎡:NOH> 규모의 <롯데타운:LOC>이 들어선다.
주변	주변	NNG	O
에	에	JKB	O
_	_	_	O
23	23	SN	B-NOH
만	만	NR	I-NOH
㎡	㎡	SW	I-NOH
_	_	_	O
규모	규모	NNG	O
의	의	JKG	O
_	_	_	O
롯데	롯데	NNP	B-LOC
타운	타운	NNG	I-LOC
이	이	JKS	O
_	_	_	O
들어선다	들어서+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 높은 미래가치에 600만원대의 합리적인 분양가도 주목할 만하다.
## 높은 미래가치에 <600만원:MNY>대의 합리적인 분양가도 주목할 만하다.
높	높	VA	O
은	은	ETM	O
_	_	_	O
미래	미래	NNG	O
가치	가치	NNG	O
에	에	JKB	O
_	_	_	O
600	600	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
대	대	XSN	O
의	의	JKG	O
_	_	_	O
합리적	합리적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
분양가	분양가	NNG	O
도	도	JX	O
_	_	_	O
주목할	주목하+ㄹ	VV+ETM	O
_	_	_	O
만하	만하	VX	O
다	다	EF	O
.	.	SF	O

## 12
## 국방부 요직에서 복무했던 복수의 퇴역 장성에 따르면 “김 실장이 군 인사에 매우 깊이 개입하고 있다는 것을 알 만한 사람은 다 안다”며 “도발하면 원점까지 타격하겠다고 호언장담하더니 정작 북핵 도발에 대해선 전략이 없다”고 했다.
## <국방부:ORG> 요직에서 복무했던 복수의 퇴역 장성에 따르면 “김 실장이 군 인사에 매우 깊이 개입하고 있다는 것을 알 만한 사람은 다 안다”며 “도발하면 원점까지 타격하겠다고 호언장담하더니 정작 북핵 도발에 대해선 전략이 없다”고 했다.
국방부	국방부	NNG	B-ORG
_	_	_	O
요직	요직	NNG	O
에서	에서	JKB	O
_	_	_	O
복무	복무하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
복수	복수	NNG	O
의	의	JKG	O
_	_	_	O
퇴역	퇴역	NNG	O
_	_	_	O
장성	장성	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
“	“	SS	O
김	김	NNP	O
_	_	_	O
실장	실장	NNG	O
이	이	JKS	O
_	_	_	O
군	군	NNG	O
_	_	_	O
인사	인사	NNG	O
에	에	JKB	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
깊이	깊이	MAG	O
_	_	_	O
개입하	개입하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
알	알+ㄹ	VV+ETM	O
_	_	_	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
사람	사람	NNG	O
은	은	JX	O
_	_	_	O
다	다	MAG	O
_	_	_	O
안다	알+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
도발하	도발하	VV	O
면	면	EC	O
_	_	_	O
원점	원점	NNG	O
까지	까지	JX	O
_	_	_	O
타격하	타격하	VV	O
겠	겠	EP	O
다고	다고	EC	O
_	_	_	O
호언장담하	호언장담하	VV	O
더니	더니	EC	O
_	_	_	O
정작	정작	NNG	O
_	_	_	O
북	북	NNP	O
핵	핵	NNG	O
_	_	_	O
도발	도발	NNG	O
에	에	JKB	O
_	_	_	O
대해선	대하+여서+ㄴ	VV+EC+JX	O
_	_	_	O
전략	전략	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 13
## 또한 SM 측은 “유노윤호가 조용히 입대하기를 희망하는 만큼, 본인의 의사를 존중해 입대 장소 및 시간은 공개하지 않는다”고 덧붙였다.
## 또한 <SM:ORG> 측은 “<유노윤호:PER>가 조용히 입대하기를 희망하는 만큼, 본인의 의사를 존중해 입대 장소 및 시간은 공개하지 않는다”고 덧붙였다.
또한	또한	MAG	O
_	_	_	O
SM	SM	SL	B-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
유노	유노	NNG	B-PER
윤호	윤호	NNP	I-PER
가	가	JKS	O
_	_	_	O
조용히	조용히	MAG	O
_	_	_	O
입대하	입대하	VV	O
기	기	ETN	O
를	를	JKO	O
_	_	_	O
희망하	희망하	VV	O
는	는	ETM	O
_	_	_	O
만큼	만큼	NNB	O
,	,	SP	O
_	_	_	O
본인	본인	NNG	O
의	의	JKG	O
_	_	_	O
의사	의사	NNG	O
를	를	JKO	O
_	_	_	O
존중해	존중하+여	VV+EC	O
_	_	_	O
입대	입대	NNG	O
_	_	_	O
장소	장소	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
시간	시간	NNG	O
은	은	JX	O
_	_	_	O
공개하	공개하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는다	는다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
덧붙	덧붙이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

