## 1
## 유럽에서 온 해바라기를 그리던 화가는 생의 마지막 순간까지 태평양 중앙 섬에서 눈 내리는 프랑스 마을 풍경을 손질 중이었다지요. “해바라기다.
## <유럽:LOC>에서 온 해바라기를 그리던 화가는 생의 마지막 순간까지 <태평양:LOC> 중앙 섬에서 눈 내리는 <프랑스:ORG> 마을 풍경을 손질 중이었다지요. “해바라기다.
유럽	유럽	NNP	B-LOC
빠져	빠지+어	VV+EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
그	그	NP	O
에게	에게	JKB	O
,	,	SP	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
작가	작가	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
해외	해외	NNG	O
에	에	JKB	O
_	_	_	O
더	더	MAG	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
알려지	알려지	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
방편	방편	NNG	O
을	을	JKO	O
_	_	_	O
물	묻	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 두 개의 세탁기가 합쳐진 ‘트윈워시’의 원조!
## <두 개:NOH>의 세탁기가 합쳐진 ‘트윈워시’의 원조!
두	두	MM	B-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
세탁기	세탁기	NNG	O
가	가	JKS	O
_	_	_	O
합쳐	합치+어	VV+EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
‘	‘	SS	O
트윈	트윈	NNG	O
워시	워시	NNG	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
원조	원조	NNG	O
!	!	SF	O

## 7
## 증권회사 직원들조차 친한 사람들에게는 “사기당하기 싫으면 코스닥 근처엔 가지도 말라”고 말하는 분위기였다.
## 증권회사 직원들조차 친한 사람들에게는 “사기당하기 싫으면 <코스닥:ORG> 근처엔 가지도 말라”고 말하는 분위기였다.
증권	증권	NNG	O
회사	회사	NNG	O
_	_	_	O
직원	직원	NNG	O
들	들	XSN	O
조차	조차	JX	O
_	_	_	O
친한	친하+ㄴ	VA+ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
사기	사기	NNG	O
당하	당하	XSV	O
기	기	ETN	O
_	_	_	O
싫	싫	VA	O
으면	으면	EC	O
_	_	_	O
코스닥	코스닥	NNG	B-ORG
_	_	_	O
근처	근처	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
가	가	VV	O
지	지	EC	O
도	도	JX	O
_	_	_	O
말	말	VX	O
라	라	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말하	말하	VV	O
는	는	ETM	O
_	_	_	O
분위기	분위기+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 복면가왕 ‘하와이’ 정체는 홍지민, ‘연필’ 은 누구?…소냐 · 라미란 둘 가운데 한 명?
## <복면가왕:POH> ‘<하와이:PER>’ 정체는 <홍지민:PER>, ‘<연필:PER>’ 은 누구?…<소냐:PER> · <라미란:PER> 둘 가운데 한 명?
복면	복면	NNG	B-POH
가왕	가왕	NNG	I-POH
_	_	_	O
‘	‘	SS	O
하와이	하와이	NNP	B-PER
’	’	SS	O
_	_	_	O
정체	정체	NNG	O
는	는	JX	O
_	_	_	O
홍지민	홍지민	NNP	B-PER
,	,	SP	O
_	_	_	O
‘	‘	SS	O
연필	연필	NNG	B-PER
’	’	SS	O
_	_	_	O
은	은	JX	O
_	_	_	O
누구	누구	NP	O
?	?	SF	O
…	…	SE	O
소냐	소냐	NNP	B-PER
_	_	_	O
·	·	SP	O
_	_	_	O
라미란	라미란	NNP	B-PER
_	_	_	O
둘	둘	NR	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
한	한	MM	O
_	_	_	O
명	명	NNB	O
?	?	SF	O

## 9
## JDC 김한욱 이사장이 2013년 6월 취임하면서 ‘비상경영’을 선포한 후 조직 축소, 긴축 경영, 예산 절감 등으로 얻은 성과다.
## <JDC:ORG> <김한욱:PER> 이사장이 <2013년 6월:DAT> 취임하면서 ‘비상경영’을 선포한 후 조직 축소, 긴축 경영, 예산 절감 등으로 얻은 성과다.
JDC	JDC	SL	B-ORG
_	_	_	O
김한욱	김한욱	NNP	B-PER
_	_	_	O
이사장	이사장	NNG	O
이	이	JKS	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
6	6	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
취임하	취임하	VV	O
면서	면서	EC	O
_	_	_	O
‘	‘	SS	O
비상	비상	NNG	O
경영	경영	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
선포한	선포하+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
조직	조직	NNG	O
_	_	_	O
축소	축소	NNG	O
,	,	SP	O
_	_	_	O
긴축	긴축	NNG	O
_	_	_	O
경영	경영	NNG	O
,	,	SP	O
_	_	_	O
예산	예산	NNG	O
_	_	_	O
절감	절감	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
얻	얻	VV	O
은	은	ETM	O
_	_	_	O
성과	성과+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 박지성은 2014년부터 맨체스터 유나이티드 FC 앰버서더로 활동 중이다.
## <박지성:PER>은 <2014년:DAT>부터 <맨체스터 유나이티드 FC:ORG> 앰버서더로 활동 중이다.
박지성	박지성	NNP	B-PER
은	은	JX	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
맨체스터	맨체스터	NNP	B-ORG
_	_	_	I-ORG
유나이티드	유나이티드	NNG	I-ORG
_	_	_	I-ORG
FC	FC	SL	I-ORG
_	_	_	O
앰버서더	앰버서더	NNP	O
로	로	JKB	O
_	_	_	O
활동	활동	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 온라인 중앙일보[사진 일간스포츠]
## <온라인 중앙일보:ORG>[사진 일간스포츠]
온라인	온라인	NNG	B-ORG
_	_	_	I-ORG
중앙일보	중앙일보	NNP	I-ORG
[	[	SS	O
사진	사진	NNG	O
_	_	_	O
일간스포츠	일간스포츠	NNP	O
]	]	SS	O

## 12
## 또 박 전 대통령의 현재 상태도 전해졌다.
## 또 <박:PER> 전 대통령의 현재 상태도 전해졌다.
또	또	MAG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
상태	상태	NNG	O
도	도	JX	O
_	_	_	O
전해	전하	VV	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 13
## 제주도는 이날 제2공항 입지로 선정된 성산읍 일대를 토지거래허가구역으로 지정하며 500m² 이상 농지 등의 땅을 사고팔 때 행정기관의 허가를 받도록 했다.
## <제주도:LOC>는 이날 제<2:NOH>공항 입지로 선정된 <성산읍:LOC> 일대를 토지거래허가구역으로 지정하며 <500m²:NOH> 이상 농지 등의 땅을 사고팔 때 행정기관의 허가를 받도록 했다.
제주도	제주도	NNP	B-LOC
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
제	제	XPN	O
2	2	SN	B-NOH
공항	공항	NNG	O
_	_	_	O
입지	입지	NNG	O
로	로	JKB	O
_	_	_	O
선정된	선정되+ㄴ	VV+ETM	O
_	_	_	O
성산읍	성산읍	NNP	B-LOC
_	_	_	O
일대	일대	NNG	O
를	를	JKO	O
_	_	_	O
토지	토지	NNG	O
거래	거래	NNG	O
허가	허가	NNG	O
구역	구역	NNG	O
으로	으로	JKB	O
_	_	_	O
지정하	지정하	VV	O
며	며	EC	O
_	_	_	O
500	500	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
농지	농지	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
땅	땅	NNG	O
을	을	JKO	O
_	_	_	O
사고팔	사고팔+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
행정	행정	NNG	O
기관	기관	NNG	O
의	의	JKG	O
_	_	_	O
허가	허가	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
도록	도록	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 14
## 그러나 전국에서 멧돼지 서식밀도가 가장 낮은 경기지역도 km²당 2.2마리에 이른답니다.
## 그러나 전국에서 멧돼지 서식밀도가 가장 낮은 <경기:LOC>지역도 km²당 <2.2마리:NOH>에 이른답니다.
그러나	그러나	MAJ	O
_	_	_	O
전국	전국	NNG	O
에서	에서	JKB	O
_	_	_	O
멧돼지	멧돼지	NNG	O
_	_	_	O
서식	서식	NNG	O
밀도	밀도	NNG	O
가	가	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
낮	낮	VA	O
은	은	ETM	O
_	_	_	O
경기	경기	NNP	B-LOC
지역	지역	NNG	O
도	도	JX	O
_	_	_	O
km	km	SL	O
²	²	SW	O
당	당	XSN	O
_	_	_	O
2.2	2.2	SN	B-NOH
마리	마리	NNB	I-NOH
에	에	JKB	O
_	_	_	O
이른답니다	이르+ㄴ답니다	VV+EF	O
.	.	SF	O

## 15
## 지난한 수색 끝에 미수습자가 발견되더라도 신원 확인에는 최소 3주가 소요되므로 가족들은 애타는 마음으로 해수부의 통보를 기다릴 수밖에 없다.
## 지난한 수색 끝에 미수습자가 발견되더라도 신원 확인에는 최소 <3주:DUR>가 소요되므로 가족들은 애타는 마음으로 <해수부:ORG>의 통보를 기다릴 수밖에 없다.
지난한	지난하+ㄴ	VA+ETM	O
_	_	_	O
수색	수색	NNG	O
_	_	_	O
끝	끝	NNG	O
에	에	JKB	O
_	_	_	O
미	미	XPN	O
수습	수습	NNG	O
자	자	XSN	O
가	가	JKS	O
_	_	_	O
발견되	발견되	VV	O
더라도	더라도	EC	O
_	_	_	O
신원	신원	NNG	O
_	_	_	O
확인	확인	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
최소	최소	NNG	O
_	_	_	O
3	3	SN	B-DUR
주	주	NNB	I-DUR
가	가	JKS	O
_	_	_	O
소요되	소요되	VV	O
므로	므로	EC	O
_	_	_	O
가족	가족	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
애타	애타	VV	O
는	는	ETM	O
_	_	_	O
마음	마음	NNG	O
으로	으로	JKB	O
_	_	_	O
해수	해수	NNG	B-ORG
부	부	XSN	I-ORG
의	의	JKG	O
_	_	_	O
통보	통보	NNG	O
를	를	JKO	O
_	_	_	O
기다릴	기다리+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
밖에	밖에	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 16
## 【목포=뉴시스】
## 【<목포:LOC>=<뉴시스:ORG>】
【	【	SS	O
목포	목포	NNP	B-LOC
=	=	SW	O
뉴시스	뉴시스	NNP	B-ORG
】	】	SS	O

## 17
## 아시아자동차는 내년도 생산대수를 올해 13만8천대 보다 44.9% 증가한 20만대로 잡았다.
## <아시아자동차:ORG>는 내년도 생산대수를 올해 <13만8천대:NOH> 보다 <44.9%:PNT> 증가한 <20만대:NOH>로 잡았다.
아시아자동차	아시아자동차	NNP	B-ORG
는	는	JX	O
_	_	_	O
내년도	내년도	NNG	O
_	_	_	O
생산	생산	NNG	O
대수	대수	NNG	O
를	를	JKO	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
13	13	SN	B-NOH
만	만	NR	I-NOH
8	8	SN	I-NOH
천	천	NR	I-NOH
대	대	NNB	I-NOH
_	_	_	O
보다	보다	JKB	O
_	_	_	O
44.9	44.9	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
증가한	증가하+ㄴ	VV+ETM	O
_	_	_	O
20	20	SN	B-NOH
만	만	NR	I-NOH
대	대	NNB	I-NOH
로	로	JKB	O
_	_	_	O
잡	잡	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

