## 1
## 보조금 사업 집행점검단을 만들어 100억 원 이상 대형 사업의 타당성을 검증하는 방안도 추진한다.
## <보조금 사업 집행점검단:ORG>을 만들어 <100억 원:MNY> 이상 대형 사업의 타당성을 검증하는 방안도 추진한다.
보조금	보조금	NNG	B-ORG
만	만	JX	O
_	_	_	O
하	하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
작정한	작정하+ㄴ	VV+ETM	O
_	_	_	O
정당	정당	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

