## 1
## 코코본드는 은행권에서 올 상반기에만 2조원 넘게 발행됐다.
## 코코본드는 은행권에서 올 상반기에만 <2조원:MNY> 넘게 발행됐다.
코코	코코	NNP	O
공격	공격	NNG	O
이	이	JKS	O
_	_	_	O
한국	한국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
겨냥한	겨냥하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
인지	이+ㄴ지	VCP+EC	O
는	는	JX	O
_	_	_	O
아직	아직	MAG	O
_	_	_	O
예단할	예단하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다며	다며	EC	O
_	_	_	O
신중한	신중하+ㄴ	VA+ETM	O
_	_	_	O
반응	반응	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

