## 1
## 이중근 부영그룹 회장(사진)이 청년희망펀드에 10억 원을 기부했다.
## <이중근:PER> <부영그룹:ORG> 회장(사진)이 <청년희망펀드:POH>에 <10억:MNY> 원을 기부했다.
이중근	이중근	NNP	B-PER
&	&	SW	I-ORG
Dream	Dream	SL	I-ORG
]	]	SS	O
평택	평택	NNP	B-POH
스마트	스마트	NNG	I-POH
빌	빌	NNP	I-POH
포레	포레	NNP	I-POH
,	,	SP	O
_	_	_	O
3.3	3.3	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
당	당	XSN	O
_	_	_	O
400	400	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
대	대	XSN	O
의	의	JKG	O
_	_	_	O
착한	착하+ㄴ	VA+ETM	O
_	_	_	O
분양	분양	NNG	O
가	가	XSN	O

## 14
## 이어 “‘도둑들’과 다르게 만들고 싶었다.
## 이어 “‘<도둑들:POH>’과 다르게 만들고 싶었다.
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
‘	‘	SS	O
도둑	도둑	NNG	B-POH
들	들	XSN	I-POH
’	’	SS	O
과	과	JKB	O
_	_	_	O
다르	다르	VA	O
게	게	EC	O
_	_	_	O
만들	만들	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

