## 1
## 뮤지컬은 이번주 월요일(지난 13일)에 완전하게 끝났다.
## 뮤지컬은 이번주 <월요일:DAT>(지난 <13일:DAT>)에 완전하게 끝났다.
뮤지컬	뮤지컬	NNG	O
## 또 다른 평가 지표 중 <하나:NOH>인 전 세계 사회과학분야 학술 논문 데이터베이스 ‘<SSRN:POH> (<Social Science Research Network:POH>)’이 발표한 ‘<SSRN:POH> <TOP 1000:NOH> 비즈니스 스쿨’ 랭킹에서 <고려대 경영대학:ORG>은 국내 대학 중 가장 높은 <77위:NOH>(전체 기간·<2016년 9월 1일:DAT> 기준)에 올랐다.
또	또	MAG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
평가	평가	NNG	O
_	_	_	O
지표	지표	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
하나	하나	NNG	B-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
사회	사회	NNG	O
과학	과학	NNG	O
분야	분야	NNG	O
_	_	_	O
학술	학술	NNG	O
_	_	_	O
논문	논문	NNG	O
_	_	_	O
데이터베이스	데이터베이스	NNG	O
_	_	_	O
‘	‘	SS	O
SSRN	SSRN	SL	B-POH
_	_	_	O
(	(	SS	O
Social	Social	SL	B-POH
_	_	_	I-POH
Science	Science	SL	I-POH
_	_	_	I-POH
Research	Research	SL	I-POH
_	_	_	I-POH
Network	Network	SL	I-POH
)	)	SS	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
SSRN	SSRN	SL	B-POH
_	_	_	O
TOP	TOP	SL	B-NOH
_	_	_	I-NOH
1000	1000	SN	I-NOH
_	_	_	O
비즈니스	비즈니스	NNG	O
_	_	_	O
스쿨	스쿨	NNG	O
’	’	SS	O
_	_	_	O
랭킹	랭킹	NNG	O
에서	에서	JKB	O
_	_	_	O
고려대	고려대	NNP	B-ORG
_	_	_	I-ORG
경영	경영	NNG	I-ORG
대학	대학	NNG	I-ORG
은	은	JX	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
대학	대학	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
77	77	SN	B-NOH
위	위	NNB	I-NOH
(	(	SS	O
전체	전체	NNG	O
_	_	_	O
기간	기간	NNG	O
·	·	SP	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
9	9	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
1	1	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
기준	기준	NNG	O
)	)	SS	O
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 김수아 팀장은 “중독성 있는 맛과 독특한 비주얼 덕분에 개점 초기부터 인기몰이를 했다”며 “지금도 전국 대부분의 매장에서 주말이면 20분 이상 줄을 서서 기다려야 살 수 있다”고 말했다.
## <김수아:PER> 팀장은 “중독성 있는 맛과 독특한 비주얼 덕분에 개점 초기부터 인기몰이를 했다”며 “지금도 전국 대부분의 매장에서 주말이면 <20분:NOH> 이상 줄을 서서 기다려야 살 수 있다”고 말했다.
김수아	김수아	NNP	B-PER
_	_	_	O
팀장	팀장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
중독성	중독성	NNG	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
맛	맛	NNG	O
과	과	JC	O
_	_	_	O
독특한	독특하+ㄴ	VA+ETM	O
_	_	_	O
비주얼	비주얼	NNG	O
_	_	_	O
덕분	덕분	NNG	O
에	에	JKB	O
_	_	_	O
개점	개점	NNG	O
_	_	_	O
초기	초기	NNG	O
부터	부터	JX	O
_	_	_	O
인기	인기	NNG	O
몰이	몰이	NNG	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
지금	지금	NNG	O
도	도	JX	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
대부분	대부분	NNG	O
의	의	JKG	O
_	_	_	O
매장	매장	NNG	O
에서	에서	JKB	O
_	_	_	O
주말	주말	NNG	O
이	이	VCP	O
면	면	EC	O
_	_	_	O
20	20	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
줄	줄	NNG	O
을	을	JKO	O
_	_	_	O
서서	서+어서	VV+EC	O
_	_	_	O
기다려야	기다리+어야	VV+EC	O
_	_	_	O
살	살+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 고 씨에게 대리구매를 의뢰해 졸피뎀을 손에 넣은 고객 3명도 입건했는데 이 중 에이미가 포함된 것이다.
## <고:PER> 씨에게 대리구매를 의뢰해 <졸피뎀:POH>을 손에 넣은 고객 <3명:NOH>도 입건했는데 이 중 <에이미:PER>가 포함된 것이다.
고	고	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
에게	에게	JKB	O
_	_	_	O
대리	대리	NNG	O
구매	구매	NNG	O
를	를	JKO	O
_	_	_	O
의뢰해	의뢰하+여	VV+EC	O
_	_	_	O
졸	졸	NNG	B-POH
피	피	XPN	I-POH
뎀	뎀	NNG	I-POH
을	을	JKO	O
_	_	_	O
손	손	NNG	O
에	에	JKB	O
_	_	_	O
넣	넣	VV	O
은	은	ETM	O
_	_	_	O
고객	고객	NNG	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
도	도	JX	O
_	_	_	O
입건	입건하	VV	O
했	였	EP	O
는데	는데	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
중	중	NNB	O
_	_	_	O
에이미	에이미	NNP	B-PER
가	가	JKS	O
_	_	_	O
포함된	포함되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 경찰 관계자는 “에이미가 9월 경찰에 출석해 조사를 받는 동안 ‘병원에서 처방 받은 약을 배달받았을 뿐’이라며 혐의를 완강히 부인했다”고 밝혔다.
## 경찰 관계자는 “<에이미:PER>가 <9월:DAT> 경찰에 출석해 조사를 받는 동안 ‘병원에서 처방 받은 약을 배달받았을 뿐’이라며 혐의를 완강히 부인했다”고 밝혔다.
경찰	경찰	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
에이미	에이미	NNP	B-PER
가	가	JKS	O
_	_	_	O
9	9	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
경찰	경찰	NNG	O
에	에	JKB	O
_	_	_	O
출석해	출석하+여	VV+EC	O
_	_	_	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
‘	‘	SS	O
병원	병원	NNG	O
에서	에서	JKB	O
_	_	_	O
처방	처방	NNG	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
약	약	NNG	O
을	을	JKO	O
_	_	_	O
배달	배달	NNG	O
받	받	VV	O
았	았	EP	O
을	을	ETM	O
_	_	_	O
뿐	뿐	NNB	O
’	’	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
혐의	혐의	NNG	O
를	를	JKO	O
_	_	_	O
완강히	완강히	MAG	O
_	_	_	O
부인	부인하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이와 관련 에이미는 이날 동아닷컴과의 통화에서 “심부름 업체는 생필품 구입을 위해 이용해 왔을 뿐”이라며 “심부름 업체를 통해 졸피뎀을 사지 않았다”고 억울함을 호소했다.
## 이와 관련 <에이미:PER>는 이날 <동아닷컴:ORG>과의 통화에서 “심부름 업체는 생필품 구입을 위해 이용해 왔을 뿐”이라며 “심부름 업체를 통해 <졸피뎀:POH>을 사지 않았다”고 억울함을 호소했다.
이	이	NP	O
와	와	JKB	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
에이미	에이미	NNP	B-PER
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
동아닷컴	동아닷컴	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
통화	통화	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
심부름	심부름	NNG	O
_	_	_	O
업체	업체	NNG	O
는	는	JX	O
_	_	_	O
생필품	생필품	NNG	O
_	_	_	O
구입	구입	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
이용해	이용하+여	VV+EC	O
_	_	_	O
왔	+았	+EP	O
을	을	ETM	O
_	_	_	O
뿐	뿐	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
심부름	심부름	NNG	O
_	_	_	O
업체	업체	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
졸	졸	NNG	B-POH
피	피	XPN	I-POH
뎀	뎀	NNG	I-POH
을	을	JKO	O
_	_	_	O
사	사	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
억울함	억울하+ㅁ	VA+ETN	O
을	을	JKO	O
_	_	_	O
호소	호소하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## ‘한강라인’ 아파트들의 인기 요인은 무엇보다도 쾌적한 주거 환경이다.
## ‘<한강:LOC>라인’ 아파트들의 인기 요인은 무엇보다도 쾌적한 주거 환경이다.
‘	‘	SS	O
한	한	NNP	B-LOC
강	강	NNG	I-LOC
라인	라인	NNG	O
’	’	SS	O
_	_	_	O
아파트	아파트	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
인기	인기	NNG	O
_	_	_	O
요인	요인	NNG	O
은	은	JX	O
_	_	_	O
무엇	무엇	NP	O
보다	보다	JKB	O
도	도	JX	O
_	_	_	O
쾌적한	쾌적하+ㄴ	VA+ETM	O
_	_	_	O
주거	주거	NNG	O
_	_	_	O
환경	환경	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 이렇게 세계 원자력산업에서 한국이 선두주자로서의 역할을 공고히 할 수 있는 현 상황에서 원자력 종주국이었던 미국과 신원자력협정에서 동반자적 파트너십을 구축해 미래지향적이고 전략적인 협력을 추진해 나가기로 한 것은 매우 시의적절하다고 본다.
## 이렇게 세계 원자력산업에서 <한국:ORG>이 선두주자로서의 역할을 공고히 할 수 있는 현 상황에서 원자력 종주국이었던 <미국:ORG>과 신원자력협정에서 동반자적 파트너십을 구축해 미래지향적이고 전략적인 협력을 추진해 나가기로 한 것은 매우 시의적절하다고 본다.
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
원자력	원자력	NNG	O
산업	산업	NNG	O
에서	에서	JKB	O
_	_	_	O
한국	한국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
선두	선두	NNG	O
주자	주자	NNG	O
로서	로서	JKB	O
의	의	JKG	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
공고히	공고히	MAG	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
현	현	MM	O
_	_	_	O
상황	상황	NNG	O
에서	에서	JKB	O
_	_	_	O
원자력	원자력	NNG	O
_	_	_	O
종주국	종주국	NNG	O
이	이	VCP	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
미국	미국	NNP	B-ORG
과	과	JC	O
_	_	_	O
신	신	NNG	O
원자력협정	원자력협정	NNG	O
에서	에서	JKB	O
_	_	_	O
동반자	동반자	NNG	O
적	적	XSN	O
_	_	_	O
파트너십	파트너십	NNG	O
을	을	JKO	O
_	_	_	O
구축해	구축하+여	VV+EC	O
_	_	_	O
미래	미래	NNG	O
지향	지향	NNG	O
적	적	XSN	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
전략적	전략적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
협력	협력	NNG	O
을	을	JKO	O
_	_	_	O
추진해	추진하+여	VV+EC	O
_	_	_	O
나가	나가	VX	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
시의적절하	시의적절하	VA	O
다고	다고	EC	O
_	_	_	O
본다	보+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 가뜩이나 힘겹게 하루하루를 연명하는 한국 경제는 나락으로 떨어질 수도 있다.
## 가뜩이나 힘겹게 하루하루를 연명하는 <한국:ORG> 경제는 나락으로 떨어질 수도 있다.
가뜩이나	가뜩이나	MAG	O
_	_	_	O
힘겹	힘겹	VA	O
게	게	EC	O
_	_	_	O
하루하루	하루하루	NNG	O
를	를	JKO	O
_	_	_	O
연명하	연명하	VV	O
는	는	ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
경제	경제	NNG	O
는	는	JX	O
_	_	_	O
나락	나락	NNG	O
으로	으로	JKB	O
_	_	_	O
떨어질	떨어지+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 11
## ‘PD수첩’ 싸이, 과거 軍 재입대 심경 들어보니? “만삭 아내 눈물 펑펑”MBC ‘PD수첩’이 가수 싸이의 건물을 둘러싼 건물주와 세입자 논란을 다룬 가운데, 과거 싸이가 재입대 심경을 밝힌 것이 재조명 받았다.
## ‘<PD수첩:POH>’ <싸이:PER>, 과거 軍 재입대 심경 들어보니? “만삭 아내 눈물 펑펑”<MBC:ORG> ‘<PD수첩:POH>’이 가수 <싸이:PER>의 건물을 둘러싼 건물주와 세입자 논란을 다룬 가운데, 과거 <싸이:PER>가 재입대 심경을 밝힌 것이 재조명 받았다.
‘	‘	SS	O
PD	PD	SL	B-POH
수첩	수첩	NNG	I-POH
’	’	SS	O
_	_	_	O
싸이	싸이	NNP	B-PER
,	,	SP	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
軍	軍	SH	O
_	_	_	O
재	재	XPN	O
입대	입대	NNG	O
_	_	_	O
심경	심경	NNG	O
_	_	_	O
들	듣	VV	O
어	어	EC	O
보	보	VX	O
니	니	EF	O
?	?	SF	O
_	_	_	O
“	“	SS	O
만삭	만삭	NNG	O
_	_	_	O
아내	아내	NNG	O
_	_	_	O
눈물	눈물	NNG	O
_	_	_	O
펑펑	펑펑	MAG	O
”	”	SS	O
MBC	MBC	SL	B-ORG
_	_	_	O
‘	‘	SS	O
PD	PD	SL	B-POH
수첩	수첩	NNG	I-POH
’	’	SS	O
이	이	JKS	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
싸이	싸이	NNP	B-PER
의	의	JKG	O
_	_	_	O
건물	건물	NNG	O
을	을	JKO	O
_	_	_	O
둘러싼	둘러싸+ㄴ	VV+ETM	O
_	_	_	O
건물	건물	NNG	O
주	주	XSN	O
와	와	JC	O
_	_	_	O
세입자	세입자	NNG	O
_	_	_	O
논란	논란	NNG	O
을	을	JKO	O
_	_	_	O
다룬	다루+ㄴ	VV+ETM	O
_	_	_	O
가운데	가운데	NNG	O
,	,	SP	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
싸이	싸이	NNP	B-PER
가	가	JKS	O
_	_	_	O
재	재	XPN	O
입대	입대	NNG	O
_	_	_	O
심경	심경	NNG	O
을	을	JKO	O
_	_	_	O
밝힌	밝히+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
재조명	재조명	NNG	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 12
## LG전자의 트윈워시는 냉장고의 냉장실·냉동실처럼 세탁기의 상단엔 드럼, 하단엔 통돌이를 결합해 인기를 모으고 있다.
## <LG전자:ORG>의 <트윈워시:POH>는 냉장고의 냉장실·냉동실처럼 세탁기의 상단엔 드럼, 하단엔 통돌이를 결합해 인기를 모으고 있다.
LG	LG	SL	B-ORG
전자	전자	NNG	I-ORG
의	의	JKG	O
_	_	_	O
트윈	트윈	NNG	B-POH
워시	워시	NNG	I-POH
는	는	JX	O
_	_	_	O
냉장고	냉장고	NNG	O
의	의	JKG	O
_	_	_	O
냉장실	냉장실	NNG	O
·	·	SP	O
냉동실	냉동실	NNG	O
처럼	처럼	JKB	O
_	_	_	O
세탁기	세탁기	NNG	O
의	의	JKG	O
_	_	_	O
상단	상단	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
드럼	드럼	NNG	O
,	,	SP	O
_	_	_	O
하단	하단	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
통돌이	통돌이	NNP	O
를	를	JKO	O
_	_	_	O
결합해	결합하+여	VV+EC	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
모으	모으	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 13
## 두 대의 세탁기를 한 대에 넣으면 진동이 심해지는 약점이 있지만 LG전자는 기술력으로 이 문제를 해결했다.
## <두 대:NOH>의 세탁기를 <한 대:NOH>에 넣으면 진동이 심해지는 약점이 있지만 <LG전자:ORG>는 기술력으로 이 문제를 해결했다.
두	두	MM	B-NOH
_	_	_	I-NOH
대	대	NNB	I-NOH
의	의	JKG	O
_	_	_	O
세탁기	세탁기	NNG	O
를	를	JKO	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
대	대	NNB	I-NOH
에	에	JKB	O
_	_	_	O
넣	넣	VV	O
으면	으면	EC	O
_	_	_	O
진동	진동	NNG	O
이	이	JKS	O
_	_	_	O
심해	심하+여	VA+EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
약점	약점	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
지만	지만	EC	O
_	_	_	O
LG	LG	SL	B-ORG
전자	전자	NNG	I-ORG
는	는	JX	O
_	_	_	O
기술력	기술력	NNG	O
으로	으로	JKB	O
_	_	_	O
이	이	MM	O
_	_	_	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
해결	해결하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

