## 1
## 남송의 비평가인 조희곡은 자신이 쓴 ‘고화변(古畵辯)’에서 이렇게 말합니다.
## <남송:ORG>의 비평가인 <조희곡:PER>은 자신이 쓴 ‘<고화변:POH>(<古畵辯:POH>)’에서 이렇게 말합니다.
남송	남송	NNP	B-ORG
_	_	_	O
“	“	SS	O
이효리	이효리	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
_	_	_	O
힘내	힘내	VV	O
세요	세요	EF	O
!	!	SF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
이효리	이효리	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
_	_	_	O
얼마나	얼마나	MAG	O
_	_	_	O
힘들	힘들	VA	O
었	었	EP	O
으면	으면	EC	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
당부할까	당부하+ㄹ까	VV+EF	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
관광객	관광객	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
행태	행태	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
비판하	비판하	VV	O
고	고	EC	O
_	_	_	O
이효리	이효리	NNP	B-PER
를	를	JKO	O
_	_	_	O
격려하	격려하	VV	O
는	는	ETM	O
_	_	_	O
댓글	댓글	NNG	O
이	이	JKS	O
_	_	_	O
이어	이어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 35세가 마지노선이다.
## <35세:NOH>가 마지노선이다.
35	35	SN	B-NOH
세	세	NNB	I-NOH
가	가	JKC	O
_	_	_	O
마지노선	마지노선	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 장씨는 자신의 블로그에 채은이의 육아 일기를 1500일 동안 하루도 빼놓지 않고 썼다.
## <장:PER>씨는 자신의 블로그에 <채은이:PER>의 육아 일기를 <1500일:DUR> 동안 하루도 빼놓지 않고 썼다.
장	장	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
블로그	블로그	NNG	O
에	에	JKB	O
_	_	_	O
채은이	채은이	NNP	B-PER
의	의	JKG	O
_	_	_	O
육아	육아	NNG	O
_	_	_	O
일기	일기	NNG	O
를	를	JKO	O
_	_	_	O
1500	1500	SN	B-DUR
일	일	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
하루	하루	NNG	O
도	도	JX	O
_	_	_	O
빼놓	빼놓	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
썼	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 국방부는 10일 유균혜 부이사관(43·행시 39회·사진)을 고위공무원(국장급)으로 승진 임용했다고 밝혔다.
## <국방부:ORG>는 <10일:DAT> <유균혜:PER> 부이사관(<43:NOH>·행시 <39회:NOH>·사진)을 고위공무원(국장급)으로 승진 임용했다고 밝혔다.
국방부	국방부	NNG	B-ORG
는	는	JX	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
유균	유균	NNP	B-PER
혜	혜	NNG	I-PER
_	_	_	O
부이사관	부이사관	NNG	O
(	(	SS	O
43	43	SN	B-NOH
·	·	SP	O
행시	행시	NNG	O
_	_	_	O
39	39	SN	B-NOH
회	회	NNB	I-NOH
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
을	을	JKO	O
_	_	_	O
고위	고위	NNG	O
공무원	공무원	NNG	O
(	(	SS	O
국장	국장	NNG	O
급	급	NNG	O
)	)	SS	O
으로	으로	JKB	O
_	_	_	O
승진	승진	NNG	O
_	_	_	O
임용	임용하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 김성령 씨의 가운데 가르마는 동그란 얼굴이나 달걀형 얼굴에 어울리고, 긴 얼굴은 가르마를 없애는 편이 낫죠. 모발이 젖은 상태에서 머리를 뒤로 넘겨보세요. 이때 자연스럽게 가르마가 지는 부분이 자신의 원래 가르마예요.” 홍지선(브랜드엠 원장)‘테이스티 로드’ 박수진의 동안 단발STYLE POINT어려 보이면서도 손질이 편한 스타일을 연출하기 위해 많은 신경을 썼다.
## <김성령:PER> 씨의 가운데 가르마는 동그란 얼굴이나 달걀형 얼굴에 어울리고, 긴 얼굴은 가르마를 없애는 편이 낫죠. 모발이 젖은 상태에서 머리를 뒤로 넘겨보세요. 이때 자연스럽게 가르마가 지는 부분이 자신의 원래 가르마예요.” <홍지선:PER>(<브랜드엠:ORG> 원장)‘<테이스티 로드:POH>’ <박수진:PER>의 동안 단발STYLE POINT어려 보이면서도 손질이 편한 스타일을 연출하기 위해 많은 신경을 썼다.
김성령	김성령	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
가르마	가르마	NNG	O
는	는	JX	O
_	_	_	O
동그란	동그랗+ㄴ	VA+ETM	O
_	_	_	O
얼굴	얼굴	NNG	O
이나	이나	JC	O
_	_	_	O
달걀형	달걀형	NNG	O
_	_	_	O
얼굴	얼굴	NNG	O
에	에	JKB	O
_	_	_	O
어울리	어울리	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
긴	길+ㄴ	VA+ETM	O
_	_	_	O
얼굴	얼굴	NNG	O
은	은	JX	O
_	_	_	O
가르마	가르마	NNG	O
를	를	JKO	O
_	_	_	O
없애	없애	VV	O
는	는	ETM	O
_	_	_	O
편	편	NNB	O
이	이	JKS	O
_	_	_	O
낫	낫	VA	O
죠	죠	EF	O
.	.	SF	O
_	_	_	O
모발	모발	NNG	O
이	이	JKS	O
_	_	_	O
젖	젖	VV	O
은	은	ETM	O
_	_	_	O
상태	상태	NNG	O
에서	에서	JKB	O
_	_	_	O
머리	머리	NNG	O
를	를	JKO	O
_	_	_	O
뒤	뒤	NNG	O
로	로	JKB	O
_	_	_	O
넘겨	넘기+어	VV+EC	O
보	보	VX	O
세요	세요	EF	O
.	.	SF	O
_	_	_	O
이때	이때	NNG	O
_	_	_	O
자연스럽	자연스럽	VA	O
게	게	EC	O
_	_	_	O
가르마	가르마	NNG	O
가	가	JKS	O
_	_	_	O
지	지	VV	O
는	는	ETM	O
_	_	_	O
부분	부분	NNG	O
이	이	JKS	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
원래	원래	NNG	O
_	_	_	O
가르마	가르마+이	NNG+VCP	O
예요	에요	EF	O
.	.	SF	O
”	”	SS	O
_	_	_	O
홍지선	홍지선	NNP	B-PER
(	(	SS	O
브랜드	브랜드	NNG	B-ORG
엠	엠	NNG	I-ORG
_	_	_	O
원장	원장	NNG	O
)	)	SS	O
‘	‘	SS	O
테	테	NNG	B-POH
이스	이스	NNP	I-POH
티	티	NNG	I-POH
_	_	_	I-POH
로드	로드	NNP	I-POH
’	’	SS	O
_	_	_	O
박수진	박수진	NNP	B-PER
의	의	JKG	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
단발	단발	NNG	O
STYLE	STYLE	SL	O
_	_	_	O
POINT	POINT	SL	O
어려	어리+어	VV+EC	O
_	_	_	O
보이	보이	VV	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
손질	손질	NNG	O
이	이	JKS	O
_	_	_	O
편한	편하+ㄴ	VA+ETM	O
_	_	_	O
스타일	스타일	NNG	O
을	을	JKO	O
_	_	_	O
연출하	연출하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
신경	신경	NNG	O
을	을	JKO	O
_	_	_	O
썼	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 10
## 웰스파고는 고객 한 명당 8개의 상품을 판매하도록 목표를 설정했는데 실적 부진으로 해고당할 것을 두려워한 직원들이 부정행위를 저지른 것으로 알려졌다.
## <웰스파고:ORG>는 고객 <한 명:NOH>당 <8개:NOH>의 상품을 판매하도록 목표를 설정했는데 실적 부진으로 해고당할 것을 두려워한 직원들이 부정행위를 저지른 것으로 알려졌다.
웰스파고	웰스파고	NNP	B-ORG
는	는	JX	O
_	_	_	O
고객	고객	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
당	당	XSN	O
_	_	_	O
8	8	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
상품	상품	NNG	O
을	을	JKO	O
_	_	_	O
판매하	판매하	VV	O
도록	도록	EC	O
_	_	_	O
목표	목표	NNG	O
를	를	JKO	O
_	_	_	O
설정	설정하	VV	O
했	였	EP	O
는데	는데	EC	O
_	_	_	O
실적	실적	NNG	O
_	_	_	O
부진	부진	NNG	O
으로	으로	JKB	O
_	_	_	O
해고	해고	NNG	O
당할	당하+ㄹ	XSV+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
두려워한	두려워하+ㄴ	VV+ETM	O
_	_	_	O
직원	직원	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
부정행위	부정행위	NNG	O
를	를	JKO	O
_	_	_	O
저지른	저지르+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## ADPi는 일반인에겐 생소하지만 공항 전문가들은 이름만 대면 아는 회사다.
## <ADPi:ORG>는 일반인에겐 생소하지만 공항 전문가들은 이름만 대면 아는 회사다.
ADPi	ADPi	SL	B-ORG
는	는	JX	O
_	_	_	O
일반인	일반인	NNG	O
에겐	에게+ㄴ	JKB+JX	O
_	_	_	O
생소하	생소하	VA	O
지만	지만	EC	O
_	_	_	O
공항	공항	NNG	O
_	_	_	O
전문가	전문가	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
이름	이름	NNG	O
만	만	JX	O
_	_	_	O
대	대	VV	O
면	면	EC	O
_	_	_	O
아	알	VV	O
는	는	ETM	O
_	_	_	O
회사	회사+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 12
## @gallery_in_article_tag@2015년 첫 번째 ‘월간 신문콘서트’가 27일 오후 7시30분 서울 홍익대 앞 롤링홀에서 열렸다.
## @gallery_in_article_tag@<2015년:DAT> 첫 번째 ‘<월간 신문콘서트:POH>’가 <27일:DAT> <오후 7시30분:TIM> <서울:LOC> <홍익대:LOC> 앞 <롤링홀:LOC>에서 열렸다.
@	@	SW	O
gallery	gallery	SL	O
_	_	SW	O
in	in	SL	O
_	_	SW	O
article	article	SL	O
_	_	SW	O
tag	tag	SL	O
@	@	SW	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
첫	첫	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
‘	‘	SS	O
월간	월간	NNG	B-POH
_	_	_	I-POH
신문	신문	NNG	I-POH
콘서트	콘서트	NNG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
7	7	SN	I-TIM
시	시	NNB	I-TIM
30	30	SN	I-TIM
분	분	NNB	I-TIM
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
홍익대	홍익대	NNP	B-LOC
_	_	_	O
앞	앞	NNG	O
_	_	_	O
롤링	롤링	NNG	B-LOC
홀	홀	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
열	열리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

