## 1
## 우편은 1884년 우정총국의 설립으로 우편물건수가 1900년이후 10년동안 48배 증가했다.
## 우편은 <1884년:DAT> <우정총국:ORG>의 설립으로 우편물건수가 <1900년:DAT>이후 <10년동안:DUR> <48배:PNT> 증가했다.
우편	우편	NNG	O
## <하나은행 PB센터:ORG> 안에 <외환은행:ORG>의 FDI센터가 금융복합점포로 들어선 것은 이번이 처음이다.
하나은행	하나은행	NNP	B-ORG
_	_	_	I-ORG
PB	PB	SL	I-ORG
센터	센터	NNG	I-ORG
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
외환은행	외환은행	NNP	B-ORG
의	의	JKG	O
_	_	_	O
FDI	FDI	SL	O
센터	센터	NNG	O
가	가	JKS	O
_	_	_	O
금융	금융	NNG	O
복합	복합	NNG	O
점포	점포	NNG	O
로	로	JKB	O
_	_	_	O
들어선	들어서+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
이번	이번	NNG	O
이	이	JKS	O
_	_	_	O
처음	처음	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 레오나르도 트라산드(Leonardo Trasande) 박사는 “플라스틱 용기사용이 만연한 나라에서는 이 이 병들의 발병률이 높을 것”이라고 언급했다.
## <레오나르도 트라산드:PER>(<Leonardo Trasande:PER>) 박사는 “플라스틱 용기사용이 만연한 나라에서는 이 이 병들의 발병률이 높을 것”이라고 언급했다.
레오나르도	레오나르도	NNP	B-PER
_	_	_	I-PER
트라산드	트라산드	NNG	I-PER
(	(	SS	O
Leonardo	Leonardo	SL	B-PER
_	_	_	I-PER
Trasande	Trasande	SL	I-PER
)	)	SS	O
_	_	_	O
박사	박사	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
플라스틱	플라스틱	NNG	O
_	_	_	O
용기	용기	NNG	O
사용	사용	NNG	O
이	이	JKS	O
_	_	_	O
만연한	만연하+ㄴ	VV+ETM	O
_	_	_	O
나라	나라	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
이	이	MM	O
_	_	_	O
병	병	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
발병률	발병률	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
언급	언급하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 흡연 욕구는 5분 정도만 견디면 사라진다.
## 흡연 욕구는 <5분:DUR> 정도만 견디면 사라진다.
흡연	흡연	NNG	O
_	_	_	O
욕구	욕구	NNG	O
는	는	JX	O
_	_	_	O
5	5	SN	B-DUR
분	분	NNB	I-DUR
_	_	_	O
정도	정도	NNG	O
만	만	JX	O
_	_	_	O
견디	견디	VV	O
면	면	EC	O
_	_	_	O
사라진다	사라지+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 이와 함께 20일 가족과 함께하는 ‘떡메 치기’ ‘다식과 떡국 만들어 먹기’ ‘전통차 마시기’ ‘추억의 옥수수 뻥튀기’ 등 민속음식 체험행사를 연다.
## 이와 함께 <20일:DAT> 가족과 함께하는 ‘떡메 치기’ ‘다식과 떡국 만들어 먹기’ ‘전통차 마시기’ ‘추억의 옥수수 뻥튀기’ 등 민속음식 체험행사를 연다.
이	이	NP	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
20	20	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
가족	가족	NNG	O
과	과	JKB	O
_	_	_	O
함께하	함께하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
떡메	떡메	NNG	O
_	_	_	O
치	치	VV	O
기	기	ETN	O
’	’	SS	O
_	_	_	O
‘	‘	SS	O
다식과	다식과	NNG	O
_	_	_	O
떡국	떡국	NNG	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
_	_	_	O
먹	먹	VV	O
기	기	ETN	O
’	’	SS	O
_	_	_	O
‘	‘	SS	O
전통	전통	NNG	O
차	차	NNG	O
_	_	_	O
마시	마시	VV	O
기	기	ETN	O
’	’	SS	O
_	_	_	O
‘	‘	SS	O
추억	추억	NNG	O
의	의	JKG	O
_	_	_	O
옥수수	옥수수	NNG	O
_	_	_	O
뻥튀기	뻥튀기	NNG	O
’	’	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
민속	민속	NNG	O
음식	음식	NNG	O
_	_	_	O
체험	체험	NNG	O
행사	행사	NNG	O
를	를	JKO	O
_	_	_	O
연다	열+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 노스페이스(대표 성기학)는 휴가철을 맞아 여행 중 소지품을 안전하게 보관할 수 있고 사용공간을 확장할 수 있어 폭넓게 활용 가능한 트래블 백팩 3종(TRAVEL DG 80~82)을 출시했다.
## <노스페이스:ORG>(대표 <성기학:PER>)는 휴가철을 맞아 여행 중 소지품을 안전하게 보관할 수 있고 사용공간을 확장할 수 있어 폭넓게 활용 가능한 트래블 백팩 <3종:NOH>(<TRAVEL DG 80~82:POH>)을 출시했다.
노	노	NNP	B-ORG
스페이스	스페이스	NNG	I-ORG
(	(	SS	O
대표	대표	NNG	O
_	_	_	O
성기학	성기학	NNG	B-PER
)	)	SS	O
는	는	JX	O
_	_	_	O
휴가철	휴가철	NNG	O
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
아	아	EC	O
_	_	_	O
여행	여행	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
소지품	소지품	NNG	O
을	을	JKO	O
_	_	_	O
안전하	안전하	VA	O
게	게	EC	O
_	_	_	O
보관할	보관하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
고	고	EC	O
_	_	_	O
사용	사용	NNG	O
공간	공간	NNG	O
을	을	JKO	O
_	_	_	O
확장할	확장하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
폭넓	폭넓	VA	O
게	게	EC	O
_	_	_	O
활용	활용	NNG	O
_	_	_	O
가능한	가능하+ㄴ	VA+ETM	O
_	_	_	O
트래블	트래블	NNG	O
_	_	_	O
백팩	백팩	NNG	O
_	_	_	O
3	3	SN	B-NOH
종	종	NNG	I-NOH
(	(	SS	O
TRAVEL	TRAVEL	SL	B-POH
_	_	_	I-POH
DG	DG	SL	I-POH
_	_	_	I-POH
80	80	SN	I-POH
~	~	SO	I-POH
82	82	SN	I-POH
)	)	SS	O
을	을	JKO	O
_	_	_	O
출시	출시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 또한 호남의 개혁돌풍을 일으키며 ‘더 큰 광주’를 만들 적임자”라고 평가했다.
## 또한 <호남:ORG>의 개혁돌풍을 일으키며 ‘더 큰 <광주:ORG>’를 만들 적임자”라고 평가했다.
또한	또한	MAG	O
_	_	_	O
호남	호남	NNP	B-ORG
의	의	JKG	O
_	_	_	O
개혁	개혁	NNG	O
돌풍	돌풍	NNG	O
을	을	JKO	O
_	_	_	O
일으키	일으키	VV	O
며	며	EC	O
_	_	_	O
‘	‘	SS	O
더	더	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
광주	광주	NNP	B-ORG
’	’	SS	O
를	를	JKO	O
_	_	_	O
만들	만들+ㄹ	VV+ETM	O
_	_	_	O
적임자	적임자	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
평가	평가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 김 대변인은 승리 가능성에 대해 “충분히 경쟁력이 있기 때문에 승산이 있다고 보고 전략공천한 것”이라며 “처음에는 인지도가 낮고 기존의 현역 의원들에 비해 떨어지게 나온 게 사실이지만 시간이 지날 수록 충분히 해볼만한 상황”이라고 말했다.
## <김:PER> 대변인은 승리 가능성에 대해 “충분히 경쟁력이 있기 때문에 승산이 있다고 보고 전략공천한 것”이라며 “처음에는 인지도가 낮고 기존의 현역 의원들에 비해 떨어지게 나온 게 사실이지만 시간이 지날 수록 충분히 해볼만한 상황”이라고 말했다.
김	김	NNP	B-PER
_	_	_	O
대변인	대변인	NNG	O
은	은	JX	O
_	_	_	O
승리	승리	NNG	O
_	_	_	O
가능성	가능성	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
충분히	충분히	MAG	O
_	_	_	O
경쟁력	경쟁력	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
승산	승산	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다고	다고	EC	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
전략	전략	NNG	O
공천	공천	NNG	O
한	한	NNP	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
처음	처음	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
인지도	인지도	NNG	O
가	가	JKS	O
_	_	_	O
낮	낮	VA	O
고	고	EC	O
_	_	_	O
기존	기존	NNG	O
의	의	JKG	O
_	_	_	O
현역	현역	NNG	O
_	_	_	O
의원	의원	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
떨어지	떨어지	VV	O
게	게	EC	O
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
사실	사실	NNG	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
시간	시간	NNG	O
이	이	JKS	O
_	_	_	O
지날	지나+ㄹ	VV+ETM	O
_	_	_	O
수록	수록	NNG	O
_	_	_	O
충분히	충분히	MAG	O
_	_	_	O
해	하+여	VV+EC	O
볼	보+ㄹ	VX+ETM	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
상황	상황	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 허윤 서강대 국제대학원장은 “개별 국가들과의 FTA 추진은 큰 틀에서 맞는 방향이지만 한·중·일 FTA의 경우 중국이 워낙 낮은 수준의 FTA를 요구해 실익이 떨어지는 만큼 차라리 한·미·일 FTA를 추진하는 것이 더 낫다”고 말했다.
## <허윤:PER> <서강대:ORG> 국제대학원장은 “개별 국가들과의 <FTA:POH> 추진은 큰 틀에서 맞는 방향이지만 <한·중·일 FTA:POH>의 경우 <중국:ORG>이 워낙 낮은 수준의 <FTA:POH>를 요구해 실익이 떨어지는 만큼 차라리 <한·미·일 FTA:POH>를 추진하는 것이 더 낫다”고 말했다.
허윤	허윤	NNP	B-PER
_	_	_	O
서강대	서강대	NNP	B-ORG
_	_	_	O
국제	국제	NNG	O
대학	대학	NNG	O
원장	원장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
개별	개별	NNG	O
_	_	_	O
국가	국가	NNG	O
들	들	XSN	O
과	과	JKB	O
의	의	JKG	O
_	_	_	O
FTA	FTA	SL	B-POH
_	_	_	O
추진	추진	NNG	O
은	은	JX	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
틀	틀	NNG	O
에서	에서	JKB	O
_	_	_	O
맞	맞	VV	O
는	는	ETM	O
_	_	_	O
방향	방향	NNG	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
한	한	NNP	B-POH
·	·	SP	I-POH
중	중	NNP	I-POH
·	·	SP	I-POH
일	일	NNP	I-POH
_	_	_	I-POH
FTA	FTA	SL	I-POH
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
워낙	워낙	MAG	O
_	_	_	O
낮	낮	VA	O
은	은	ETM	O
_	_	_	O
수준	수준	NNG	O
의	의	JKG	O
_	_	_	O
FTA	FTA	SL	B-POH
를	를	JKO	O
_	_	_	O
요구해	요구하+여	VV+EC	O
_	_	_	O
실익	실익	NNG	O
이	이	JKS	O
_	_	_	O
떨어지	떨어지	VV	O
는	는	ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
차라리	차라리	MAG	O
_	_	_	O
한	한	NNP	B-POH
·	·	SP	I-POH
미	미	NNP	I-POH
·	·	SP	I-POH
일	일	NNP	I-POH
_	_	_	I-POH
FTA	FTA	SL	I-POH
를	를	JKO	O
_	_	_	O
추진하	추진하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
더	더	MAG	O
_	_	_	O
낫	낫	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 바른정당 유승민 후보는 이날 인천 연수구 인천상륙작전기념관에서 출정식을 열고 “기적의 역전 드라마를 만들겠다”고 강조했다.
## <바른정당:ORG> <유승민:PER> 후보는 이날 <인천 연수구:LOC> <인천상륙작전기념관:LOC>에서 출정식을 열고 “기적의 역전 드라마를 만들겠다”고 강조했다.
바른	바른	MM	B-ORG
정당	정당	NNG	I-ORG
_	_	_	O
유승민	유승민	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
인천	인천	NNP	B-LOC
_	_	_	I-LOC
연수구	연수구	NNP	I-LOC
_	_	_	O
인천	인천	NNP	B-LOC
상륙	상륙	NNG	I-LOC
작전	작전	NNG	I-LOC
기념관	기념관	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
출정식	출정식	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
고	고	EC	O
_	_	_	O
“	“	SS	O
기적	기적	NNG	O
의	의	JKG	O
_	_	_	O
역전	역전	NNG	O
_	_	_	O
드라마	드라마	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 반면, 사우디는 12월 일평균 26만배럴 줄어든 1046만배럴을 생산, 러시아에 최대 산유국 지위를 내줬다.
## 반면, <사우디:ORG>는 <12월:DAT> 일평균 <26만배럴:NOH> 줄어든 <1046만배럴:NOH>을 생산, <러시아:ORG>에 최대 산유국 지위를 내줬다.
반면	반면	NNG	O
,	,	SP	O
_	_	_	O
사우디	사우디	NNP	B-ORG
는	는	JX	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
일평균	일평균	NNG	O
_	_	_	O
26	26	SN	B-NOH
만	만	NR	I-NOH
배럴	배럴	NNB	I-NOH
_	_	_	O
줄어든	줄어들+ㄴ	VV+ETM	O
_	_	_	O
1046	1046	SN	B-NOH
만	만	NR	I-NOH
배럴	배럴	NNB	I-NOH
을	을	JKO	O
_	_	_	O
생산	생산	NNG	O
,	,	SP	O
_	_	_	O
러시아	러시아	NNP	B-ORG
에	에	JKB	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
산유국	산유국	NNG	O
_	_	_	O
지위	지위	NNG	O
를	를	JKO	O
_	_	_	O
내	내주	VV	O
줬	었	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 최근 백산수는 건강에 좋은 백두산 천연광천수라는 입소문 덕에 소비자들이 먼저 찾는 생수로 각광받고 있다.
## 최근 <백산수:POH>는 건강에 좋은 <백두산:LOC> 천연광천수라는 입소문 덕에 소비자들이 먼저 찾는 생수로 각광받고 있다.
최근	최근	NNG	O
_	_	_	O
백산	백산	NNP	B-POH
수	수	NNB	I-POH
는	는	JX	O
_	_	_	O
건강	건강	NNG	O
에	에	JKB	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
백두산	백두산	NNP	B-LOC
_	_	_	O
천연	천연	NNG	O
광천수	광천수+이	NNG+VCP	O
라는	라는	ETM	O
_	_	_	O
입	입	NNG	O
소문	소문	NNG	O
_	_	_	O
덕	덕	NNG	O
에	에	JKB	O
_	_	_	O
소비자	소비자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
찾	찾	VV	O
는	는	ETM	O
_	_	_	O
생수	생수	NNG	O
로	로	JKB	O
_	_	_	O
각광	각광	NNG	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

