## 1
## 예를 들어 열량이 600칼로리 미만인 새로운 인도 요리를 먹고 싶다고 말하면 휘스크 앱은 당신이 좋아할 만한 요리의 조리법을 제시한다.
## 예를 들어 열량이 <600칼로리:NOH> 미만인 새로운 <인도:LOC> 요리를 먹고 싶다고 말하면 <휘스크:POH> 앱은 당신이 좋아할 만한 요리의 조리법을 제시한다.
예	예	NNG	O
## 그 바람에 첫 위기가 금리 인상 10개월 만인 94년 12월에 시작됐다.
## 그 바람에 첫 위기가 금리 인상 <10개월 만:NOH>인 <94년 12월:DAT>에 시작됐다.
그	그	MM	O
_	_	_	O
바람	바람	NNB	O
에	에	JKB	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
위기	위기	NNG	O
가	가	JKS	O
_	_	_	O
금리	금리	NNG	O
_	_	_	O
인상	인상	NNG	O
_	_	_	O
10	10	SN	B-NOH
개월	개월	NNB	I-NOH
_	_	_	I-NOH
만	만	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
94	94	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
에	에	JKB	O
_	_	_	O
시작	시작되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 커트는 대단한 작곡가였다"고 입을 열었다.
## <커트:PER>는 대단한 작곡가였다"고 입을 열었다.
커트	커트	NNG	B-PER
는	는	JX	O
_	_	_	O
대단한	대단하+ㄴ	VA+ETM	O
_	_	_	O
작곡가	작곡가+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
입	입	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 활을 쏘며 당당한 삶을 추구하지만 상처와 두려움을 끝내 이겨내지 못하는 불안한 영혼의 아이, 그런 아이를 유아인이 연출해내고 있는 것이다.
## 활을 쏘며 당당한 삶을 추구하지만 상처와 두려움을 끝내 이겨내지 못하는 불안한 영혼의 아이, 그런 아이를 <유아인:PER>이 연출해내고 있는 것이다.
활	활	NNG	O
을	을	JKO	O
_	_	_	O
쏘	쏘	VV	O
며	며	EC	O
_	_	_	O
당당한	당당하+ㄴ	VA+ETM	O
_	_	_	O
삶	삶	NNG	O
을	을	JKO	O
_	_	_	O
추구하	추구하	VV	O
지만	지만	EC	O
_	_	_	O
상처	상처	NNG	O
와	와	JC	O
_	_	_	O
두려움	두려움	NNG	O
을	을	JKO	O
_	_	_	O
끝내	끝내	MAG	O
_	_	_	O
이겨	이기+어	VV+EC	O
내	내	VX	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
는	는	ETM	O
_	_	_	O
불안한	불안하+ㄴ	VA+ETM	O
_	_	_	O
영혼	영혼	NNG	O
의	의	JKG	O
_	_	_	O
아이	아이	NNG	O
,	,	SP	O
_	_	_	O
그런	그런	MM	O
_	_	_	O
아이	아이	NNG	O
를	를	JKO	O
_	_	_	O
유아	유아	NNG	B-PER
인	인	XSN	I-PER
이	이	JKS	O
_	_	_	O
연출해	연출하+여	VV+EC	O
내	내	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 또 성 회장의 특별사면 로비 의혹과 관련해 고 노무현 전 대통령의 친형 노건평 씨도 소환 조사한다.
## 또 <성:PER> 회장의 특별사면 로비 의혹과 관련해 고 <노무현:PER> 전 대통령의 친형 <노건평:PER> 씨도 소환 조사한다.
또	또	MAG	O
_	_	_	O
성	성	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
의	의	JKG	O
_	_	_	O
특별사면	특별사면	NNG	O
_	_	_	O
로비	로비	NNG	O
_	_	_	O
의혹	의혹	NNG	O
과	과	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
고	고	JKQ	O
_	_	_	O
노무현	노무현	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
친형	친형	NNG	O
_	_	_	O
노건평	노건평	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
도	도	JX	O
_	_	_	O
소환	소환	NNG	O
_	_	_	O
조사한다	조사하+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 현재 서울에서 운영 중인 데이케어센터는 312개. 이 가운데 187개소가 서울형 데이케어센터 인증을 받았다.
## 현재 <서울:LOC>에서 운영 중인 <데이케어센터:ORG>는 <312개:NOH>. 이 가운데 <187개소:NOH>가 서울형 <데이케어센터:ORG> 인증을 받았다.
현재	현재	MAG	O
_	_	_	O
서울	서울	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
운영	운영	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
데이케어	데이케어	NNG	B-ORG
센터	센터	NNG	I-ORG
는	는	JX	O
_	_	_	O
312	312	SN	B-NOH
개	개	NNB	I-NOH
.	.	SF	O
_	_	_	O
이	이	MM	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
187	187	SN	B-NOH
개소	개소	NNB	I-NOH
가	가	JKS	O
_	_	_	O
서울	서울	NNP	O
형	형	XSN	O
_	_	_	O
데이케어	데이케어	NNG	B-ORG
센터	센터	NNG	I-ORG
_	_	_	O
인증	인증	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 그는 산업용 기계를 수입·수출하는 무역회사 코캄엔지니어링을 설립했다.
## 그는 산업용 기계를 수입·수출하는 무역회사 <코캄엔지니어링:POH>을 설립했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
산업용	산업용	NNG	O
_	_	_	O
기계	기계	NNG	O
를	를	JKO	O
_	_	_	O
수입	수입	NNG	O
·	·	SP	O
수출하	수출하	VV	O
는	는	ETM	O
_	_	_	O
무역	무역	NNG	O
회사	회사	NNG	O
_	_	_	O
코캄엔지니어링	코캄엔지니어링	NNP	B-POH
을	을	JKO	O
_	_	_	O
설립	설립하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 안철수 국민의당 전 상임 공동대표는 1일 보수진영 텃밭인 대구를 찾아 범여권으로 분류되는 반기문 전 유엔 사무총장을 향해 "과거 현재 미래에서 모두 다음 정권을 맡을 적임자가 아니다"며 "제가 감히 그 적임자라 말씀드린다"고 강조했다.
## <안철수:PER> <국민의당:ORG> 전 상임 공동대표는 <1일:DAT> 보수진영 텃밭인 <대구:LOC>를 찾아 범여권으로 분류되는 <반기문:PER> 전 <유엔:ORG> 사무총장을 향해 "과거 현재 미래에서 모두 다음 정권을 맡을 적임자가 아니다"며 "제가 감히 그 적임자라 말씀드린다"고 강조했다.
안철수	안철수	NNP	B-PER
_	_	_	O
국민	국민	NNG	B-ORG
의당	의당	MAG	I-ORG
_	_	_	O
전	전	MM	O
_	_	_	O
상임	상임	NNG	O
_	_	_	O
공동대표	공동대표	NNG	O
는	는	JX	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
보수	보수	NNG	O
진영	진영	NNG	O
_	_	_	O
텃밭	텃밭	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
대구	대구	NNP	B-LOC
를	를	JKO	O
_	_	_	O
찾	찾	VV	O
아	아	EC	O
_	_	_	O
범	범	XPN	O
여권	여권	NNG	O
으로	으로	JKB	O
_	_	_	O
분류되	분류되	VV	O
는	는	ETM	O
_	_	_	O
반기문	반기문	NNP	B-PER
_	_	_	O
전	전	NNG	O
_	_	_	O
유엔	유엔	NNP	B-ORG
_	_	_	O
사무총장	사무총장	NNG	O
을	을	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
"	"	SS	O
과거	과거	NNG	O
_	_	_	O
현재	현재	NNG	O
_	_	_	O
미래	미래	NNG	O
에서	에서	JKB	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
정권	정권	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
을	을	ETM	O
_	_	_	O
적임자	적임자	NNG	O
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
"	"	SS	O
며	며	EC	O
_	_	_	O
"	"	SS	O
제	제	NP	O
가	가	JKS	O
_	_	_	O
감히	감히	MAG	O
_	_	_	O
그	그	MM	O
_	_	_	O
적임자	적임자+이	NNG+VCP	O
라	라	EC	O
_	_	_	O
말씀	말씀	NNG	O
드린다	드리+ㄴ다	XSV+EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 반 전 총장 지지율이 하락하는 국면에 중도보수층을 공략해 반 전 총장의 지지율 흡수에 나선 것이란 분석이 나온다.
## <반:PER> 전 총장 지지율이 하락하는 국면에 중도보수층을 공략해 <반:PER> 전 총장의 지지율 흡수에 나선 것이란 분석이 나온다.
반	반	NNG	B-PER
_	_	_	O
전	전	NNG	O
_	_	_	O
총장	총장	NNG	O
_	_	_	O
지지율	지지율	NNG	O
이	이	JKS	O
_	_	_	O
하락하	하락하	VV	O
는	는	ETM	O
_	_	_	O
국면	국면	NNG	O
에	에	JKB	O
_	_	_	O
중도	중도	NNG	O
보수	보수	NNG	O
층	층	XSN	O
을	을	JKO	O
_	_	_	O
공략해	공략하+여	VV+EC	O
_	_	_	O
반	반	NNG	B-PER
_	_	_	O
전	전	NNG	O
_	_	_	O
총장	총장	NNG	O
의	의	JKG	O
_	_	_	O
지지율	지지율	NNG	O
_	_	_	O
흡수	흡수	NNG	O
에	에	JKB	O
_	_	_	O
나선	나서+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
란	란	ETM	O
_	_	_	O
분석	분석	NNG	O
이	이	JKS	O
_	_	_	O
나온다	나오+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 안 전 대표는 이날 대구시의회에서 회견을 열어 "반 전 총장은 무엇보다 문재인 더불어민주당 전 대표를 이길 수 없는 후보"라며 "문 전 대표보다 더 젊고 깨끗하고 정치적 돌파력이 있고 책임져왔고 미래를 준비할 수 있고 정권교체 성격이 분명한 사람만이 문 전 대표를 이길 수 있다"고 밝혔다.
## <안:PER> 전 대표는 이날 <대구시의회:ORG>에서 회견을 열어 "<반:PER> 전 총장은 무엇보다 <문재인:PER> <더불어민주당:ORG> 전 대표를 이길 수 없는 후보"라며 "<문:PER> 전 대표보다 더 젊고 깨끗하고 정치적 돌파력이 있고 책임져왔고 미래를 준비할 수 있고 정권교체 성격이 분명한 사람만이 <문:PER> 전 대표를 이길 수 있다"고 밝혔다.
안	안	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
대구시	대구시	NNP	B-ORG
의회	의회	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
회견	회견	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
어	어	EC	O
_	_	_	O
"	"	SS	O
반	반	NNG	B-PER
_	_	_	O
전	전	NNG	O
_	_	_	O
총장	총장	NNG	O
은	은	JX	O
_	_	_	O
무엇	무엇	NP	O
보다	보다	JKB	O
_	_	_	O
문재인	문재인	NNP	B-PER
_	_	_	O
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
를	를	JKO	O
_	_	_	O
이길	이기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
후보	후보	NNG	O
"	"+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
"	"	SS	O
문	문	NNG	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
보다	보다	JKB	O
_	_	_	O
더	더	MAG	O
_	_	_	O
젊	젊	VA	O
고	고	EC	O
_	_	_	O
깨끗하	깨끗하	VA	O
고	고	EC	O
_	_	_	O
정치적	정치적	NNG	O
_	_	_	O
돌파력	돌파력	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
고	고	EC	O
_	_	_	O
책임져	책임지+어+오	VV+EC+VX	O
왔	았	EP	O
고	고	EC	O
_	_	_	O
미래	미래	NNG	O
를	를	JKO	O
_	_	_	O
준비할	준비하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
고	고	EC	O
_	_	_	O
정권	정권	NNG	O
교체	교체	NNG	O
_	_	_	O
성격	성격	NNG	O
이	이	JKS	O
_	_	_	O
분명한	분명하+ㄴ	VA+ETM	O
_	_	_	O
사람	사람	NNG	O
만	만	JX	O
이	이	JKS	O
_	_	_	O
문	문	NNG	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
를	를	JKO	O
_	_	_	O
이길	이기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 그는 반 전 총장에 대해 "과거 청산은 힘들단 게 많은 국민들의 판단"이라며 "나아가 혹시 대선에서 기적적으로 이긴다 해도 대한민국을 바꿀 수 있는 분은 아니다.
## 그는 <반:PER> 전 총장에 대해 "과거 청산은 힘들단 게 많은 국민들의 판단"이라며 "나아가 혹시 대선에서 기적적으로 이긴다 해도 <대한민국:ORG>을 바꿀 수 있는 분은 아니다.
그	그	NP	O
는	는	JX	O
_	_	_	O
반	반	NNG	B-PER
_	_	_	O
전	전	NNG	O
_	_	_	O
총장	총장	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
"	"	SS	O
과거	과거	NNG	O
_	_	_	O
청산	청산	NNG	O
은	은	JX	O
_	_	_	O
힘	힘	NNG	O
들	들	XSN	O
단	단	MAG	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
국민	국민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
판단	판단	NNG	O
"	"	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
"	"	SS	O
나아가	나아가+아	VV+EC	O
_	_	_	O
혹시	혹시	MAG	O
_	_	_	O
대선	대선	NNG	O
에서	에서	JKB	O
_	_	_	O
기적적	기적적	NNG	O
으로	으로	JKB	O
_	_	_	O
이긴다	이기+ㄴ다	VV+EC	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
대한민국	대한민국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
바꿀	바꾸+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
분	분	NNB	O
은	은	JX	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
.	.	SF	O

## 14
## ‘김○○’ 형태로 된 별명이 하도 많다 보니 아예 ‘별명’이 별명이 된 것이다.
## ‘<김○○:PER>’ 형태로 된 별명이 하도 많다 보니 아예 ‘별명’이 별명이 된 것이다.
‘	‘	SS	O
김	김	NNP	B-PER
○	○	SW	I-PER
○	○	SW	I-PER
’	’	SS	O
_	_	_	O
형태	형태	NNG	O
로	로	JKB	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
별명	별명	NNG	O
이	이	JKS	O
_	_	_	O
하도	하도	MAG	O
_	_	_	O
많	많	VA	O
다	다	EC	O
_	_	_	O
보	보	VX	O
니	니	EC	O
_	_	_	O
아예	아예	MAG	O
_	_	_	O
‘	‘	SS	O
별명	별명	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
별명	별명	NNG	O
이	이	JKC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 15
## 우선 현대차는 기존 텔레매틱스 서비스를 스마트폰 뿐만 아니라 손목시계를 통해 가능하게 하는 ‘스마트 워치’ 블루링크 시스템을 야심차게 선보인다.
## 우선 <현대차:ORG>는 기존 텔레매틱스 서비스를 스마트폰 뿐만 아니라 손목시계를 통해 가능하게 하는 ‘<스마트 워치:POH>’ <블루링크 시스템:POH>을 야심차게 선보인다.
우선	우선	MAG	O
_	_	_	O
현대차	현대차	NNP	B-ORG
는	는	JX	O
_	_	_	O
기존	기존	NNG	O
_	_	_	O
텔레매틱스	텔레매틱스	NNG	O
_	_	_	O
서비스	서비스	NNG	O
를	를	JKO	O
_	_	_	O
스마트	스마트	NNG	O
폰	폰	NNG	O
_	_	_	O
뿐	뿐	NNB	O
만	만	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
손목시계	손목시계	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
가능하	가능하	VA	O
게	게	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
스마트	스마트	NNG	B-POH
_	_	_	I-POH
워치	워치	NNG	I-POH
’	’	SS	O
_	_	_	O
블루	블루	NNG	B-POH
링크	링크	NNG	I-POH
_	_	_	I-POH
시스템	시스템	NNG	I-POH
을	을	JKO	O
_	_	_	O
야심	야심	NNG	O
차	차	VV	O
게	게	EC	O
_	_	_	O
선보인다	선보이+ㄴ다	VV+EF	O
.	.	SF	O

## 16
## 이렇게 교차하는 시선 속에서 린드블럼은 사직 홈팬들 앞에 첫선을 보였다.
## 이렇게 교차하는 시선 속에서 <린드블럼:PER>은 <사직:LOC> 홈팬들 앞에 첫선을 보였다.
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
교차하	교차하	VV	O
는	는	ETM	O
_	_	_	O
시선	시선	NNG	O
_	_	_	O
속	속	NNG	O
에서	에서	JKB	O
_	_	_	O
린드블럼	린드블럼	NNP	B-PER
은	은	JX	O
_	_	_	O
사직	사직	NNP	B-LOC
_	_	_	O
홈	홈	NNG	O
팬	팬	NNG	O
들	들	XSN	O
_	_	_	O
앞	앞	NNG	O
에	에	JKB	O
_	_	_	O
첫선	첫선	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 17
## 철도는 경원선(백마고지~남방한계선, 10.5㎞)ㆍ동해선(제진~강릉, 110㎞ㆍ금강산선(철원~남방한계선, 32.5㎞)의 남측 미연결 구간을 잇기 위한 사전조사에 착수할 계획이다.
## 철도는 <경원선:LOC>(<백마고지~남방한계선:LOC>, <10.5㎞:NOH>)ㆍ<동해선:LOC>(<제진~강릉:LOC>, <110㎞:NOH>ㆍ<금강산선:LOC>(<철원~남방한계선:LOC>, <32.5㎞:NOH>)의 남측 미연결 구간을 잇기 위한 사전조사에 착수할 계획이다.
철도	철도	NNG	O
는	는	JX	O
_	_	_	O
경원선	경원선	NNG	B-LOC
(	(	SS	O
백마고지	백마고지	NNP	B-LOC
~	~	SO	I-LOC
남방	남방	NNG	I-LOC
한계선	한계선	NNG	I-LOC
,	,	SP	O
_	_	_	O
10.5	10.5	SN	B-NOH
㎞	㎞	SW	I-NOH
)	)	SS	O
ㆍ	ㆍ	SP	O
동해선	동해선	NNP	B-LOC
(	(	SS	O
제진	제진	NNG	B-LOC
~	~	SO	I-LOC
강릉	강릉	NNP	I-LOC
,	,	SP	O
_	_	_	O
110	110	SN	B-NOH
㎞	㎞	SW	I-NOH
ㆍ	ㆍ	SP	O
금강산	금강산	NNP	B-LOC
선	선	NNG	I-LOC
(	(	SS	O
철원	철원	NNP	B-LOC
~	~	SO	I-LOC
남방	남방	NNG	I-LOC
한계선	한계선	NNG	I-LOC
,	,	SP	O
_	_	_	O
32.5	32.5	SN	B-NOH
㎞	㎞	SW	I-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
남측	남측	NNG	O
_	_	_	O
미	미	NNG	O
연결	연결	NNG	O
_	_	_	O
구간	구간	NNG	O
을	을	JKO	O
_	_	_	O
잇	잇	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
사전	사전	NNG	O
조사	조사	NNG	O
에	에	JKB	O
_	_	_	O
착수할	착수하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

