## 1
## 기성용은 18일(한국시간) 사우스햄턴과의 잉글랜드 프리미어리그 경기 도중 교체되는 과정에서 프란체스코 귀돌린 감독이 청한 악수를 무시했다.
## <기성용:PER>은 <18일:DAT>(<한국:LOC>시간) <사우스햄턴:ORG>과의 <잉글랜드 프리미어리그:POH> 경기 도중 교체되는 과정에서 <프란체스코 귀돌린:PER> 감독이 청한 악수를 무시했다.
기성용	기성용	NNP	B-PER
## <리:PER> 총리는 <22~29일:DUR>까지 <8일간:NOH> 일정으로 <호주:LOC>와 <뉴질랜드:LOC>를 순방하는 일정을 소화하고 있다.
리	리	NNP	B-PER
_	_	_	O
총리	총리	NNG	O
는	는	JX	O
_	_	_	O
22	22	SN	B-DUR
~	~	SO	I-DUR
29	29	SN	I-DUR
일	일	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
8	8	SN	B-NOH
일	일	NNB	I-NOH
간	간	XSN	I-NOH
_	_	_	O
일정	일정	NNG	O
으로	으로	JKB	O
_	_	_	O
호주	호주	NNP	B-LOC
와	와	JC	O
_	_	_	O
뉴질랜드	뉴질랜드	NNP	B-LOC
를	를	JKO	O
_	_	_	O
순방하	순방하	VV	O
는	는	ETM	O
_	_	_	O
일정	일정	NNG	O
을	을	JKO	O
_	_	_	O
소화하	소화하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 가파른 오르막을 넘나드는 ‘제1구간 수락·불암산 코스’(14.3km)는 상급자 구간이다.
## 가파른 오르막을 넘나드는 ‘<제1구간:NOH> <수락·불암산 코스:LOC>’(<14.3km:NOH>)는 상급자 구간이다.
가파른	가파르+ㄴ	VA+ETM	O
_	_	_	O
오르막	오르막	NNG	O
을	을	JKO	O
_	_	_	O
넘나드	넘나들	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
제	제	XPN	B-NOH
1	1	SN	I-NOH
구간	구간	NNG	I-NOH
_	_	_	O
수락	수락	NNG	B-LOC
·	·	SP	I-LOC
불암산	불암산	NNP	I-LOC
_	_	_	I-LOC
코스	코스	NNG	I-LOC
’	’	SS	O
(	(	SS	O
14.3	14.3	SN	B-NOH
km	km	SL	I-NOH
)	)	SS	O
는	는	JX	O
_	_	_	O
상급자	상급자	NNG	O
_	_	_	O
구간	구간	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 이로써 ⓓ병원에서 발생한 메르스 환자도 7명으로 늘었다.
## 이로써 <ⓓ병원:ORG>에서 발생한 <메르스:POH> 환자도 <7명:NOH>으로 늘었다.
이	이	NP	O
로써	로써	JKB	O
_	_	_	O
ⓓ	ⓓ	SW	B-ORG
병원	병원	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
발생한	발생하+ㄴ	VV+ETM	O
_	_	_	O
메르스	메르스	NNG	B-POH
_	_	_	O
환자	환자	NNG	O
도	도	JX	O
_	_	_	O
7	7	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 민관합동대책반은 그러나 “이 사례는 모두 의료기관 내 감염이고 관리대상이었던 만큼 지역사회로 확산된 것으로 보기는 어렵다”고 밝혔다.
## <민관합동대책반:ORG>은 그러나 “이 사례는 모두 의료기관 내 감염이고 관리대상이었던 만큼 지역사회로 확산된 것으로 보기는 어렵다”고 밝혔다.
민관	민관	NNG	B-ORG
합동	합동	NNG	I-ORG
대책	대책	NNG	I-ORG
반	반	NNG	I-ORG
은	은	JX	O
_	_	_	O
그러나	그러나	MAJ	O
_	_	_	O
“	“	SS	O
이	이	MM	O
_	_	_	O
사례	사례	NNG	O
는	는	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
의료	의료	NNG	O
기관	기관	NNG	O
_	_	_	O
내	내	NNB	O
_	_	_	O
감염	감염	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
관리	관리	NNG	O
대상	대상	NNG	O
이	이	VCP	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
지역	지역	NNG	O
사회	사회	NNG	O
로	로	JKB	O
_	_	_	O
확산된	확산되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
는	는	JX	O
_	_	_	O
어렵	어렵	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 한편 서울 ⓓ병원에서 메르스 확진자가 7명이나 발생하면서 불안감이 증폭되고 있다.
## 한편 <서울:LOC> <ⓓ병원:ORG>에서 메르스 확진자가 <7명:NOH>이나 발생하면서 불안감이 증폭되고 있다.
한편	한편	MAG	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
ⓓ	ⓓ	SW	B-ORG
병원	병원	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
메르스	메르스	NNG	O
_	_	_	O
확진	확진	NNG	O
자	자	XSN	O
가	가	JKS	O
_	_	_	O
7	7	SN	B-NOH
명	명	NNB	I-NOH
이나	이나	JX	O
_	_	_	O
발생하	발생하	VV	O
면서	면서	EC	O
_	_	_	O
불안감	불안감	NNG	O
이	이	JKS	O
_	_	_	O
증폭되	증폭되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 8
## 고음 유사해 동일인 가능성 높아 조동욱 충북도립대 의료전자학과 교수는 생체신호 분석 전문가로 가수 김범수, 박정현의 목소리를 분석한 사례가 있다.
## 고음 유사해 동일인 가능성 높아 <조동욱:PER> <충북도립대 의료전자학과:ORG> 교수는 생체신호 분석 전문가로 가수 <김범수:PER>, <박정현:PER>의 목소리를 분석한 사례가 있다.
고음	고음	NNG	O
_	_	_	O
유사해	유사하+여	VA+EC	O
_	_	_	O
동일인	동일인	NNG	O
_	_	_	O
가능성	가능성	NNG	O
_	_	_	O
높	높	VA	O
아	아	EC	O
_	_	_	O
조동욱	조동욱	NNP	B-PER
_	_	_	O
충북	충북	NNP	B-ORG
도립	도립	NNG	I-ORG
대	대	NNG	I-ORG
_	_	_	I-ORG
의료	의료	NNG	I-ORG
전자	전자	NNG	I-ORG
학과	학과	NNG	I-ORG
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
생체	생체	NNG	O
신호	신호	NNG	O
_	_	_	O
분석	분석	NNG	O
_	_	_	O
전문가	전문가	NNG	O
로	로	JKB	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
김범수	김범수	NNP	B-PER
,	,	SP	O
_	_	_	O
박정현	박정현	NNP	B-PER
의	의	JKG	O
_	_	_	O
목소리	목소리	NNG	O
를	를	JKO	O
_	_	_	O
분석한	분석하+ㄴ	VV+ETM	O
_	_	_	O
사례	사례	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 9
## 또 “영남과 경남이 결집하면 수도권으로까지 바람이 분다.
## 또 “<영남:LOC>과 <경남:LOC>이 결집하면 <수도권:LOC>으로까지 바람이 분다.
또	또	MAG	O
_	_	_	O
“	“	SS	O
영남	영남	NNP	B-LOC
과	과	JC	O
_	_	_	O
경남	경남	NNP	B-LOC
이	이	JKS	O
_	_	_	O
결집하	결집하	VV	O
면	면	EC	O
_	_	_	O
수도권	수도권	NNG	B-LOC
으로	으로	JKB	O
까지	까지	JX	O
_	_	_	O
바람	바람	NNG	O
이	이	JKS	O
_	_	_	O
분다	불+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 고노 전 관방장관은 ‘진실’을 기록했다.
## <고노:PER> 전 관방장관은 ‘진실’을 기록했다.
고노	고노	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
관방	관방	NNG	O
장관	장관	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
진실	진실	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## …(사)한국프로야구 은퇴선수협회(이하 한은회) 사무총장직을 맡고 있는 이용철 KBS 해설위원이 한은회 사무국에서 ‘라이스 버킷 챌린지’ 기부 캠페인에 동참했다.
## …<(사)한국프로야구 은퇴선수협회:ORG>(이하 <한은회:ORG>) 사무총장직을 맡고 있는 <이용철:PER> <KBS:ORG> 해설위원이 <한은회 사무국:ORG>에서 ‘<라이스 버킷 챌린지:POH>’ 기부 캠페인에 동참했다.
…	…	SE	O
(	(	SS	B-ORG
사	사	NNG	I-ORG
)	)	SS	I-ORG
한국	한국	NNP	I-ORG
프로야구	프로야구	NNG	I-ORG
_	_	_	I-ORG
은퇴	은퇴	NNG	I-ORG
선수	선수	NNG	I-ORG
협회	협회	NNG	I-ORG
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
한은	한은	NNP	B-ORG
회	회	XSN	I-ORG
)	)	SS	O
_	_	_	O
사무총장	사무총장	NNG	O
직	직	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
이용철	이용철	NNP	B-PER
_	_	_	O
KBS	KBS	SL	B-ORG
_	_	_	O
해설	해설	NNG	O
위원	위원	NNG	O
이	이	JKS	O
_	_	_	O
한은	한은	NNP	B-ORG
회	회	XSN	I-ORG
_	_	_	I-ORG
사무국	사무국	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
라이스	라이스	NNP	B-POH
_	_	_	I-POH
버킷	버킷	NNG	I-POH
_	_	_	I-POH
챌린지	챌린지	NNG	I-POH
’	’	SS	O
_	_	_	O
기부	기부	NNG	O
_	_	_	O
캠페인	캠페인	NNG	O
에	에	JKB	O
_	_	_	O
동참	동참하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 청와대는 “해외 건설 진출 50주년 기념 및 중동 진출 40여 년을 맞아 ‘제2의 중동 붐’을 우리나라 경제의 신성장 동력으로 활용하는 계기가 될 것”이라면서 “북핵 문제 해결 및 평화통일과 관련한 중동 국가들의 긴요한 협력 확보에도 기여할 것으로 기대된다”고 밝혔다.
## <청와대:ORG>는 “해외 건설 진출 <50주년:NOH> 기념 및 <중동:LOC> 진출 <40여 년:NOH>을 맞아 ‘<제2:NOH>의 <중동:LOC> 붐’을 우리나라 경제의 신성장 동력으로 활용하는 계기가 될 것”이라면서 “북핵 문제 해결 및 평화통일과 관련한 <중동:LOC> 국가들의 긴요한 협력 확보에도 기여할 것으로 기대된다”고 밝혔다.
청와대	청와대	NNP	B-ORG
는	는	JX	O
_	_	_	O
“	“	SS	O
해외	해외	NNG	O
_	_	_	O
건설	건설	NNG	O
_	_	_	O
진출	진출	NNG	O
_	_	_	O
50	50	SN	B-NOH
주년	주년	NNB	I-NOH
_	_	_	O
기념	기념	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
중동	중동	NNP	B-LOC
_	_	_	O
진출	진출	NNG	O
_	_	_	O
40	40	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
년	년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
아	아	EC	O
_	_	_	O
‘	‘	SS	O
제	제	XPN	B-NOH
2	2	SN	I-NOH
의	의	JKG	O
_	_	_	O
중동	중동	NNP	B-LOC
_	_	_	O
붐	붐	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
우리나라	우리나라	NNG	O
_	_	_	O
경제	경제	NNG	O
의	의	JKG	O
_	_	_	O
신	신	XPN	O
성장	성장	NNG	O
_	_	_	O
동력	동력	NNG	O
으로	으로	JKB	O
_	_	_	O
활용하	활용하	VV	O
는	는	ETM	O
_	_	_	O
계기	계기	NNG	O
가	가	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라면서	라면서	EC	O
_	_	_	O
“	“	SS	O
북	북	NNP	O
핵	핵	NNG	O
_	_	_	O
문제	문제	NNG	O
_	_	_	O
해결	해결	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
평화	평화	NNG	O
통일	통일	NNG	O
과	과	JC	O
_	_	_	O
관련한	관련하+ㄴ	VV+ETM	O
_	_	_	O
중동	중동	NNP	B-LOC
_	_	_	O
국가	국가	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
긴요한	긴요하+ㄴ	VA+ETM	O
_	_	_	O
협력	협력	NNG	O
_	_	_	O
확보	확보	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
기여할	기여하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
기대된다	기대되+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 하지만 강현철 NH투자증권 연구원은 환율과 기준금리도 간과해선 안 된다고 봤다.
## 하지만 <강현철:PER> <NH투자증권:ORG> 연구원은 환율과 기준금리도 간과해선 안 된다고 봤다.
하지만	하지만	MAJ	O
_	_	_	O
강현철	강현철	NNP	B-PER
_	_	_	O
NH	NH	SL	B-ORG
투자	투자	NNG	I-ORG
증권	증권	NNG	I-ORG
_	_	_	O
연구원	연구원	NNG	O
은	은	JX	O
_	_	_	O
환율	환율	NNG	O
과	과	JC	O
_	_	_	O
기준	기준	NNG	O
금리	금리	NNG	O
도	도	JX	O
_	_	_	O
간과해선	간과하+여서+ㄴ	VV+EC+JX	O
_	_	_	O
안	안	MAG	O
_	_	_	O
된다고	되+ㄴ다고	VV+EC	O
_	_	_	O
봤	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 14
## 도널드 트럼프 행정부 초기 아시아 정책의 틀이 만들어지고 있는 상황에서 아시아 핵심국 중 한국만 정상이 정치적 유고(有故) 상태다.
## <도널드 트럼프:PER> 행정부 초기 <아시아:LOC> 정책의 틀이 만들어지고 있는 상황에서 <아시아:LOC> 핵심국 중 <한국:ORG>만 정상이 정치적 유고(有故) 상태다.
도널드	도널드	NNP	B-PER
_	_	_	I-PER
트럼프	트럼프	NNP	I-PER
_	_	_	O
행정부	행정부	NNG	O
_	_	_	O
초기	초기	NNG	O
_	_	_	O
아시아	아시아	NNP	B-LOC
_	_	_	O
정책	정책	NNG	O
의	의	JKG	O
_	_	_	O
틀	틀	NNG	O
이	이	JKS	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
지	지	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
에서	에서	JKB	O
_	_	_	O
아시아	아시아	NNP	B-LOC
_	_	_	O
핵심	핵심	NNG	O
국	국	XSN	O
_	_	_	O
중	중	NNB	O
_	_	_	O
한국	한국	NNP	B-ORG
만	만	JX	O
_	_	_	O
정상	정상	NNG	O
이	이	JKS	O
_	_	_	O
정치적	정치적	NNG	O
_	_	_	O
유고	유고	NNP	O
(	(	SS	O
有故	有故	SH	O
)	)	SS	O
_	_	_	O
상태	상태+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

