## 1
## 첫 주행은 전기모터로 구동되고 이후 가솔린 엔진이 사용되는 차세대 볼트는 이번 EPA 조사에서 전기와 가솔린을 포함한 최대 주행가능 거리가 675km로 1세대에 비해 64km 연장 됐다.
## 첫 주행은 전기모터로 구동되고 이후 가솔린 엔진이 사용되는 차세대 <볼트:POH>는 이번 <EPA:ORG> 조사에서 전기와 가솔린을 포함한 최대 주행가능 거리가 <675km:NOH>로 <1세대:NOH>에 비해 <64km:NOH> 연장 됐다.
첫	첫	MM	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
오해	오해	NNG	O
,	,	SP	O
_	_	_	O
ADHD	ADHD	SL	B-POH
_	_	_	O
앓	앓	VV	O
으면	으면	EC	O
_	_	_	O
성공	성공	NNG	O
못한다	못하+ㄴ다	VX+EF	O
?	?	SF	O
…	…	SE	O
애덤	애덤	NNP	B-PER
_	_	_	I-PER
리바인	리바인	NNP	I-PER
-	-	SO	O
마이클	마이클	NNP	B-PER
_	_	_	I-PER
펠프스	펠프스	NNP	I-PER
-	-	SO	O
솔란	솔란+하	NNG+XSV	B-PER
지	지	EC	I-PER
_	_	_	I-PER
놀스	놀스	NNP	I-PER
도	도	JX	O
_	_	_	O
ADHDADHD	ADHDADHD	SL	B-POH
,	,	SP	O
_	_	_	O
즉	즉	MAG	O
_	_	_	O
주의력	주의력	NNG	B-POH
결핍	결핍	NNG	I-POH
과잉	과잉	NNG	I-POH
행동	행동	NNG	I-POH
장애	장애	NNG	I-POH
를	를	JKO	O
_	_	_	O
진단하	진단하	VV	O
는	는	ETM	O
_	_	_	O
경우	경우	NNG	O
는	는	JX	O
_	_	_	O
증가	증가	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
아직	아직	MAG	O
_	_	_	O
ADHD	ADHD	SL	B-POH
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
일반	일반	NNG	O
의	의	JKG	O
_	_	_	O
이해	이해	NNG	O
가	가	JKS	O
_	_	_	O
부족해	부족하+여	VA+EC	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
오해	오해	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
낳	낳	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘라디오스타’ 전진, “우결 이시영 언급에” 당황...“그건 좀 너무 세다”
## ‘<라디오스타:POH>’ <전진:PER>, “<우결:POH> <이시영:PER> 언급에” 당황...“그건 좀 너무 세다”
‘	‘	SS	O
라디오스타	라디오스타	NNP	B-POH
’	’	SS	O
_	_	_	O
전진	전진	NNG	B-PER
,	,	SP	O
_	_	_	O
“	“	SS	O
우결	우결	XR	B-POH
_	_	_	O
이시영	이시영	NNP	B-PER
_	_	_	O
언급	언급	NNG	O
에	에	JKB	O
”	”	SS	O
_	_	_	O
당황	당황	NNG	O
.	.	SF	O
.	.	SF	O
.	.	SF	O
“	“	SS	O
그건	그것+ㄴ	NP+JX	O
_	_	_	O
좀	좀	MAG	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
세	세	VA	O
다	다	EF	O
”	”	SS	O

## 4
## 세월호 1년 - 빅데이터 분석
## <세월호:POH> <1년:DAT> - 빅데이터 분석
세월호	세월호	NNP	B-POH
_	_	_	O
1	1	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
-	-	SO	O
_	_	_	O
빅	빅	NNG	O
데이터	데이터	NNG	O
_	_	_	O
분석	분석	NNG	O

## 5
## 지금까지 구간별 주차 허용 소형 화물차량이 1.1·1.4·1.5t 등 제각각이어서 이를 알지 못한 시민들의 불만이 많았다.
## 지금까지 구간별 주차 허용 소형 화물차량이 <1.1:NOH>·<1.4:NOH>·<1.5t:NOH> 등 제각각이어서 이를 알지 못한 시민들의 불만이 많았다.
지금	지금	NNG	O
까지	까지	JX	O
_	_	_	O
구간	구간	NNG	O
별	별	XSN	O
_	_	_	O
주차	주차	NNG	O
_	_	_	O
허용	허용	NNG	O
_	_	_	O
소형	소형	NNG	O
_	_	_	O
화물	화물	NNG	O
차량	차량	NNG	O
이	이	JKS	O
_	_	_	O
1.1	1.1	SN	B-NOH
·	·	SP	O
1.4	1.4	SN	B-NOH
·	·	SP	O
1.5	1.5	SN	B-NOH
t	t	SL	I-NOH
_	_	_	O
등	등	NNB	O
_	_	_	O
제각각	제각각	NNG	O
이	이	VCP	O
어서	어서	EC	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
알	알	VV	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
시민	시민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
불만	불만	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 2000년대 초반부터 기본계획이 수립됐지만 신촌캠퍼스 전체의 지도를 바꿔 놓는 수준의 사업 규모 때문에 쉽사리 추진되지 않았다.
## <2000년대:DUR> 초반부터 기본계획이 수립됐지만 신촌캠퍼스 전체의 지도를 바꿔 놓는 수준의 사업 규모 때문에 쉽사리 추진되지 않았다.
2000	2000	SN	B-DUR
년대	년대	NNB	I-DUR
_	_	_	O
초반	초반	NNG	O
부터	부터	JX	O
_	_	_	O
기본	기본	NNG	O
계획	계획	NNG	O
이	이	JKS	O
_	_	_	O
수립	수립되	VV	O
됐	었	EP	O
지만	지만	EC	O
_	_	_	O
신촌	신촌	NNP	O
캠퍼스	캠퍼스	NNG	O
_	_	_	O
전체	전체	NNG	O
의	의	JKG	O
_	_	_	O
지도	지도	NNG	O
를	를	JKO	O
_	_	_	O
바꿔	바꾸+어	VV+EC	O
_	_	_	O
놓	놓	VX	O
는	는	ETM	O
_	_	_	O
수준	수준	NNG	O
의	의	JKG	O
_	_	_	O
사업	사업	NNG	O
_	_	_	O
규모	규모	NNG	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
쉽사리	쉽사리	MAG	O
_	_	_	O
추진되	추진되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 부산 일본영사관 앞 소녀상 설치에 반발해 일본으로 돌아갔다가 85일 만인 이달 4일 귀임한 모리모토 야스히로(森本康敬) 주부산 일본 총영사가 19일 오전 10시께 박삼석 동구청장을 만나 소녀상 이전 등에 관해 의견을 교환했다.
## <부산 일본영사관:LOC> 앞 <소녀상:POH> 설치에 반발해 <일본:LOC>으로 돌아갔다가 <85일:NOH> 만인 이달 <4일:DAT> 귀임한 <모리모토 야스히로:PER>(<森本康敬:PER>) <주부산 일본 총영사:ORG>가 <19일:DAT> <오전 10시:TIM>께 <박삼석:PER> 동구청장을 만나 <소녀상:POH> 이전 등에 관해 의견을 교환했다.
부산	부산	NNP	B-LOC
_	_	_	I-LOC
일본	일본	NNP	I-LOC
영사관	영사관	NNG	I-LOC
_	_	_	O
앞	앞	NNG	O
_	_	_	O
소녀	소녀	NNG	B-POH
상	상	NNG	I-POH
_	_	_	O
설치	설치	NNG	O
에	에	JKB	O
_	_	_	O
반발해	반발하+여	VV+EC	O
_	_	_	O
일본	일본	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
돌아갔	돌아가+았	VV+EP	O
다가	다가	EC	O
_	_	_	O
85	85	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
만	만	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이달	이달	NNG	O
_	_	_	O
4	4	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
귀임한	귀임하+ㄴ	VV+ETM	O
_	_	_	O
모리모토	모리모토	NNP	B-PER
_	_	_	I-PER
야스히로	야스히로	NNP	I-PER
(	(	SS	O
森本康敬	森本康敬	SH	B-PER
)	)	SS	O
_	_	_	O
주부산	주부산	NNP	B-ORG
_	_	_	I-ORG
일본	일본	NNP	I-ORG
_	_	_	I-ORG
총영사	총영사	NNG	I-ORG
가	가	JKS	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
10	10	SN	I-TIM
시	시	NNB	I-TIM
께	께	XSN	O
_	_	_	O
박삼석	박삼석	NNP	B-PER
_	_	_	O
동	동	NNG	O
구청장	구청장	NNG	O
을	을	JKO	O
_	_	_	O
만나	만나+아	VV+EC	O
_	_	_	O
소녀	소녀	NNG	B-POH
상	상	NNG	I-POH
_	_	_	O
이전	이전	NNG	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
관해	관하+여	VV+EC	O
_	_	_	O
의견	의견	NNG	O
을	을	JKO	O
_	_	_	O
교환	교환하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 안드로이드 탑재폰 넥서스원, 태블릿 PC ‘넥서스 7’을 출시하며 직접 모바일 사업에도 뛰어들었다.
## <안드로이드:POH> 탑재폰 넥서스원, 태블릿 PC ‘<넥서스 7:POH>’을 출시하며 직접 모바일 사업에도 뛰어들었다.
안드로이드	안드로이드	NNG	B-POH
_	_	_	O
탑재	탑재	NNG	O
폰	폰	NNG	O
_	_	_	O
넥서스	넥서스	NNG	O
원	원	NNB	O
,	,	SP	O
_	_	_	O
태블릿	태블릿	NNG	O
_	_	_	O
PC	PC	SL	O
_	_	_	O
‘	‘	SS	O
넥서스	넥서스	NNG	B-POH
_	_	_	I-POH
7	7	SN	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
출시하	출시하	VV	O
며	며	EC	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
모바일	모바일	NNG	O
_	_	_	O
사업	사업	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
뛰어들	뛰어들	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 2012∼2013시즌 기성용이 프리미어리그 스완지시티에 입단했지만, 이청용의 볼턴이 챔피언십(2부 리그)으로 강등돼 둘은 그라운드에서 만나지 못했다.
## <2012∼2013:DUR>시즌 <기성용:PER>이 <프리미어리그:ORG> <스완지시티:ORG>에 입단했지만, <이청용:PER>의 <볼턴:ORG>이 <챔피언십:POH>(<2부 리그:POH>)으로 강등돼 둘은 그라운드에서 만나지 못했다.
2012	2012	SN	B-DUR
∼	∼	SO	I-DUR
2013	2013	SN	I-DUR
시즌	시즌	NNG	O
_	_	_	O
기성용	기성용	NNP	B-PER
이	이	JKS	O
_	_	_	O
프리미어	프리미어	NNG	B-ORG
리그	리그	NNG	I-ORG
_	_	_	O
스완지시티	스완지시티	NNP	B-ORG
에	에	JKB	O
_	_	_	O
입단	입단하	VV	O
했	었	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
이청용	이청용	NNP	B-PER
의	의	JKG	O
_	_	_	O
볼턴	볼턴	NNP	B-ORG
이	이	JKS	O
_	_	_	O
챔피언십	챔피언십	NNG	B-POH
(	(	SS	O
2	2	SN	B-POH
부	부	NNB	I-POH
_	_	_	I-POH
리그	리그	NNG	I-POH
)	)	SS	O
으로	으로	JKB	O
_	_	_	O
강등돼	강등되+어	VV+EC	O
_	_	_	O
둘	둘	NR	O
은	은	JX	O
_	_	_	O
그라운드	그라운드	NNG	O
에서	에서	JKB	O
_	_	_	O
만나	만나	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 지구온난화를 취재하기 위해 방문한 일루리사트는 여름을 맞았지만 여전히 얼음의 땅이었다.
## 지구온난화를 취재하기 위해 방문한 <일루리사트:PER>는 여름을 맞았지만 여전히 얼음의 땅이었다.
지구	지구	NNG	O
온난화	온난화	NNG	O
를	를	JKO	O
_	_	_	O
취재하	취재하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
방문한	방문하+ㄴ	VV+ETM	O
_	_	_	O
일루리사트	일루리사트	NNG	B-PER
는	는	JX	O
_	_	_	O
여름	여름	NNG	O
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
았	았	EP	O
지만	지만	EC	O
_	_	_	O
여전히	여전히	MAG	O
_	_	_	O
얼음	얼음	NNG	O
의	의	JKG	O
_	_	_	O
땅	땅	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

