## 1
## 유 후보는 “차관급 부처인 국가보훈처로는 정상적인 정책 입안과 타부처와 협조, 예산, 정책시행이 제한되고 보훈외교 대상 국가가 대부분 장관급으로 돼 있어 보훈외교도 취약하다”며 “국가보훈처를 장관급인 보훈부로 격상할 것”이라고 약속했다.
## <유:PER> 후보는 “차관급 부처인 <국가보훈처:ORG>로는 정상적인 정책 입안과 타부처와 협조, 예산, 정책시행이 제한되고 보훈외교 대상 국가가 대부분 장관급으로 돼 있어 보훈외교도 취약하다”며 “<국가보훈처:ORG>를 장관급인 <보훈부:ORG>로 격상할 것”이라고 약속했다.
유	유	NNP	B-PER
동력	동력	NNG	O
을	을	JKO	O
_	_	_	O
강화할	강화하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
총리	총리	NNG	O
_	_	_	O
주관	주관	NNG	O
_	_	_	O
국가	국가	NNG	B-ORG
보훈	보훈	NNG	I-ORG
_	_	_	I-ORG
중앙	중앙	NNG	I-ORG
협의회	협의회	NNG	I-ORG
_	_	_	O
및	및	MAG	O
_	_	_	O
국무	국무	NNG	B-ORG
조정	조정	NNG	I-ORG
실	실	XSN	I-ORG
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
실무	실무	NNG	O
조직	조직	NNG	O
을	을	JKO	O
_	_	_	O
구성하	구성하	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 또 “지자체장이 주관하는 국가보훈 지방협의회 및 실무조직을 구성하고 보훈정책연구원을 설치해 보후부의 싱크탱크 역할을 수행하도록 하겠다”고 했다.
## 또 “지자체장이 주관하는 <국가보훈 지방협의회:ORG> 및 실무조직을 구성하고 <보훈정책연구원:ORG>을 설치해 <보후부:ORG>의 싱크탱크 역할을 수행하도록 하겠다”고 했다.
또	또	MAG	O
_	_	_	O
“	“	SS	O
지자체	지자체	NNG	O
장	장	XSN	O
이	이	JKS	O
_	_	_	O
주관하	주관하	VV	O
는	는	ETM	O
_	_	_	O
국가	국가	NNG	B-ORG
보훈	보훈	NNG	I-ORG
_	_	_	I-ORG
지방	지방	NNG	I-ORG
협의회	협의회	NNG	I-ORG
_	_	_	O
및	및	MAG	O
_	_	_	O
실무	실무	NNG	O
조직	조직	NNG	O
을	을	JKO	O
_	_	_	O
구성하	구성하	VV	O
고	고	EC	O
_	_	_	O
보훈	보훈	NNG	B-ORG
정책	정책	NNG	I-ORG
연구원	연구원	NNG	I-ORG
을	을	JKO	O
_	_	_	O
설치해	설치하+여	VV+EC	O
_	_	_	O
보후	보후	NNP	B-ORG
부	부	XSN	I-ORG
의	의	JKG	O
_	_	_	O
싱크탱크	싱크탱크	NNG	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
수행하	수행하	VV	O
도록	도록	EC	O
_	_	_	O
하	하	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 【베이루트=로이터 연합 특약】
## 【<베이루트:LOC>=<로이터 연합 특약:POH>】
【	【	SS	O
베이루트	베이루트	NNP	B-LOC
=	=	SW	O
로이터	로이터	NNP	B-POH
_	_	_	I-POH
연합	연합	NNG	I-POH
_	_	_	I-POH
특약	특약	NNG	I-POH
】	】	SS	O

## 5
## 당 일각에선 문 전 대표가 호남 민심을 되돌리기 위해 조만간 다시 호남을 찾을 거라는 관측도 나온다.
## 당 일각에선 <문:PER> 전 대표가 <호남:LOC> 민심을 되돌리기 위해 조만간 다시 <호남:LOC>을 찾을 거라는 관측도 나온다.
당	당	NNG	O
_	_	_	O
일각	일각	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
문	문	NNG	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
가	가	JKS	O
_	_	_	O
호남	호남	NNP	B-LOC
_	_	_	O
민심	민심	NNG	O
을	을	JKO	O
_	_	_	O
되돌리	되돌리	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
조만간	조만간	MAG	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
호남	호남	NNP	B-LOC
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
을	을	ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
라는	라는	ETM	O
_	_	_	O
관측	관측	NNG	O
도	도	JX	O
_	_	_	O
나온다	나오+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 국민의당 안철수 후보는 한발 더 나갔다.
## <국민의당:ORG> <안철수:PER> 후보는 한발 더 나갔다.
국민	국민	NNG	B-ORG
의당	의당	MAG	I-ORG
_	_	_	O
안철수	안철수	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
한발	한발	MAG	O
_	_	_	O
더	더	MAG	O
_	_	_	O
나갔	나가+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 김영삼대통령은 오는 6일 연두 기자회견을 갖고 새해 국정운영 방향을 밝힐 예정이라고 주돈식청와대 대변인이 3일 밝혔다.
## <김영삼:PER>대통령은 오는 <6일:DAT> 연<두 기자회견:NOH>을 갖고 새해 국정운영 방향을 밝힐 예정이라고 <주돈식:PER><청와대:ORG> 대변인이 <3일:DAT> 밝혔다.
김영삼	김영삼	NNP	B-PER
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
연두	연두	NNG	B-NOH
_	_	_	I-NOH
기자	기자	NNG	I-NOH
회견	회견	NNG	I-NOH
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
새해	새해	NNG	O
_	_	_	O
국정	국정	NNG	O
운영	운영	NNG	O
_	_	_	O
방향	방향	NNG	O
을	을	JKO	O
_	_	_	O
밝힐	밝히+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
주돈식	주돈식	NNP	B-PER
청와대	청와대	NNP	B-ORG
_	_	_	O
대변인	대변인	NNG	O
이	이	JKS	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 윤아, 동국대학교 6년 만에 졸업…학사모 쓰고 ‘눈부신 미모’ 뽐내
## <윤아:PER>, <동국대학교:ORG> <6년 만:NOH>에 졸업…학사모 쓰고 ‘눈부신 미모’ 뽐내
윤아	윤아	NNP	B-PER
,	,	SP	O
_	_	_	O
동국대학교	동국대학교	NNP	B-ORG
_	_	_	O
6	6	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	I-NOH
만	만	NNB	I-NOH
에	에	JKB	O
_	_	_	O
졸업	졸업	NNG	O
…	…	SE	O
학사모	학사모	NNG	O
_	_	_	O
쓰	쓰	VV	O
고	고	EC	O
_	_	_	O
‘	‘	SS	O
눈부신	눈부시+ㄴ	VA+ETM	O
_	_	_	O
미모	미모	NNG	O
’	’	SS	O
_	_	_	O
뽐내	뽐내+어	VV+EC	O

## 9
## 그리고 12월 셋째 주 23.1%로 정점을 찍은 뒤 귀국 직후인 1월 둘째 주 22.2%를 기록한 반 전 총장 지지율은 셋째 주 19.8%, 넷째 주 15.4%까지 떨어졌다(그래프 참조·이하 여론조사와 관련한 자세한 내용은 중앙선거여론조사공정심의위원회 인터넷 홈페이지(www.nesdc.go.kr) 참조). 반 전 총장은 여야 대선주자 지지율 2위를 유지했지만 문 전 대표가 1월 셋째 주 29.1%에 이어 넷째 주 32.8%를 기록해 차이는 갈수록 벌어졌다.
## 그리고 <12월:DAT> 셋째 주 <23.1%:PNT>로 정점을 찍은 뒤 귀국 직후인 <1월:DAT> 둘째 주 <22.2%:PNT>를 기록한 <반:PER> 전 총장 지지율은 셋째 주 <19.8%:PNT>, 넷째 주 <15.4%:PNT>까지 떨어졌다(그래프 참조·이하 여론조사와 관련한 자세한 내용은 <중앙선거여론조사공정심의위원회:ORG> 인터넷 홈페이지(<www.nesdc.go.kr:POH>) 참조). <반:PER> 전 총장은 여야 대선주자 지지율 <2위:NOH>를 유지했지만 <문:PER> 전 대표가 <1월:DAT> 셋째 주 <29.1%:PNT>에 이어 넷째 주 <32.8%:PNT>를 기록해 차이는 갈수록 벌어졌다.
그리고	그리고	MAJ	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
셋째	셋째	NR	O
_	_	_	O
주	주	NNP	O
_	_	_	O
23.1	23.1	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
정점	정점	NNG	O
을	을	JKO	O
_	_	_	O
찍	찍	VV	O
은	은	ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
귀국	귀국	NNG	O
_	_	_	O
직후	직후	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
둘째	둘째	NR	O
_	_	_	O
주	주	NNP	O
_	_	_	O
22.2	22.2	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
기록한	기록하+ㄴ	VV+ETM	O
_	_	_	O
반	반	NNG	B-PER
_	_	_	O
전	전	NNG	O
_	_	_	O
총장	총장	NNG	O
_	_	_	O
지지율	지지율	NNG	O
은	은	JX	O
_	_	_	O
셋째	셋째	NR	O
_	_	_	O
주	주	NNP	O
_	_	_	O
19.8	19.8	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
넷째	넷째	NR	O
_	_	_	O
주	주	NNP	O
_	_	_	O
15.4	15.4	SN	B-PNT
%	%	SW	I-PNT
까지	까지	JX	O
_	_	_	O
떨어	떨어지	VV	O
졌	었	EP	O
다	다	EF	O
(	(	SS	O
그래프	그래프	NNG	O
_	_	_	O
참조	참조	NNG	O
·	·	SP	O
이하	이하	NNG	O
_	_	_	O
여론조사	여론조사	NNG	O
와	와	JC	O
_	_	_	O
관련한	관련하+ㄴ	VV+ETM	O
_	_	_	O
자세한	자세하+ㄴ	VA+ETM	O
_	_	_	O
내용	내용	NNG	O
은	은	JX	O
_	_	_	O
중앙	중앙	NNG	B-ORG
선거	선거	NNG	I-ORG
여론조사	여론조사	NNG	I-ORG
공정	공정	NNG	I-ORG
심의	심의	NNG	I-ORG
위원회	위원회	NNG	I-ORG
_	_	_	O
인터넷	인터넷	NNG	O
_	_	_	O
홈페이지	홈페이지	NNG	O
(	(	SS	O
www	www	SL	B-POH
.	.	SF	I-POH
nesdc	nesdc	SL	I-POH
.	.	SF	I-POH
go	go	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
)	)	SS	O
_	_	_	O
참조	참조	NNG	O
)	)	SS	O
.	.	SF	O
_	_	_	O
반	반	NNG	B-PER
_	_	_	O
전	전	NNG	O
_	_	_	O
총장	총장	NNG	O
은	은	JX	O
_	_	_	O
여야	여야	NNG	O
_	_	_	O
대선	대선	NNG	O
주자	주자	NNG	O
_	_	_	O
지지율	지지율	NNG	O
_	_	_	O
2	2	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
유지	유지하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
문	문	NNG	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
가	가	JKS	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
셋째	셋째	NR	O
_	_	_	O
주	주	NNP	O
_	_	_	O
29.1	29.1	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
넷째	넷째	NR	O
_	_	_	O
주	주	NNP	O
_	_	_	O
32.8	32.8	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
기록해	기록하+여	VV+EC	O
_	_	_	O
차이	차이	NNG	O
는	는	JX	O
_	_	_	O
갈수록	갈수록	MAG	O
_	_	_	O
벌어	벌어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 더불어 세계화 과정에서 도시 공간을 중심으로 발현되고 있는 ‘이주’, ‘경계’, ‘커뮤니티’, ‘도시 공동체’ 등 유, 무형적 형태의 ‘디아스포라’ 현상을 사진 이미지로 구현하는 작업들을 통하여 ‘미래 도시 서울’의 청사진을 제시하는 장이 될 것이다"고 전했다.
## 더불어 세계화 과정에서 도시 공간을 중심으로 발현되고 있는 ‘이주’, ‘경계’, ‘커뮤니티’, ‘도시 공동체’ 등 유, 무형적 형태의 ‘디아스포라’ 현상을 사진 이미지로 구현하는 작업들을 통하여 ‘<미래 도시 서울:LOC>’의 청사진을 제시하는 장이 될 것이다"고 전했다.
더불	더불	VV	O
어	어	EC	O
_	_	_	O
세계	세계	NNG	O
화	화	XSN	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
도시	도시	NNG	O
_	_	_	O
공간	공간	NNG	O
을	을	JKO	O
_	_	_	O
중심	중심	NNG	O
으로	으로	JKB	O
_	_	_	O
발현되	발현되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
이주	이주	NNG	O
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
경계	경계	NNG	O
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
커뮤니티	커뮤니티	NNG	O
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
도시	도시	NNG	O
_	_	_	O
공동체	공동체	NNG	O
’	’	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
유	유	NNG	O
,	,	SP	O
_	_	_	O
무형적	무형적	NNG	O
_	_	_	O
형태	형태	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
디아스포라	디아스포라	NNG	O
’	’	SS	O
_	_	_	O
현상	현상	NNG	O
을	을	JKO	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
이미지	이미지	NNG	O
로	로	JKB	O
_	_	_	O
구현하	구현하	VV	O
는	는	ETM	O
_	_	_	O
작업	작업	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
통하	통하	VV	O
여	여	EC	O
_	_	_	O
‘	‘	SS	O
미래	미래	NNG	B-LOC
_	_	_	I-LOC
도시	도시	NNG	I-LOC
_	_	_	I-LOC
서울	서울	NNP	I-LOC
’	’	SS	O
의	의	JKG	O
_	_	_	O
청사진	청사진	NNG	O
을	을	JKO	O
_	_	_	O
제시하	제시하	VV	O
는	는	ETM	O
_	_	_	O
장	장	NNG	O
이	이	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 이념물 외면당하자 80년대부터 작품성 가미… 관객70% 청소년
## 이념물 외면당하자 <80년대:DUR>부터 작품성 가미… 관객<70%:PNT> 청소년
이	이	MM	O
념	념	NNG	O
물	물	XSN	O
_	_	_	O
외면	외면	NNG	O
당하	당하	XSV	O
자	자	EC	O
_	_	_	O
80	80	SN	B-DUR
년대	년대	NNB	I-DUR
부터	부터	JX	O
_	_	_	O
작품성	작품성	NNG	O
_	_	_	O
가미	가미	NNP	O
…	…	SE	O
_	_	_	O
관객	관객	NNG	O
70	70	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
청소년	청소년	NNG	O

