## 1
## 미국은 최근 북한과의 무기거래를 중단하라고 미얀마 정부를 압박해 오고 있다.
## <미국:ORG>은 최근 <북한:ORG>과의 무기거래를 중단하라고 <미얀마 정부:ORG>를 압박해 오고 있다.
미국	미국	NNP	B-ORG
## 현재 <삼성전자:ORG>는 모바일을 담당하는 IM사업부, TVㆍ가전을 관할하는 소비자가전(CE)사업부, 반도체 및 부품을 담당하는 디바이스솔루션(DS) 사업부 등 총 <3개:NOH> 사업부가 통합돼 있다.
현재	현재	MAG	O
_	_	_	O
삼성전자	삼성전자	NNP	B-ORG
는	는	JX	O
_	_	_	O
모바일	모바일	NNG	O
을	을	JKO	O
_	_	_	O
담당하	담당하	VV	O
는	는	ETM	O
_	_	_	O
IM	IM	SL	O
사업	사업	NNG	O
부	부	NNG	O
,	,	SP	O
_	_	_	O
TV	TV	SL	O
ㆍ	ㆍ	SP	O
가전	가전	NNG	O
을	을	JKO	O
_	_	_	O
관할하	관할하	VV	O
는	는	ETM	O
_	_	_	O
소비자	소비자	NNG	O
가	가	XSN	O
전	전	NNP	O
(	(	SS	O
CE	CE	SL	O
)	)	SS	O
사업	사업	NNG	O
부	부	NNG	O
,	,	SP	O
_	_	_	O
반도체	반도체	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
부품	부품	NNG	O
을	을	JKO	O
_	_	_	O
담당하	담당하	VV	O
는	는	ETM	O
_	_	_	O
디바이스	디바이스	NNG	O
솔루션	솔루션	NNG	O
(	(	SS	O
DS	DS	SL	O
)	)	SS	O
_	_	_	O
사업	사업	NNG	O
부	부	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
총	총	MM	O
_	_	_	O
3	3	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
사업	사업	NNG	O
부	부	NNG	O
가	가	JKS	O
_	_	_	O
통합돼	통합되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 기업 분할 이외에도 엘리엇 측은 30조원에 이르는 주주 대상 특별 배당도 촉구했다.
## 기업 분할 이외에도 <엘리엇:PER> 측은 <30조원:MNY>에 이르는 주주 대상 특별 배당도 촉구했다.
기업	기업	NNG	O
_	_	_	O
분할	분할	NNG	O
_	_	_	O
이외	이외	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
엘리엇	엘리엇	NNP	B-PER
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
30	30	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
이르	이르	VV	O
는	는	ETM	O
_	_	_	O
주주	주주	NNG	O
_	_	_	O
대상	대상	NNG	O
_	_	_	O
특별	특별	NNG	O
_	_	_	O
배당	배당	NNG	O
도	도	JX	O
_	_	_	O
촉구	촉구하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 현수막에는 경찰청 마스코트 포돌이·포순이 사이로 박 전 대통령이 자리해있다.
## 현수막에는 <경찰청:ORG> 마스코트 포돌이·포순이 사이로 <박:PER> 전 대통령이 자리해있다.
현수막	현수막	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
경찰청	경찰청	NNG	B-ORG
_	_	_	O
마스코트	마스코트	NNG	O
_	_	_	O
포	포	NNG	O
돌이	돌이	NNP	O
·	·	SP	O
포	포	NNG	O
순이	순이	NNP	O
_	_	_	O
사이	사이	NNG	O
로	로	JKB	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
자리해	자리하+어	VV+EC	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 신문은 “유럽이 비로소 안전한 사람들(여성)의 손에 맡겨졌다”고 전했다.
## 신문은 “<유럽:ORG>이 비로소 안전한 사람들(여성)의 손에 맡겨졌다”고 전했다.
신문	신문	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
유럽	유럽	NNP	B-ORG
이	이	JKS	O
_	_	_	O
비로소	비로소	MAG	O
_	_	_	O
안전한	안전하+ㄴ	VA+ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
(	(	SS	O
여성	여성	NNG	O
)	)	SS	O
의	의	JKG	O
_	_	_	O
손	손	NNG	O
에	에	JKB	O
_	_	_	O
맡겨	맡기+어+지	VV+EC+VX	O
졌	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 영국 일간 가디언은 이날 “영국뿐 아니라 전 세계적인 정치·경제적 혼란 국면에서 여성 리더십이 부상하고 있다”고 보도했다.
## <영국:ORG> 일간 <가디언:POH>은 이날 “<영국:ORG>뿐 아니라 전 세계적인 정치·경제적 혼란 국면에서 여성 리더십이 부상하고 있다”고 보도했다.
영국	영국	NNP	B-ORG
_	_	_	O
일간	일간	NNG	O
_	_	_	O
가디언	가디언	NNP	B-POH
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
“	“	SS	O
영국	영국	NNP	B-ORG
뿐	뿐	NNB	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
전	전	MM	O
_	_	_	O
세계적	세계적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
정치	정치	NNG	O
·	·	SP	O
경제적	경제적	NNG	O
_	_	_	O
혼란	혼란	NNG	O
_	_	_	O
국면	국면	NNG	O
에서	에서	JKB	O
_	_	_	O
여성	여성	NNG	O
_	_	_	O
리더십	리더십	NNG	O
이	이	JKS	O
_	_	_	O
부상하	부상하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 이런 수법으로 2013년 5월까지 1억5000만원 어치의 소고기가 판매됐다.
## 이런 수법으로 <2013년 5월:DAT>까지 <1억5000만원:MNY> 어치의 소고기가 판매됐다.
이런	이런	MM	O
_	_	_	O
수법	수법	NNG	O
으로	으로	JKB	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
5	5	SN	I-DAT
월	월	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
5000	5000	SN	I-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
어치	어치	XSN	O
의	의	JKG	O
_	_	_	O
소고기	소고기	NNG	O
가	가	JKS	O
_	_	_	O
판매	판매되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 일본여자프로골프(JLPGA) 투어 2년 연속 상금왕을 달성하고 돌아온 이보미(29)가 새로운 목표를 향해 첫 발을 내딛었다.
## <일본여자프로골프:ORG>(<JLPGA:ORG>) 투어 <2년:NOH> 연속 상금왕을 달성하고 돌아온 <이보미:PER>(<29:NOH>)가 새로운 목표를 향해 첫 발을 내딛었다.
일본	일본	NNP	B-ORG
여자	여자	NNG	I-ORG
프로	프로	NNG	I-ORG
골프	골프	NNG	I-ORG
(	(	SS	O
JLPGA	JLPGA	SL	B-ORG
)	)	SS	O
_	_	_	O
투어	투어	NNG	O
_	_	_	O
2	2	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
연속	연속	NNG	O
_	_	_	O
상금	상금	NNG	O
왕	왕	XSN	O
을	을	JKO	O
_	_	_	O
달성하	달성하	VV	O
고	고	EC	O
_	_	_	O
돌아온	돌아오+ㄴ	VV+ETM	O
_	_	_	O
이보미	이보미	NNP	B-PER
(	(	SS	O
29	29	SN	B-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
목표	목표	NNG	O
를	를	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
발	발	NNG	O
을	을	JKO	O
_	_	_	O
내딛	내딛	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 크게 파워트레인 7가지, 섀시 12가지, 브레이크 8가지, 익스테리어 14가지, 인테리어 11가지 등 52가지 사양이 업그레이드됐다.
## 크게 파워트레인 <7가지:NOH>, 섀시 <12가지:NOH>, 브레이크 <8가지:NOH>, 익스테리어 <14가지:NOH>, 인테리어 <11가지:NOH> 등 <52가지:NOH> 사양이 업그레이드됐다.
크	크	VA	O
게	게	EC	O
_	_	_	O
파	파	NNG	O
워트	워트	NNP	O
레인	레인	NNG	O
_	_	_	O
7	7	SN	B-NOH
가지	가지	NNB	I-NOH
,	,	SP	O
_	_	_	O
섀시	섀시	NNG	O
_	_	_	O
12	12	SN	B-NOH
가지	가지	NNB	I-NOH
,	,	SP	O
_	_	_	O
브레이크	브레이크	NNG	O
_	_	_	O
8	8	SN	B-NOH
가지	가지	NNB	I-NOH
,	,	SP	O
_	_	_	O
익스	익스	NNP	O
테리어	테리어	NNG	O
_	_	_	O
14	14	SN	B-NOH
가지	가지	NNB	I-NOH
,	,	SP	O
_	_	_	O
인테리어	인테리어	NNG	O
_	_	_	O
11	11	SN	B-NOH
가지	가지	NNB	I-NOH
_	_	_	O
등	등	NNB	O
_	_	_	O
52	52	SN	B-NOH
가지	가지	NNB	I-NOH
_	_	_	O
사양	사양	NNG	O
이	이	JKC	O
_	_	_	O
업그레이드	업그레이드되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## ◆박모씨(76·여·자가격리 대상) “ 두 손자를 봐주러 옥천 딸네 집에 갔다가 무릎이 안 좋아 병원에 갔는데 그 병원이 문제가 돼 4일부터 자가격리 대상이 됐다.
## ◆<박모:PER>씨(<76:NOH>·여·자가격리 대상) “ <두:NOH> 손자를 봐주러 <옥천:LOC> 딸네 집에 갔다가 무릎이 안 좋아 병원에 갔는데 그 병원이 문제가 돼 <4일:DAT>부터 자가격리 대상이 됐다.
◆	◆	SW	O
박	박	NNP	B-PER
모	모	NP	I-PER
씨	씨	NNB	O
(	(	SS	O
76	76	SN	B-NOH
·	·	SP	O
여	여	NNG	O
·	·	SP	O
자가	자가	NNG	O
격리	격리	NNG	O
_	_	_	O
대상	대상	NNG	O
)	)	SS	O
_	_	_	O
“	“	SS	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	O
손자	손자	NNG	O
를	를	JKO	O
_	_	_	O
봐	보+아	VV+EC	O
주	주	VX	O
러	러	EC	O
_	_	_	O
옥천	옥천	NNP	B-LOC
_	_	_	O
딸	딸	NNG	O
네	네	XSN	O
_	_	_	O
집	집	NNG	O
에	에	JKB	O
_	_	_	O
갔	가+았	VV+EP	O
다가	다가	EC	O
_	_	_	O
무릎	무릎	NNG	O
이	이	JKS	O
_	_	_	O
안	안	MAG	O
_	_	_	O
좋	좋	VA	O
아	아	EC	O
_	_	_	O
병원	병원	NNG	O
에	에	JKB	O
_	_	_	O
갔	가+았	VV+EP	O
는데	는데	EC	O
_	_	_	O
그	그	MM	O
_	_	_	O
병원	병원	NNG	O
이	이	JKS	O
_	_	_	O
문제	문제	NNG	O
가	가	JKC	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
4	4	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
자가	자가	NNG	O
격리	격리	NNG	O
_	_	_	O
대상	대상	NNG	O
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 13
## 국민의 생애 의료비 중 65세 이후 발생하는 의료비 비중이 50%를 넘는 건 그만큼 노후에 의료비 지출이 집중된다는 의미다.
## 국민의 생애 의료비 중 <65세:NOH> 이후 발생하는 의료비 비중이 <50%:PNT>를 넘는 건 그만큼 노후에 의료비 지출이 집중된다는 의미다.
국민	국민	NNG	O
의	의	JKG	O
_	_	_	O
생애	생애	NNG	O
_	_	_	O
의료비	의료비	NNG	O
_	_	_	O
중	중	NNP	O
_	_	_	O
65	65	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
이후	이후	NNG	O
_	_	_	O
발생하	발생하	VV	O
는	는	ETM	O
_	_	_	O
의료비	의료비	NNG	O
_	_	_	O
비중	비중	NNG	O
이	이	JKS	O
_	_	_	O
50	50	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
그만큼	그만큼	MAG	O
_	_	_	O
노후	노후	NNG	O
에	에	JKB	O
_	_	_	O
의료비	의료비	NNG	O
_	_	_	O
지출	지출	NNG	O
이	이	JKS	O
_	_	_	O
집중된다는	집중되+ㄴ다는	VV+ETM	O
_	_	_	O
의미	의미+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

