## 1
## 보훈처는 대전현충원 내에 조성된 장군 묘역이 모두 찰 것으로 예상되는 2020년부터는 장군 묘역 규모를 기당 8평(약 26.4m²)에서 장교 및 사병과 같은 규모인 기당 1평(약 3.3m²)으로 줄일 방침이다.
## <보훈처:ORG>는 <대전현충원:LOC> 내에 조성된 장군 묘역이 모두 찰 것으로 예상되는 <2020년:DAT>부터는 장군 묘역 규모를 기당 <8평:NOH>(약 <26.4m²:NOH>)에서 장교 및 사병과 같은 규모인 기당 <1평:NOH>(약 <3.3m²:NOH>)으로 줄일 방침이다.
보훈	보훈	NNG	B-ORG
_	_	_	O
것	것	NNB	O
일	이+ㄹ	VCP+ETM	O
뿐	뿐	NNB	O
이	이	VCP	O
지	지	EC	O
_	_	_	O
최	최	NNP	B-PER
씨	씨	NNB	O
_	_	_	O
모녀	모녀	NNG	O
가	가	JKS	O
_	_	_	O
수혜	수혜	NNG	O
_	_	_	O
대상	대상	NNG	O
이	이	JKS	O
_	_	_	O
몰	모르	VV	O
랐	았	EP	O
다는	다는	ETM	O
_	_	_	O
취지	취지	NNG	O
로	로	JKB	O
_	_	_	O
해명한	해명하+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 10
## 그렇지만 사정당국과 재계 등에 따르면 삼성은 올해 7월 무렵까지 최씨 모녀가 독일에 세운 법인에 자금을 송금한 것으로 전해졌다.
## 그렇지만 사정당국과 재계 등에 따르면 <삼성:ORG>은 올해 <7월:DAT> 무렵까지 <최:PER>씨 모녀가 <독일:LOC>에 세운 법인에 자금을 송금한 것으로 전해졌다.
그렇지만	그렇지만	MAJ	O
_	_	_	O
사정	사정	NNG	O
당국	당국	NNG	O
과	과	JC	O
_	_	_	O
재계	재계	NNG	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
삼성	삼성	NNP	B-ORG
은	은	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
무렵	무렵	NNB	O
까지	까지	JX	O
_	_	_	O
최	최	NNP	B-PER
씨	씨	NNB	O
_	_	_	O
모녀	모녀	NNG	O
가	가	JKS	O
_	_	_	O
독일	독일	NNP	B-LOC
에	에	JKB	O
_	_	_	O
세운	세우+ㄴ	VV+ETM	O
_	_	_	O
법인	법인	NNG	O
에	에	JKB	O
_	_	_	O
자금	자금	NNG	O
을	을	JKO	O
_	_	_	O
송금한	송금하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전해	전하	VV	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 11
## 현지에서 만난 야구 관계자와 취재진은 강정호의 레그킥(타격할 때 왼발을 크게 들었다
## 현지에서 만난 야구 관계자와 취재진은 <강정호:PER>의 레그킥(타격할 때 왼발을 크게 들었다
현지	현지	NNG	O
에서	에서	JKB	O
_	_	_	O
만난	만나+ㄴ	VV+ETM	O
_	_	_	O
야구	야구	NNG	O
_	_	_	O
관계자	관계자	NNG	O
와	와	JC	O
_	_	_	O
취재진	취재진	NNG	O
은	은	JX	O
_	_	_	O
강정호	강정호	NNP	B-PER
의	의	JKG	O
_	_	_	O
레그	레그	NNG	O
킥	킥	NNG	O
(	(	SS	O
타격할	타격하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
왼발	왼발	NNG	O
을	을	JKO	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
들	들	VV	O
었	었	EP	O
다	다	EF	O

## 12
## 선종필 대표는 “‘대박’ 같은 과도한 수익률을 기대하기보단 ‘중박’을 목표로 접근하는 게 바람직하다”고 말했다.
## <선종필:PER> 대표는 “‘대박’ 같은 과도한 수익률을 기대하기보단 ‘중박’을 목표로 접근하는 게 바람직하다”고 말했다.
선종필	선종필	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
‘	‘	SS	O
대박	대박	NNG	O
’	’	SS	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
과도한	과도하+ㄴ	VA+ETM	O
_	_	_	O
수익률	수익률	NNG	O
을	을	JKO	O
_	_	_	O
기대하	기대하	VV	O
기	기	ETN	O
보단	보다+ㄴ	JKB+JX	O
_	_	_	O
‘	‘	SS	O
중	중	NNP	O
박	박	NNP	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
목표	목표	NNG	O
로	로	JKB	O
_	_	_	O
접근하	접근하	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
바람직하	바람직하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 보건사회연구원이 20~65세 근로자 2만7492명을 조사한 ‘한국 근로환경 조사(2011년)’를 분석한 결과다.
## <보건사회연구원:ORG>이 <20:NOH>~<65세:NOH> 근로자 <2만7492명:NOH>을 조사한 ‘<한국:ORG> 근로환경 조사(<2011년:DAT>)’를 분석한 결과다.
보건	보건	NNG	B-ORG
사회	사회	NNG	I-ORG
연구원	연구원	NNG	I-ORG
이	이	JKS	O
_	_	_	O
20	20	SN	B-NOH
~	~	SO	O
65	65	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
근로자	근로자	NNG	O
_	_	_	O
2	2	SN	B-NOH
만	만	NR	I-NOH
7492	7492	SN	I-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
조사한	조사하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
한국	한국	NNP	B-ORG
_	_	_	O
근로	근로	NNG	O
환경	환경	NNG	O
_	_	_	O
조사	조사	NNG	O
(	(	SS	O
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
분석한	분석하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

