## 1
## 조 민 근경제부문 차장
## <조 민:PER> 근경제부문 차장
조	조	NNG	B-PER
21	21	SN	B-NOH
골	골	NNG	I-NOH
을	을	JKO	O
_	_	_	O
기록한	기록하+ㄴ	VV+ETM	O
_	_	_	O
로자	로자	NNP	B-PER
나	나	JC	I-PER
(	(	SS	O
휴스턴	휴스턴	NNP	B-ORG
)	)	SS	O
도	도	JX	O
_	_	_	O
경계	경계	NNG	O
_	_	_	O
대상	대상	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 업계에서는 최첨단 애플리케이션 프로세서(AP) ‘엑시노스’와 양쪽 모서리를 디스플레이로 제작하는 ‘양면 엣지’, 무선 충전 기술 등 최첨단 기술이 탑재될 것으로 기대하고 있다.
## 업계에서는 최첨단 애플리케이션 프로세서(AP) ‘<엑시노스:POH>’와 양쪽 모서리를 디스플레이로 제작하는 ‘양면 엣지’, 무선 충전 기술 등 최첨단 기술이 탑재될 것으로 기대하고 있다.
업계	업계	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
최첨단	최첨단	NNG	O
_	_	_	O
애플리케이션	애플리케이션	NNG	O
_	_	_	O
프로세서	프로세서	NNG	O
(	(	SS	O
AP	AP	SL	O
)	)	SS	O
_	_	_	O
‘	‘	SS	O
엑시	엑시	NNG	B-POH
노스	노스	NNG	I-POH
’	’	SS	O
와	와	JKB	O
_	_	_	O
양쪽	양쪽	NNG	O
_	_	_	O
모서리	모서리	NNG	O
를	를	JKO	O
_	_	_	O
디스플레이	디스플레이	NNG	O
로	로	JKB	O
_	_	_	O
제작하	제작하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
양면	양면	NNG	O
_	_	_	O
엣지	엣지	NNG	O
’	’	SS	O
,	,	SP	O
_	_	_	O
무선	무선	NNG	O
_	_	_	O
충전	충전	NNG	O
_	_	_	O
기술	기술	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
최첨단	최첨단	NNG	O
_	_	_	O
기술	기술	NNG	O
이	이	JKS	O
_	_	_	O
탑재	탑재	NNG	O
될	되+ㄹ	XSV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
기대하	기대하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 8
## 유족으로는 부인과 3남. 유족은 “장례 절차와 형식은 미국에서 상의해 결정할 예정”이라고 전했다.
## 유족으로는 부인과 <3남:NOH>. 유족은 “장례 절차와 형식은 <미국:ORG>에서 상의해 결정할 예정”이라고 전했다.
유족	유족	NNG	O
으로	으로	JKB	O
는	는	JX	O
_	_	_	O
부인	부인	NNG	O
과	과	JKB	O
_	_	_	O
3	3	SN	B-NOH
남	남	NNG	I-NOH
.	.	SF	O
_	_	_	O
유족	유족	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
장례	장례	NNG	O
_	_	_	O
절차	절차	NNG	O
와	와	JC	O
_	_	_	O
형식	형식	NNG	O
은	은	JX	O
_	_	_	O
미국	미국	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
상의해	상의하+여	VV+EC	O
_	_	_	O
결정할	결정하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 위키리 별세 소식에 누리꾼들은 “위키리 별세, 고인의 명복을 빕니다”
## <위키리:PER> 별세 소식에 누리꾼들은 “<위키리:PER> 별세, 고인의 명복을 빕니다”
위키리	위키리	NNP	B-PER
_	_	_	O
별세	별세	NNG	O
_	_	_	O
소식	소식	NNG	O
에	에	JKB	O
_	_	_	O
누리	누리	NNG	O
꾼	꾼	XSN	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
위키리	위키리	NNP	B-PER
_	_	_	O
별세	별세	NNG	O
,	,	SP	O
_	_	_	O
고인	고인	NNG	O
의	의	JKG	O
_	_	_	O
명복	명복	NNG	O
을	을	JKO	O
_	_	_	O
빕니다	빌+ㅂ니다	VV+EF	O
”	”	SS	O

## 10
## [분양 캘린더]7월 셋째주 부동산 시장 주요 일정
## [분양 캘린더]<7월:DAT> 셋째주 부동산 시장 주요 일정
[	[	SS	O
분양	분양	NNG	O
_	_	_	O
캘린더	캘린더	NNG	O
]	]	SS	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
셋째	셋째	NR	O
주	주	NNB	O
_	_	_	O
부동산	부동산	NNG	O
_	_	_	O
시장	시장	NNG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
일정	일정	NNG	O

## 11
## 순끼 작가의 동명 웹툰을 원자으로 한 '치즈인더트랩'은 모든 것이 완벽한 남자 유정(박해진 분)과 평범하지만 예민한 그의 대학 후배 홍설(오연서 분), 그리고 백인호(박기웅 분)등이 대학 캠퍼스에서 벌어지는 일을 그린 작품. 산다라박, 오종혁, 문지윤 등도 출연한다.
## <순끼:PER> 작가의 동명 웹툰을 원자으로 한 '<치즈인더트랩:POH>'은 모든 것이 완벽한 남자 <유정:PER>(<박해진:PER> 분)과 평범하지만 예민한 그의 대학 후배 <홍설:PER>(<오연서:PER> 분), 그리고 <백인호:PER>(<박기웅:PER> 분)등이 대학 캠퍼스에서 벌어지는 일을 그린 작품. <산다라박:PER>, <오종혁:PER>, <문지윤:PER> 등도 출연한다.
순	순	NNG	B-PER
끼	끼	NNG	I-PER
_	_	_	O
작가	작가	NNG	O
의	의	JKG	O
_	_	_	O
동명	동명	NNG	O
_	_	_	O
웹	웹	NNG	O
툰	툰	NNP	O
을	을	JKO	O
_	_	_	O
원자	원자	NNG	O
으로	으로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
'	'	SS	O
치즈	치즈	NNG	B-POH
인더	인더	NNP	I-POH
트랩	트랩	NNG	I-POH
'	'	SS	O
은	은	JX	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
완벽한	완벽하+ㄴ	VA+ETM	O
_	_	_	O
남자	남자	NNG	O
_	_	_	O
유정	유정	NNG	B-PER
(	(	SS	O
박해진	박해진	NNP	B-PER
_	_	_	O
분	분	NNB	O
)	)	SS	O
과	과	JKB	O
_	_	_	O
평범하	평범하	VA	O
지만	지만	EC	O
_	_	_	O
예민한	예민하+ㄴ	VA+ETM	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
대학	대학	NNG	O
_	_	_	O
후배	후배	NNG	O
_	_	_	O
홍설	홍설	NNG	B-PER
(	(	SS	O
오연	오연	NNG	B-PER
서	서	JKB	I-PER
_	_	_	O
분	분	NNB	O
)	)	SS	O
,	,	SP	O
_	_	_	O
그리고	그리고	MAJ	O
_	_	_	O
백인호	백인호	NNP	B-PER
(	(	SS	O
박기웅	박기웅	NNP	B-PER
_	_	_	O
분	분	NNB	O
)	)	SS	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
대학	대학	NNG	O
_	_	_	O
캠퍼스	캠퍼스	NNG	O
에서	에서	JKB	O
_	_	_	O
벌어지	벌어지	VV	O
는	는	ETM	O
_	_	_	O
일	일	NNG	O
을	을	JKO	O
_	_	_	O
그린	그리+ㄴ	VV+ETM	O
_	_	_	O
작품	작품	NNG	O
.	.	SF	O
_	_	_	O
산	산	NNG	B-PER
다라	다라	NNG	I-PER
박	박	NNP	I-PER
,	,	SP	O
_	_	_	O
오종혁	오종혁	NNP	B-PER
,	,	SP	O
_	_	_	O
문지윤	문지윤	NNP	B-PER
_	_	_	O
등	등	NNB	O
도	도	JX	O
_	_	_	O
출연한다	출연하+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 경기군포경찰서는 구랍 31일 전문위조단들이 신용카드를 대량 위조, 일본에서 3억3천7백여만원어치의 구매전표가 발행됐다는 엘지신용카드㈜(대표 이재연)의 고소에 따라 수사에 나섰다.
## <경기군포경찰서:ORG>는 구랍 <31일:DAT> 전문위조단들이 신용카드를 대량 위조, <일본:ORG>에서 <3억3천7백여만원:MNY>어치의 구매전표가 발행됐다는 <엘지신용카드㈜:ORG>(대표 <이재연:PER>)의 고소에 따라 수사에 나섰다.
경기	경기	NNP	B-ORG
군포	군포	NNP	I-ORG
경찰서	경찰서	NNG	I-ORG
는	는	JX	O
_	_	_	O
구랍	구랍	NNG	O
_	_	_	O
31	31	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
전문	전문	NNG	O
위조	위조	NNG	O
단	단	XSN	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
신용카드	신용카드	NNG	O
를	를	JKO	O
_	_	_	O
대량	대량	NNG	O
_	_	_	O
위조	위조	NNG	O
,	,	SP	O
_	_	_	O
일본	일본	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
3	3	SN	B-MNY
억	억	NR	I-MNY
3	3	SN	I-MNY
천	천	NR	I-MNY
7	7	SN	I-MNY
백	백	NR	I-MNY
여	여	XSN	I-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
어치	어치	XSN	O
의	의	JKG	O
_	_	_	O
구매	구매	NNG	O
전표	전표	NNG	O
가	가	JKS	O
_	_	_	O
발행	발행되	VV	O
됐	었	EP	O
다는	다는	ETM	O
_	_	_	O
엘지	엘지	NNP	B-ORG
신용카드	신용카드	NNG	I-ORG
㈜	㈜	SW	I-ORG
(	(	SS	O
대표	대표	NNG	O
_	_	_	O
이재연	이재연	NNP	B-PER
)	)	SS	O
의	의	JKG	O
_	_	_	O
고소	고소	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
수사	수사	NNG	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 13
## 31일 문화공간 플리마켓 변신…이벤트 다양 “스피돔에 오면 예술가도 있고, 핸드메이드 작품도 있고, 인디밴드의 콘서트는 덤으로 준다.
## <31일:DAT> 문화공간 플리마켓 변신…이벤트 다양 “스피돔에 오면 예술가도 있고, 핸드메이드 작품도 있고, 인디밴드의 콘서트는 덤으로 준다.
31	31	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
문화	문화	NNG	O
공간	공간	NNG	O
_	_	_	O
플	플	NNG	O
리	리	NNB	O
마켓	마켓	NNG	O
_	_	_	O
변신	변신	NNG	O
…	…	SE	O
이벤트	이벤트	NNG	O
_	_	_	O
다양	다양	NNG	O
_	_	_	O
“	“	SS	O
스피돔	스피돔	NNG	O
에	에	JKB	O
_	_	_	O
오	오	VV	O
면	면	EC	O
_	_	_	O
예술가	예술가	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
핸드	핸드	NNG	O
메이드	메이드	NNG	O
_	_	_	O
작품	작품	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
인디	인디	NNG	O
밴드	밴드	NNG	O
의	의	JKG	O
_	_	_	O
콘서트	콘서트	NNG	O
는	는	JX	O
_	_	_	O
덤	덤	NNG	O
으로	으로	JKB	O
_	_	_	O
준다	주+ㄴ다	VV+EF	O
.	.	SF	O

## 14
## 서울시는 생활임금심의위원회의 심의를 거쳐 내년도 생활임금을 이같이 결정했다고 5일 밝혔다.
## <서울시:LOC>는 생활임금심의위원회의 심의를 거쳐 내년도 생활임금을 이같이 결정했다고 <5일:DAT> 밝혔다.
서울시	서울시	NNP	B-LOC
는	는	JX	O
_	_	_	O
생활	생활	NNG	O
임금	임금	NNG	O
심의	심의	NNG	O
위원회	위원회	NNG	O
의	의	JKG	O
_	_	_	O
심의	심의	NNG	O
를	를	JKO	O
_	_	_	O
거쳐	거치+어	VV+EC	O
_	_	_	O
내년	내년	NNG	O
도	도	JX	O
_	_	_	O
생활	생활	NNG	O
임금	임금	NNG	O
을	을	JKO	O
_	_	_	O
이같이	이같이	MAG	O
_	_	_	O
결정	결정하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

