## 1
## 김 실장과 한 장관은 따로 얘기를 나누기도 했다.
## <김:PER> 실장과 <한:PER> 장관은 따로 얘기를 나누기도 했다.
김	김	NNP	B-PER
_	_	_	O
주행	주행	NNG	O
과	과	JKB	O
_	_	_	O
더불	더불	VV	O
어	어	EC	O
_	_	_	O
레이싱	레이싱	NNG	O
_	_	_	O
모터사이클	모터사이클	NNG	O
_	_	_	O
특유	특유	NNG	O
의	의	JKG	O
_	_	_	O
날카롭	날카롭	VA	O
고	고	EC	O
_	_	_	O
대담한	대담하+ㄴ	VA+ETM	O
_	_	_	O
이미지	이미지	NNG	O
를	를	JKO	O
_	_	_	O
선사한다	선사하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 박 대통령은 “정치인들이 국민의 (개혁) 염원을 거스르고 개인의 영달과 사익을 추구하고 있다”고 정치평론을 했다.
## <박:PER> 대통령은 “정치인들이 국민의 (개혁) 염원을 거스르고 개인의 영달과 사익을 추구하고 있다”고 정치평론을 했다.
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
정치인	정치인	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
국민	국민	NNG	O
의	의	JKG	O
_	_	_	O
(	(	SS	O
개혁	개혁	NNG	O
)	)	SS	O
_	_	_	O
염원	염원	NNG	O
을	을	JKO	O
_	_	_	O
거스르	거스르	VV	O
고	고	EC	O
_	_	_	O
개인	개인	NNG	O
의	의	JKG	O
_	_	_	O
영달	영달	NNG	O
과	과	JC	O
_	_	_	O
사익	사익	NNG	O
을	을	JKO	O
_	_	_	O
추구하	추구하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
정치	정치	NNG	O
평론	평론	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 2015 국제유기농산업박람회는 유기 인증 업체 혹은 2016년도 유기 인증 예정인 업체만 참가 가능하다.
## <2015 국제유기농산업박람회:POH>는 유기 인증 업체 혹은 <2016년도:DUR> 유기 인증 예정인 업체만 참가 가능하다.
2015	2015	SN	B-POH
_	_	_	I-POH
국제	국제	NNG	I-POH
유기	유기	NNG	I-POH
농산업	농산업	NNG	I-POH
박람회	박람회	NNG	I-POH
는	는	JX	O
_	_	_	O
유기	유기	NNG	O
_	_	_	O
인증	인증	NNG	O
_	_	_	O
업체	업체	NNG	O
_	_	_	O
혹은	혹은	MAG	O
_	_	_	O
2016	2016	SN	B-DUR
년도	년도	NNB	I-DUR
_	_	_	O
유기	유기	NNG	O
_	_	_	O
인증	인증	NNG	O
_	_	_	O
예정	예정	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
업체	업체	NNG	O
만	만	JX	O
_	_	_	O
참가	참가	NNG	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 6
## 나나는 최근 자신의 인스타그램에 “#굿와이프 #tvN금토드라마 #고사 #7월8일첫방송 #모두들화이팅 #대박기원”이라는 글과 함께 출연진의 모습이 담긴 사진 한 장을 공개했다.
## <나나:PER>는 최근 자신의 <인스타그램:POH>에 “#<굿와이프:POH> #tvN금토드라마 #고사 #<7월8일:DAT>첫방송 #모두들화이팅 #대박기원”이라는 글과 함께 출연진의 모습이 담긴 사진 한 장을 공개했다.
나나	나나	NNP	B-PER
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
인스타그램	인스타그램	NNG	B-POH
에	에	JKB	O
_	_	_	O
“	“	SS	O
#	#	SW	O
굿	굿	NNG	B-POH
와이프	와이프	NNG	I-POH
_	_	_	O
#	#	SW	O
tvN	tvN	SL	O
금	금	NNG	O
토	토	NNG	O
드라마	드라마	NNG	O
_	_	_	O
#	#	SW	O
고사	고사	NNG	O
_	_	_	O
#	#	SW	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
8	8	SN	I-DAT
일	일	NNP	I-DAT
첫	첫	MM	O
방송	방송	NNG	O
_	_	_	O
#	#	SW	O
모두	모두	NNG	O
들	들	XSN	O
화이팅	화이팅	NNG	O
_	_	_	O
#	#	SW	O
대	대	NNG	O
박기원	박기원	NNP	O
”	”	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
글	글	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
출연진	출연진	NNG	O
의	의	JKG	O
_	_	_	O
모습	모습	NNG	O
이	이	JKS	O
_	_	_	O
담긴	담기+ㄴ	VV+ETM	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
한	한	MM	O
_	_	_	O
장	장	NNB	O
을	을	JKO	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 나나는 이 드라마에서 변호사 김혜경(전도연 분)의 비서로 분해 전도연과 호흡을 맞춘다.
## <나나:PER>는 이 드라마에서 변호사 <김혜경:PER>(<전도연:PER> 분)의 비서로 분해 <전도연:PER>과 호흡을 맞춘다.
나나	나나	NNP	B-PER
는	는	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
드라마	드라마	NNG	O
에서	에서	JKB	O
_	_	_	O
변호사	변호사	NNG	O
_	_	_	O
김혜경	김혜경	NNP	B-PER
(	(	SS	O
전도연	전도연	NNP	B-PER
_	_	_	O
분	분	NNB	O
)	)	SS	O
의	의	JKG	O
_	_	_	O
비서	비서	NNG	O
로	로	JKB	O
_	_	_	O
분해	분해	NNG	O
_	_	_	O
전도연	전도연	NNP	B-PER
과	과	JKB	O
_	_	_	O
호흡	호흡	NNG	O
을	을	JKO	O
_	_	_	O
맞춘다	맞추+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## ‘굿와이프’는 승승장구하던 검사 남편이 정치 스캔들과 부정부패로 구속되자 결혼 이후 일을 그만두었던 아내가 가정의 생계를 책임지기 위해 변호사로 복귀하면서 자신의 진정한 정체성을 찾아가는 법정 수사 드라마로 전도연, 유지태, 윤계상, 김서형, 나나, 이원근, 김태우, 태인호, 채동현, 박정수, 전석호, 고준, 레이양, 박태성이 등장한다.
## ‘<굿와이프:POH>’는 승승장구하던 검사 남편이 정치 스캔들과 부정부패로 구속되자 결혼 이후 일을 그만두었던 아내가 가정의 생계를 책임지기 위해 변호사로 복귀하면서 자신의 진정한 정체성을 찾아가는 법정 수사 드라마로 <전도연:PER>, <유지태:PER>, <윤계상:PER>, <김서형:PER>, <나나:PER>, <이원근:PER>, <김태우:PER>, <태인호:PER>, <채동현:PER>, <박정수:PER>, <전석호:PER>, <고준:PER>, <레이양:PER>, <박태성:PER>이 등장한다.
‘	‘	SS	O
굿	굿	NNG	B-POH
와이프	와이프	NNG	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
승승장구하	승승장구하	VV	O
던	던	ETM	O
_	_	_	O
검사	검사	NNG	O
_	_	_	O
남편	남편	NNG	O
이	이	JKS	O
_	_	_	O
정치	정치	NNG	O
_	_	_	O
스캔들	스캔들	NNG	O
과	과	JC	O
_	_	_	O
부정부패	부정부패	NNG	O
로	로	JKB	O
_	_	_	O
구속되	구속되	VV	O
자	자	EC	O
_	_	_	O
결혼	결혼	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
일	일	NNG	O
을	을	JKO	O
_	_	_	O
그만두	그만두	VV	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
아내	아내	NNG	O
가	가	JKS	O
_	_	_	O
가정	가정	NNG	O
의	의	JKG	O
_	_	_	O
생계	생계	NNG	O
를	를	JKO	O
_	_	_	O
책임지	책임지	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
변호사	변호사	NNG	O
로	로	JKB	O
_	_	_	O
복귀하	복귀하	VV	O
면서	면서	EC	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
진정한	진정하+ㄴ	VA+ETM	O
_	_	_	O
정체성	정체성	NNG	O
을	을	JKO	O
_	_	_	O
찾아가	찾아가	VV	O
는	는	ETM	O
_	_	_	O
법정	법정	NNG	O
_	_	_	O
수사	수사	NNG	O
_	_	_	O
드라마	드라마	NNG	O
로	로	JKB	O
_	_	_	O
전도연	전도연	NNP	B-PER
,	,	SP	O
_	_	_	O
유지태	유지태	NNP	B-PER
,	,	SP	O
_	_	_	O
윤계상	윤계상	NNP	B-PER
,	,	SP	O
_	_	_	O
김서형	김서형	NNP	B-PER
,	,	SP	O
_	_	_	O
나	나	NP	B-PER
나	나	JC	I-PER
,	,	SP	O
_	_	_	O
이원근	이원근	NNP	B-PER
,	,	SP	O
_	_	_	O
김태우	김태우	NNP	B-PER
,	,	SP	O
_	_	_	O
태인호	태인호	NNP	B-PER
,	,	SP	O
_	_	_	O
채동현	채동현	NNP	B-PER
,	,	SP	O
_	_	_	O
박정수	박정수	NNP	B-PER
,	,	SP	O
_	_	_	O
전석호	전석호	NNP	B-PER
,	,	SP	O
_	_	_	O
고준	고준	NNP	B-PER
,	,	SP	O
_	_	_	O
레이	레이	NNP	B-PER
양	양	NNB	I-PER
,	,	SP	O
_	_	_	O
박태성	박태성	NNP	B-PER
이	이	JKS	O
_	_	_	O
등장한다	등장하+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 한태진은 구치소에 있다가 나온 이야기를 들려주며 “몇 년 살다가 나올 줄 알았다.
## <한태진:PER>은 구치소에 있다가 나온 이야기를 들려주며 “몇 년 살다가 나올 줄 알았다.
한태진	한태진	NNP	B-PER
은	은	JX	O
_	_	_	O
구치소	구치소	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
다가	다가	EC	O
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
이야기	이야기	NNG	O
를	를	JKO	O
_	_	_	O
들려주	들려주	VV	O
며	며	EC	O
_	_	_	O
“	“	SS	O
몇	몇	MM	O
_	_	_	O
년	년	NNB	O
_	_	_	O
살	살	VV	O
다가	다가	EC	O
_	_	_	O
나올	나오+ㄹ	VV+ETM	O
_	_	_	O
줄	줄	NNB	O
_	_	_	O
알	알	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이는 유럽의 히피부터 러시아 여자 마피아, 노숙자 스타일까지 검토한 제작진과 하루에도 수십 장씩 콘셉트 사진을 보내며 의견을 보탠 김혜수의 노력 끝에 완성된 모습이다.
## 이는 <유럽:LOC>의 히피부터 <러시아:ORG> 여자 마피아, 노숙자 스타일까지 검토한 제작진과 하루에도 <수십 장:NOH>씩 콘셉트 사진을 보내며 의견을 보탠 <김혜수:PER>의 노력 끝에 완성된 모습이다.
이	이	NP	O
는	는	JX	O
_	_	_	O
유럽	유럽	NNP	B-LOC
의	의	JKG	O
_	_	_	O
히피	히피	NNG	O
부터	부터	JX	O
_	_	_	O
러시아	러시아	NNP	B-ORG
_	_	_	O
여자	여자	NNG	O
_	_	_	O
마피아	마피아	NNG	O
,	,	SP	O
_	_	_	O
노숙자	노숙자	NNG	O
_	_	_	O
스타일	스타일	NNG	O
까지	까지	JX	O
_	_	_	O
검토한	검토하+ㄴ	VV+ETM	O
_	_	_	O
제작진	제작진	NNG	O
과	과	JC	O
_	_	_	O
하루	하루	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
수십	수십	NR	B-NOH
_	_	_	I-NOH
장	장	NNB	I-NOH
씩	씩	XSN	O
_	_	_	O
콘셉트	콘셉트	NNG	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
보내	보내	VV	O
며	며	EC	O
_	_	_	O
의견	의견	NNG	O
을	을	JKO	O
_	_	_	O
보탠	보태+ㄴ	VV+ETM	O
_	_	_	O
김혜수	김혜수	NNP	B-PER
의	의	JKG	O
_	_	_	O
노력	노력	NNG	O
_	_	_	O
끝	끝	NNG	O
에	에	JKB	O
_	_	_	O
완성된	완성되+ㄴ	VV+ETM	O
_	_	_	O
모습	모습	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 칠순을 바라보는 엄마도 여자라는 걸 잊고 있었네요.” 황영혜(43세 주부)50~60대 이상 갱년기나 폐경 여성에게 흔히 나타나는 노인성 질염. 이 나이대 여성들은 여성호르몬인 에스트로겐이 줄고 글리코겐 생성이 저하되면서 질 내부 산도가 알칼리성으로 변해 질 벽이 얇아진다.
## <칠순:NOH>을 바라보는 엄마도 여자라는 걸 잊고 있었네요.” <황영혜:PER>(<43세:NOH> 주부)<50:NOH>~<60대:NOH> 이상 갱년기나 폐경 여성에게 흔히 나타나는 노인성 질염. 이 나이대 여성들은 여성호르몬인 에스트로겐이 줄고 글리코겐 생성이 저하되면서 질 내부 산도가 알칼리성으로 변해 질 벽이 얇아진다.
칠순	칠순	NNG	B-NOH
을	을	JKO	O
_	_	_	O
바라보	바라보	VV	O
는	는	ETM	O
_	_	_	O
엄마	엄마	NNG	O
도	도	JX	O
_	_	_	O
여자	여자+이	NNG+VCP	O
라는	라는	ETM	O
_	_	_	O
걸	것+ㄹ	NNB+JKO	O
_	_	_	O
잊	잊	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
네요	네요	EF	O
.	.	SF	O
”	”	SS	O
_	_	_	O
황영혜	황영혜	NNP	B-PER
(	(	SS	O
43	43	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
주부	주부	NNG	O
)	)	SS	O
50	50	SN	B-NOH
~	~	SO	O
60	60	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
갱년기	갱년기	NNG	O
나	나	JC	O
_	_	_	O
폐경	폐경	NNG	O
_	_	_	O
여성	여성	NNG	O
에게	에게	JKB	O
_	_	_	O
흔히	흔히	MAG	O
_	_	_	O
나타나	나타나	VV	O
는	는	ETM	O
_	_	_	O
노인성	노인성	NNG	O
_	_	_	O
질염	질염	NNG	O
.	.	SF	O
_	_	_	O
이	이	MM	O
_	_	_	O
나이	나이	NNG	O
대	대	XSN	O
_	_	_	O
여성	여성	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
여성	여성	NNG	O
호르몬	호르몬	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
에스트로겐	에스트로겐	NNG	O
이	이	JKS	O
_	_	_	O
줄	줄	VV	O
고	고	EC	O
_	_	_	O
글리코겐	글리코겐	NNG	O
_	_	_	O
생성	생성	NNG	O
이	이	JKS	O
_	_	_	O
저하되	저하되	VV	O
면서	면서	EC	O
_	_	_	O
질	질	NNG	O
_	_	_	O
내부	내부	NNG	O
_	_	_	O
산도	산도	NNG	O
가	가	JKS	O
_	_	_	O
알칼리성	알칼리성	NNG	O
으로	으로	JKB	O
_	_	_	O
변해	변하+여	VV+EC	O
_	_	_	O
질	질	XSN	O
_	_	_	O
벽	벽	NNG	O
이	이	JKS	O
_	_	_	O
얇아진다	얇아지+ㄴ다	VV+EF	O
.	.	SF	O

