## 1
## 리바운드 열세 딛고 모비스에 승리… SK는 KCC 누르고 3연패서 탈출
## 리바운드 열세 딛고 <모비스:ORG>에 승리… <SK:ORG>는 <KCC:ORG> 누르고 <3연패:NOH>서 탈출
리바운드	리바운드	NNG	O
## <홍콩바이어 매칭박람회:POH>를 주최하는 <모든커뮤니케이션:ORG> <이경란:PER> 대표는 “부스 형식의 박람회에 그치는 것이 아니라, <홍콩:LOC>바이어를 대상으로 프리젠테이션을 할 수 있는 시간이 주어지기 때문에 매칭을 통한 더 높은 실적 달성이 예상된다”며 “<홍콩 IFC몰:LOC> 주변에서 한복을 입고 쇼핑객이나 관광객들에게 제품을 홍보하는 문화결합형 프로모션을 통한 홍보 효과도 기대된다”고 말했다.
홍콩	홍콩	NNP	B-POH
바이어	바이어	NNG	I-POH
_	_	_	I-POH
매칭	매칭	NNG	I-POH
박람회	박람회	NNG	I-POH
를	를	JKO	O
_	_	_	O
주최하	주최하	VV	O
는	는	ETM	O
_	_	_	O
모든	모든	MM	B-ORG
커뮤니케이션	커뮤니케이션	NNG	I-ORG
_	_	_	O
이경란	이경란	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
부스	부스	NNG	O
_	_	_	O
형식	형식	NNG	O
의	의	JKG	O
_	_	_	O
박람회	박람회	NNG	O
에	에	JKB	O
_	_	_	O
그치	그치	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
,	,	SP	O
_	_	_	O
홍콩	홍콩	NNP	B-LOC
바이어	바이어	NNG	O
를	를	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
프리젠테이션	프리젠테이션	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
시간	시간	NNG	O
이	이	JKS	O
_	_	_	O
주어지	주어지	VV	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
매칭	매칭	NNG	O
을	을	JKO	O
_	_	_	O
통한	통하+ㄴ	VV+ETM	O
_	_	_	O
더	더	MAG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
실적	실적	NNG	O
_	_	_	O
달성	달성	NNG	O
이	이	JKS	O
_	_	_	O
예상된다	예상되+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
홍콩	홍콩	NNP	B-LOC
_	_	_	I-LOC
IFC	IFC	SL	I-LOC
몰	몰	NNB	I-LOC
_	_	_	O
주변	주변	NNG	O
에서	에서	JKB	O
_	_	_	O
한복	한복	NNG	O
을	을	JKO	O
_	_	_	O
입	입	VV	O
고	고	EC	O
_	_	_	O
쇼핑객	쇼핑객	NNG	O
이나	이나	JC	O
_	_	_	O
관광객	관광객	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
제품	제품	NNG	O
을	을	JKO	O
_	_	_	O
홍보하	홍보하	VV	O
는	는	ETM	O
_	_	_	O
문화	문화	NNG	O
결합	결합	NNG	O
형	형	XSN	O
_	_	_	O
프로모션	프로모션	NNG	O
을	을	JKO	O
_	_	_	O
통한	통하+ㄴ	VV+ETM	O
_	_	_	O
홍보	홍보	NNG	O
_	_	_	O
효과	효과	NNG	O
도	도	JX	O
_	_	_	O
기대된다	기대되+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 3월로 넘어가는 이번 주에는 서울 낮 최고기온이 11도(28일)를 기록하는 등 전국이 대체로 맑고 따뜻한 날씨를 보이겠다.
## <3월:DAT>로 넘어가는 이번 주에는 <서울:LOC> 낮 최고기온이 <11도:NOH>(<28일:DAT>)를 기록하는 등 전국이 대체로 맑고 따뜻한 날씨를 보이겠다.
3	3	SN	B-DAT
월	월	NNB	I-DAT
로	로	JKB	O
_	_	_	O
넘어가	넘어가	VV	O
는	는	ETM	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
주	주	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
낮	낮	NNG	O
_	_	_	O
최고	최고	NNG	O
기온	기온	NNG	O
이	이	JKS	O
_	_	_	O
11	11	SN	B-NOH
도	도	NNB	I-NOH
(	(	SS	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
)	)	SS	O
를	를	JKO	O
_	_	_	O
기록하	기록하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
전국	전국	NNG	O
이	이	JKS	O
_	_	_	O
대체로	대체로	MAG	O
_	_	_	O
맑	맑	VA	O
고	고	EC	O
_	_	_	O
따뜻한	따뜻하+ㄴ	VA+ETM	O
_	_	_	O
날씨	날씨	NNG	O
를	를	JKO	O
_	_	_	O
보이	보이	VV	O
겠	겠	EP	O
다	다	EF	O
.	.	SF	O

## 9
## UC는 지난 몇 년 동안 등록금 동결 조치에 따라 학비를 올려 받을 수 없는 캘리포니아 주 출신 대신 학비를 올릴 수 있는 유학생과 다른 주 출신 학생 비율을 늘려 왔다.
## <UC:ORG>는 지난 몇 년 동안 등록금 동결 조치에 따라 학비를 올려 받을 수 없는 <캘리포니아 주:LOC> 출신 대신 학비를 올릴 수 있는 유학생과 다른 주 출신 학생 비율을 늘려 왔다.
UC	UC	SL	B-ORG
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
몇	몇	MM	O
_	_	_	O
년	년	NNB	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
등록금	등록금	NNG	O
_	_	_	O
동결	동결	NNG	O
_	_	_	O
조치	조치	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
학비	학비	NNG	O
를	를	JKO	O
_	_	_	O
올려	올리+어	VV+EC	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
캘리포니아	캘리포니아	NNP	B-LOC
_	_	_	I-LOC
주	주	NNG	I-LOC
_	_	_	O
출신	출신	NNG	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
학비	학비	NNG	O
를	를	JKO	O
_	_	_	O
올릴	올리+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
유학생	유학생	NNG	O
과	과	JC	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
주	주	NNG	O
_	_	_	O
출신	출신	NNG	O
_	_	_	O
학생	학생	NNG	O
_	_	_	O
비율	비율	NNG	O
을	을	JKO	O
_	_	_	O
늘려	늘리+어	VV+EC	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 10
## SK플래닛은 4월14일 ‘T맵 택시’의 정식 서비스 오픈을 준비 중이다.
## <SK플래닛:ORG>은 <4월14일:DAT> ‘<T맵 택시:POH>’의 정식 서비스 오픈을 준비 중이다.
SK	SK	SL	B-ORG
플래닛	플래닛	NNP	I-ORG
은	은	JX	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
14	14	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
‘	‘	SS	O
T	T	SL	B-POH
맵	맵	NNG	I-POH
_	_	_	I-POH
택시	택시	NNG	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
정식	정식	NNG	O
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
오픈	오픈	NNG	O
을	을	JKO	O
_	_	_	O
준비	준비	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## SNL코리아6 전효성, 과거 화장 전후 비교 사진 “이럴 수가…대체 누구?”
## <SNL코리아6:POH> <전효성:PER>, 과거 화장 전후 비교 사진 “이럴 수가…대체 누구?”
SNL	SNL	SL	B-POH
코리아	코리아	NNP	I-POH
6	6	SN	I-POH
_	_	_	O
전효성	전효성	NNP	B-PER
,	,	SP	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
화장	화장	NNG	O
_	_	_	O
전후	전후	NNG	O
_	_	_	O
비교	비교	NNG	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
“	“	SS	O
이럴	이렇+ㄹ	VA+ETM	O
_	_	_	O
수	수	NNB	O
가	가	JKS	O
…	…	SE	O
대체	대체	MAG	O
_	_	_	O
누구	누구	NP	O
?	?	SF	O
”	”	SS	O

## 12
## 1970년대 이후 이어져온 사물놀이와 재즈, 25현 가야금으로 재해석한 비발디 등 기존 퓨전국악의 물길에서 좀 비껴 있다.
## <1970년대:DUR> 이후 이어져온 사물놀이와 재즈, <25현:NOH> 가야금으로 재해석한 <비발디:POH> 등 기존 퓨전국악의 물길에서 좀 비껴 있다.
1970	1970	SN	B-DUR
년대	년대	NNB	I-DUR
_	_	_	O
이후	이후	NNG	O
_	_	_	O
이어져	이어지+어	VV+EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
사물놀이	사물놀이	NNG	O
와	와	JC	O
_	_	_	O
재즈	재즈	NNG	O
,	,	SP	O
_	_	_	O
25	25	SN	B-NOH
현	현	NNG	I-NOH
_	_	_	O
가야금	가야금	NNG	O
으로	으로	JKB	O
_	_	_	O
재해석한	재해석하+ㄴ	VV+ETM	O
_	_	_	O
비발디	비발디	NNP	B-POH
_	_	_	O
등	등	NNB	O
_	_	_	O
기존	기존	NNG	O
_	_	_	O
퓨전	퓨전	NNG	O
국악	국악	NNG	O
의	의	JKG	O
_	_	_	O
물길	물길	NNG	O
에서	에서	JKB	O
_	_	_	O
좀	좀	MAG	O
_	_	_	O
비껴	비끼+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 13
## 와파 등 모로코 유학생들은 "더 열심히 공부하겠다"고 고마움을 표시했다.
## <와파:PER> 등 <모로코:LOC> 유학생들은 "더 열심히 공부하겠다"고 고마움을 표시했다.
와	와	NNG	B-PER
파	파	NNG	I-PER
_	_	_	O
등	등	NNB	O
_	_	_	O
모로코	모로코	NNP	B-LOC
_	_	_	O
유학생	유학생	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
"	"	SS	O
더	더	MAG	O
_	_	_	O
열심히	열심히	MAG	O
_	_	_	O
공부하	공부하	VV	O
겠	겠	EP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
고마움	고마움	NNG	O
을	을	JKO	O
_	_	_	O
표시	표시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 폐차를 신청한 차주는 보험개발원이 산정한 차량 기준액의 100%를 보상받을 수 있다.
## 폐차를 신청한 차주는 <보험개발원:ORG>이 산정한 차량 기준액의 <100%:PNT>를 보상받을 수 있다.
폐차	폐차	NNG	O
를	를	JKO	O
_	_	_	O
신청한	신청하+ㄴ	VV+ETM	O
_	_	_	O
차주	차주	NNG	O
는	는	JX	O
_	_	_	O
보험	보험	NNG	B-ORG
개발	개발	NNG	I-ORG
원	원	XSN	I-ORG
이	이	JKS	O
_	_	_	O
산정한	산정하+ㄴ	VV+ETM	O
_	_	_	O
차량	차량	NNG	O
_	_	_	O
기준액	기준액	NNG	O
의	의	JKG	O
_	_	_	O
100	100	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
보상	보상	NNG	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

