## 1
## 조승국 대한전공의협의회(이하 대전협) 정책이사의 반박이다.
## <조승국:PER> <대한전공의협의회:ORG>(이하 <대전협:ORG>) 정책이사의 반박이다.
조승국	조승국	NNP	B-PER
## 성소수자는 물론 그들과 연대하고 지지하는 이들은 <트위터:POH>와 <페이스북:POH>에 끝도 없는 검증의 글을 써낼 것이고, 언론들은 ‘트렌스젠더란 무엇인가’,
성	성	NNG	O
소수	소수	NNG	O
자	자	XSN	O
는	는	JX	O
_	_	_	O
물론	물론	MAG	O
_	_	_	O
그	그	NP	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
연대하	연대하	VV	O
고	고	EC	O
_	_	_	O
지지하	지지하	VV	O
는	는	ETM	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
트위터	트위터	NNP	B-POH
와	와	JC	O
_	_	_	O
페이스북	페이스북	NNP	B-POH
에	에	JKB	O
_	_	_	O
끝	끝	NNG	O
도	도	JX	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
검증	검증	NNG	O
의	의	JKG	O
_	_	_	O
글	글	NNG	O
을	을	JKO	O
_	_	_	O
써낼	써내+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
언론	언론	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
트렌스젠더	트렌스젠더	NNG	O
란	란	JX	O
_	_	_	O
무엇	무엇	NP	O
인가	이+ㄴ가	VCP+EF	O
’	’	SS	O
,	,	SP	O

## 10
## 문재인 지지자들 도넘은 공격… 문재인 선대위 ‘안철수 비방 지침’ 논란도
## <문재인:PER> 지지자들 도넘은 공격… <문재인:PER> 선대위 ‘<안철수:PER> 비방 지침’ 논란도
문재인	문재인	NNP	B-PER
_	_	_	O
지지자	지지자	NNG	O
들	들	XSN	O
_	_	_	O
도	도	NNG	O
넘	넘	VV	O
은	은	ETM	O
_	_	_	O
공격	공격	NNG	O
…	…	SE	O
_	_	_	O
문재인	문재인	NNP	B-PER
_	_	_	O
선대위	선대위	NNG	O
_	_	_	O
‘	‘	SS	O
안철수	안철수	NNP	B-PER
_	_	_	O
비방	비방	NNG	O
_	_	_	O
지침	지침	NNG	O
’	’	SS	O
_	_	_	O
논란	논란	NNG	O
도	도	JX	O

