## 1
## C교사가 여학생을 성추행한 것으로 알려진 과학실은 그 안에 별도의 방이 있다.
## <C:PER>교사가 여학생을 성추행한 것으로 알려진 과학실은 그 안에 별도의 방이 있다.
C	C	SL	B-PER
## 그러나 학생 수가 급감하면서 폐교됐고, <2005년:DAT> <완도군:LOC>이 <1억여 원:MNY>에 매입해 <고금요양원:ORG>으로 변모시켰다.
그러나	그러나	MAJ	O
_	_	_	O
학생	학생	NNG	O
_	_	_	O
수	수	NNG	O
가	가	JKS	O
_	_	_	O
급감하	급감하	VV	O
면서	면서	EC	O
_	_	_	O
폐교	폐교되	VV	O
됐	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
2005	2005	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
완도군	완도군	NNP	B-LOC
이	이	JKS	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
여	여	XSN	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
매입해	매입하+여	VV+EC	O
_	_	_	O
고금	고금	NNG	B-ORG
요양원	요양원	NNG	I-ORG
으로	으로	JKB	O
_	_	_	O
변모	변모	NNG	O
시	시키	XSV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 간혹 너구리에서 통 다시마가 두 장씩 나오기도 하는데 이는 소비자들 사이에서 행운의 상징으로도 여겨진다.
## 간혹 너구리에서 통 다시마가 <두 장:NOH>씩 나오기도 하는데 이는 소비자들 사이에서 행운의 상징으로도 여겨진다.
간혹	간혹	MAG	O
_	_	_	O
너구리	너구리	NNG	O
에서	에서	JKB	O
_	_	_	O
통	통	NNG	O
_	_	_	O
다시마	다시마	NNG	O
가	가	JKS	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
장	장	NNB	I-NOH
씩	씩	XSN	O
_	_	_	O
나오	나오	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
하	하	VX	O
는데	는데	EC	O
_	_	_	O
이	이	NP	O
는	는	JX	O
_	_	_	O
소비자	소비자	NNG	O
들	들	XSN	O
_	_	_	O
사이	사이	NNG	O
에서	에서	JKB	O
_	_	_	O
행운	행운	NNG	O
의	의	JKG	O
_	_	_	O
상징	상징	NNG	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
여겨	여기+어	VV+EC	O
진다	지+ㄴ다	VX+EF	O
.	.	SF	O

## 5
## 서울행정법원 행정1부(부장판사 이승택)는 “A씨의 사망과 업무와의 인과관계가 인정된다”며 “유족 급여 및 장의비를 지급하라”고 원고 승소 판결했다고 10일 밝혔다.
## <서울행정법원 행정1부:ORG>(부장판사 <이승택:PER>)는 “<A:PER>씨의 사망과 업무와의 인과관계가 인정된다”며 “유족 급여 및 장의비를 지급하라”고 원고 승소 판결했다고 <10일:DAT> 밝혔다.
서울	서울	NNP	B-ORG
행정	행정	NNG	I-ORG
법원	법원	NNG	I-ORG
_	_	_	I-ORG
행정	행정	NNG	I-ORG
1	1	SN	I-ORG
부	부	NNB	I-ORG
(	(	SS	O
부장판사	부장판사	NNG	O
_	_	_	O
이승택	이승택	NNP	B-PER
)	)	SS	O
는	는	JX	O
_	_	_	O
“	“	SS	O
A	A	SL	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
사망	사망	NNG	O
과	과	JC	O
_	_	_	O
업무	업무	NNG	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
인과	인과	NNG	O
관계	관계	NNG	O
가	가	JKS	O
_	_	_	O
인정된다	인정되+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
유족	유족	NNG	O
_	_	_	O
급여	급여	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
장의	장의	NNG	O
비	비	XSN	O
를	를	JKO	O
_	_	_	O
지급하	지급하	VV	O
라	라	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
원고	원고	NNG	O
_	_	_	O
승소	승소	NNG	O
_	_	_	O
판결	판결하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 1975년에 중고교생이었던 이들이 이제는 부모 세대가 되었습니다.
## <1975년:DAT>에 중고교생이었던 이들이 이제는 부모 세대가 되었습니다.
1975	1975	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
중	중	NNG	O
고교생	고교생	NNG	O
이	이	VCP	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
이제	이제	NNG	O
는	는	JX	O
_	_	_	O
부모	부모	NNG	O
_	_	_	O
세대	세대	NNG	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
었	었	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 7
## 조 씨는 박근혜 대통령과 친분관계가 있는 것처럼 과시하고 대기업에 실제로 취업해 고액 연봉을 받고 근무한 혐의로 기소돼 지난해 12월 1심에서 징역 10개월을 선고받았다.
## <조:PER> 씨는 <박근혜:PER> 대통령과 친분관계가 있는 것처럼 과시하고 대기업에 실제로 취업해 고액 연봉을 받고 근무한 혐의로 기소돼 지난해 <12월:DAT> <1심:NOH>에서 징역 <10개월:NOH>을 선고받았다.
조	조	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
과	과	JC	O
_	_	_	O
친분	친분	NNG	O
관계	관계	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
처럼	처럼	JKB	O
_	_	_	O
과시하	과시하	VV	O
고	고	EC	O
_	_	_	O
대기업	대기업	NNG	O
에	에	JKB	O
_	_	_	O
실제로	실제로	MAG	O
_	_	_	O
취업	취업	NNG	O
해	해	NNG	O
_	_	_	O
고액	고액	NNG	O
_	_	_	O
연봉	연봉	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
근무한	근무하+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
기소돼	기소되+어	VV+EC	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
1	1	SN	B-NOH
심	심	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
징역	징역	NNG	O
_	_	_	O
10	10	SN	B-NOH
개월	개월	NNB	I-NOH
을	을	JKO	O
_	_	_	O
선고	선고	NNG	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 여성 의용소방대원은 치마를 입도록 한 정복 규정도 치마 또는 바지로 수정했다.
## <여성:POH> 의용소방대원은 치마를 입도록 한 정복 규정도 치마 또는 바지로 수정했다.
여성	여성	NNG	B-POH
_	_	_	O
의용	의용	NNG	O
소방대원	소방대원	NNG	O
은	은	JX	O
_	_	_	O
치마	치마	NNG	O
를	를	JKO	O
_	_	_	O
입	입	VV	O
도록	도록	EC	O
_	_	_	O
한	한	NNP	O
_	_	_	O
정복	정복	NNG	O
_	_	_	O
규정	규정	NNG	O
도	도	JX	O
_	_	_	O
치마	치마	NNG	O
_	_	_	O
또는	또는	MAG	O
_	_	_	O
바지	바지	NNG	O
로	로	JKB	O
_	_	_	O
수정	수정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 이 정도로 노인성 난청이 진행되면 본인도 본인이지만 가족들이나 주변 사람들과의 문제가 시작된다.
## 이 정도로 노인성 난청이 진행되면 본<인도:LOC> 본인이지만 <가족:POH>들이나 주변 사람들과의 문제가 시작된다.
이	이	MM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
노인성	노인성	NNG	O
_	_	_	O
난청	난청	NNG	O
이	이	JKS	O
_	_	_	O
진행되	진행되	VV	O
면	면	EC	O
_	_	_	O
본인	본인	NNG	B-LOC
도	도	JX	I-LOC
_	_	_	O
본인	본인	NNG	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
가족	가족	NNG	B-POH
들	들	XSN	O
이나	이나	JC	O
_	_	_	O
주변	주변	NNG	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
과	과	JKB	O
의	의	JKG	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
시작된다	시작되+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 기본 짜장면부터 간짜장·삼선짜장·삼선간짜장·납작짜장·납짝고추짜장·고추짜장·볶음짜장 등 8종류의 다양한 짜장면이 있다.
## 기본 짜장면부터 간짜장·삼선짜장·삼선간짜장·납작짜장·납짝고추짜장·고추짜장·볶음짜장 등 <8종류:NOH>의 다양한 짜장면이 있다.
기본	기본	NNG	O
_	_	_	O
짜장면	짜장면	NNG	O
부터	부터	JX	O
_	_	_	O
간	간	NNG	O
짜장	짜장	NNG	O
·	·	SP	O
삼선짜장	삼선짜장	NNG	O
·	·	SP	O
삼선	삼선	NNG	O
간	간	NNB	O
짜장	짜장	NNG	O
·	·	SP	O
납작	납작	MAG	O
짜장	짜장	NNG	O
·	·	SP	O
납짝	납짝	MAG	O
고	고	JKQ	O
추	추	NNG	O
짜장	짜장	NNG	O
·	·	SP	O
고추	고추	NNG	O
짜장	짜장	NNG	O
·	·	SP	O
볶음	볶음	NNG	O
짜장	짜장	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
8	8	SN	B-NOH
종류	종류	NNG	I-NOH
의	의	JKG	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
짜장면	짜장면	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 11
## 외국인이 7일 연속 사들인 주식은 2조250억원에 달한다.
## 외국인이 <7일:DAT> 연속 사들인 주식은 <2조250억원:MNY>에 달한다.
외국인	외국인	NNG	O
이	이	JKS	O
_	_	_	O
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
연속	연속	NNG	O
_	_	_	O
사들인	사들이+ㄴ	VV+ETM	O
_	_	_	O
주식	주식	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-MNY
조	조	NNG	I-MNY
250	250	SN	I-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
달한다	달하+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 추신수 9월 타율 4할…‘이달의 MVP’ 보인다
## <추신수:PER> <9월:DAT> 타율 <4할:PNT>…‘이달의 MVP’ 보인다
추신수	추신수	NNP	B-PER
_	_	_	O
9	9	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
타율	타율	NNG	O
_	_	_	O
4	4	SN	B-PNT
할	할	NNB	I-PNT
…	…	SE	O
‘	‘	SS	O
이달	이달	NNG	O
의	의	JKG	O
_	_	_	O
MVP	MVP	SL	O
’	’	SS	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O

## 13
## 서울 웨스틴조선호텔 중식당 홍연은 3월2일(월)부터 31일(화)까지 한 달간 봄날의 화창한 기운을 담은 ‘춘풍화기(春風和氣)’ 특선을 선보인다.
## <서울 웨스틴조선호텔:LOC> 중식당 <홍연:ORG>은 <3월2일(월)부터 31일(화):DUR>까지 <한 달:NOH>간 봄날의 화창한 기운을 담은 ‘춘풍화기(春風和氣)’ 특선을 선보인다.
서울	서울	NNP	B-LOC
_	_	_	I-LOC
웨스틴조선호텔	웨스틴조선호텔	NNP	I-LOC
_	_	_	O
중	중	NNP	O
식당	식당	NNG	O
_	_	_	O
홍연	홍연	NNP	B-ORG
은	은	JX	O
_	_	_	O
3	3	SN	B-DUR
월	월	NNB	I-DUR
2	2	SN	I-DUR
일	일	NNB	I-DUR
(	(	SS	I-DUR
월	월	NNG	I-DUR
)	)	SS	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
31	31	SN	I-DUR
일	일	NNB	I-DUR
(	(	SS	I-DUR
화	화	XSN	I-DUR
)	)	SS	I-DUR
까지	까지	JX	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
달	달	NNB	I-NOH
간	간	XSN	O
_	_	_	O
봄날	봄날	NNG	O
의	의	JKG	O
_	_	_	O
화창한	화창하+ㄴ	VA+ETM	O
_	_	_	O
기운	기운	NNG	O
을	을	JKO	O
_	_	_	O
담	담	VV	O
은	은	ETM	O
_	_	_	O
‘	‘	SS	O
춘풍화기	춘풍화기	NNG	O
(	(	SS	O
春風和氣	春風和氣	SH	O
)	)	SS	O
’	’	SS	O
_	_	_	O
특선	특선	NNG	O
을	을	JKO	O
_	_	_	O
선보인다	선보이+ㄴ다	VV+EF	O
.	.	SF	O

## 14
## 그럼에도 김인식 대표팀 감독(70)이 각각 2회의 연습경기와 평가전에서 손아섭을 모두 선발로 내보낸 건 공격력에 대한 믿음 때문이었다.
## 그럼에도 <김인식:PER> <대표팀:ORG> 감독(<70:NOH>)이 각각 <2회:NOH>의 연습경기와 평가전에서 <손아섭:PER>을 모두 선발로 내보낸 건 공격력에 대한 믿음 때문이었다.
그럼에도	그렇+ㅁ에도	VA+EC	O
_	_	_	O
김인식	김인식	NNP	B-PER
_	_	_	O
대표	대표	NNG	B-ORG
팀	팀	NNG	I-ORG
_	_	_	O
감독	감독	NNG	O
(	(	SS	O
70	70	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
2	2	SN	B-NOH
회	회	NNB	I-NOH
의	의	JKG	O
_	_	_	O
연습	연습	NNG	O
경기	경기	NNG	O
와	와	JC	O
_	_	_	O
평가전	평가전	NNG	O
에서	에서	JKB	O
_	_	_	O
손아섭	손아섭	NNG	B-PER
을	을	JKO	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
선발	선발	NNG	O
로	로	JKB	O
_	_	_	O
내보낸	내보내+ㄴ	VV+ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
공격력	공격력	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
믿음	믿음	NNG	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 후배들이 마린스키발레단과 러시아에 오더라도 어깨를 펴고 뿌듯하게 맞아줄 수 있을 것 같다.
## 후배들이 <마린스키발레단:ORG>과 <러시아:ORG>에 오더라도 어깨를 펴고 뿌듯하게 맞아줄 수 있을 것 같다.
후배	후배	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
마린스키	마린스키	NNP	B-ORG
발레	발레	NNG	I-ORG
단	단	XSN	I-ORG
과	과	JC	O
_	_	_	O
러시아	러시아	NNP	B-ORG
에	에	JKB	O
_	_	_	O
오	오	VV	O
더라도	더라도	EC	O
_	_	_	O
어깨	어깨	NNG	O
를	를	JKO	O
_	_	_	O
펴	펴	VV	O
고	고	EC	O
_	_	_	O
뿌듯하	뿌듯하	VA	O
게	게	EC	O
_	_	_	O
맞	맞	VV	O
아	아	EC	O
줄	주+ㄹ	VX+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
.	.	SF	O

