## 1
## 괴한 중 1명이 주로 외국인 사업가와 리비아 고위 관리들이 머무는 24층에 올라가 자폭한 것으로 알려졌다”며 “총격전이 약 4시간 동안 진행됐다”고 말했다.
## 괴한 중 <1명:NOH>이 주로 외국인 사업가와 <리비아:ORG> 고위 관리들이 머무는 <24층:NOH>에 올라가 자폭한 것으로 알려졌다”며 “총격전이 약 <4시간:DUR> 동안 진행됐다”고 말했다.
괴한	괴한	NNG	O
“	“	SS	O
리비아	리비아	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
고급	고급	NNG	O
_	_	_	O
호텔	호텔	NNG	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
현재	현재	MAG	O
_	_	_	O
리비아	리비아	NNP	B-ORG
가	가	JKS	O
_	_	_	O
혼란	혼란	NNG	O
_	_	_	O
상태	상태+이	NNG+VCP	O
라	라	EC	O
_	_	_	O
리비아	리비아	NNP	B-ORG
_	_	_	O
정부	정부	NNG	O
에서	에서	JKB	O
_	_	_	O
외국인	외국인	NNG	O
과	과	JKB	O
_	_	_	O
(	(	SS	O
외국인	외국인	NNG	O
)	)	SS	O
사업가	사업가	NNG	O
,	,	SP	O
_	_	_	O
외교관	외교관	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
의도	의도	NNG	O
적	적	XSN	O
으로	으로	JKB	O
_	_	_	O
제일	제일	MAG	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
호텔	호텔	NNG	O
에	에	JKB	O
_	_	_	O
모	모으	VV	O
아	아	EC	O
놓	놓	VX	O
고	고	EC	O
_	_	_	O
경비	경비	NNG	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
음	음	ETN	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
이곳	이곳	NP	O
을	을	JKO	O
_	_	_	O
노린	노리+ㄴ	VV+ETM	O
_	_	_	O
테러	테러	NNG	O
가	가	JKS	O
_	_	_	O
발생	발생	NNG	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘리비아 호텔 습격’ 소식을 접한 누리꾼들은 “리비아 호텔 습격, 한국인 사망자가 없길 바랍니다”,
## ‘<리비아:ORG> 호텔 습격’ 소식을 접한 누리꾼들은 “<리비아:ORG> 호텔 습격, 한국인 사망자가 없길 바랍니다”,
‘	‘	SS	O
리비아	리비아	NNP	B-ORG
_	_	_	O
호텔	호텔	NNG	O
_	_	_	O
습격	습격	NNG	O
’	’	SS	O
_	_	_	O
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
접한	접하+ㄴ	VV+ETM	O
_	_	_	O
누리	누리	NNG	O
꾼	꾼	XSN	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
리비아	리비아	NNP	B-ORG
_	_	_	O
호텔	호텔	NNG	O
_	_	_	O
습격	습격	NNG	O
,	,	SP	O
_	_	_	O
한국인	한국인	NNG	O
_	_	_	O
사망자	사망자	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
길	기+ㄹ	ETN+JKO	O
_	_	_	O
바랍니다	바라+ㅂ니다	VV+EF	O
”	”	SS	O
,	,	SP	O

## 4
## 북한이 2006년 첫 핵실험을 한 직후, 마침 프랑스 파리에 있었던 나는 에마뉘엘 토드 씨와 대담을 나눴다.
## <북한:ORG>이 <2006년:DAT> 첫 핵실험을 한 직후, 마침 <프랑스 파리:LOC>에 있었던 나는 <에마뉘엘 토드:PER> 씨와 대담을 나눴다.
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
첫	첫	MM	O
_	_	_	O
핵	핵	NNG	O
실험	실험	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
직후	직후	NNG	O
,	,	SP	O
_	_	_	O
마침	마침	MAG	O
_	_	_	O
프랑스	프랑스	NNP	B-LOC
_	_	_	I-LOC
파리	파리	NNP	I-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
나	나	NP	O
는	는	JX	O
_	_	_	O
에마뉘엘	에마뉘엘	NNP	B-PER
_	_	_	I-PER
토드	토드	NNP	I-PER
_	_	_	O
씨	씨	NNB	O
와	와	JKB	O
_	_	_	O
대담	대담	NNG	O
을	을	JKO	O
_	_	_	O
나	나누	VV	O
눴	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 안젤리나 졸리, 런던정경대 교수 됐다
## <안젤리나 졸리:PER>, <런던정경대:ORG> 교수 됐다
안젤리나	안젤리나	NNP	B-PER
_	_	_	I-PER
졸리	졸리	NNP	I-PER
,	,	SP	O
_	_	_	O
런던	런던	NNP	B-ORG
정경	정경	NNG	I-ORG
대	대	NNG	I-ORG
_	_	_	O
교수	교수	NNG	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O

## 6
## 국립해양문화재연구소에서 버스를 타고 약 1시간을 달려 도착한 곳은 진도 벽파항. 항구에는 사람들을 목적지로 바래다
## <국립해양문화재연구소:ORG>에서 버스를 타고 약 <1시간:NOH>을 달려 도착한 곳은 <진도:LOC> <벽파항:LOC>. 항구에는 사람들을 목적지로 바래다
국립	국립	NNG	B-ORG
해양	해양	NNG	I-ORG
문화재	문화재	NNG	I-ORG
연구소	연구소	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
버스	버스	NNG	O
를	를	JKO	O
_	_	_	O
타	타	VV	O
고	고	EC	O
_	_	_	O
약	약	MM	O
_	_	_	O
1	1	SN	B-NOH
시간	시간	NNB	I-NOH
을	을	JKO	O
_	_	_	O
달려	달리+어	VV+EC	O
_	_	_	O
도착한	도착하+ㄴ	VV+ETM	O
_	_	_	O
곳	곳	NNG	O
은	은	JX	O
_	_	_	O
진도	진도	NNP	B-LOC
_	_	_	O
벽파	벽파	NNG	B-LOC
항	항	NNG	I-LOC
.	.	SF	O
_	_	_	O
항구	항구	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
목적지	목적지	NNG	O
로	로	JKB	O
_	_	_	O
바래	바래	VV	O
다	다	EC	O

## 7
## 경찰 조사 결과 강씨는 지난해 7월 16일부터 8월 7일까지 최씨가 경기·강원 지역의 대형 워터파크와 서울의 한 야외수영장 등 4곳에서 몰카를 찍을 때 밖에서 기다리다가 곧바로 동영상을 건네받았다.
## 경찰 조사 결과 <강:PER>씨는 지난해 <7월 16일부터 8월 7일:DUR>까지 <최:PER>씨가 <경기:LOC>·<강원:LOC> 지역의 대형 워터파크와 <서울:LOC>의 한 야외수영장 등 <4곳:NOH>에서 몰카를 찍을 때 밖에서 기다리다가 곧바로 동영상을 건네받았다.
경찰	경찰	NNG	O
_	_	_	O
조사	조사	NNG	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
강	강	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
7	7	SN	B-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
16	16	SN	I-DUR
일	일	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
8	8	SN	I-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
7	7	SN	I-DUR
일	일	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
최	최	NNP	B-PER
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
경기	경기	NNP	B-LOC
·	·	SP	O
강원	강원	NNP	B-LOC
_	_	_	O
지역	지역	NNG	O
의	의	JKG	O
_	_	_	O
대형	대형	NNG	O
_	_	_	O
워터파크	워터파크	NNP	O
와	와	JC	O
_	_	_	O
서울	서울	NNP	B-LOC
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
야외	야외	NNG	O
수영장	수영장	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
4	4	SN	B-NOH
곳	곳	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
몰카	몰카	NNG	O
를	를	JKO	O
_	_	_	O
찍	찍	VV	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
밖	밖	NNG	O
에서	에서	JKB	O
_	_	_	O
기다리	기다리	VV	O
다가	다가	EC	O
_	_	_	O
곧바로	곧바로	MAG	O
_	_	_	O
동영상	동영상	NNG	O
을	을	JKO	O
_	_	_	O
건네받	건네받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 무릉2리 농부들이 꾸러미 사업을 시작한 건 2009년부터다.
## <무릉2리:LOC> 농부들이 꾸러미 사업을 시작한 건 <2009년:DAT>부터다.
무릉	무릉	NNP	B-LOC
2	2	SN	I-LOC
리	리	NNB	I-LOC
_	_	_	O
농부	농부	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
꾸러미	꾸러미	NNG	O
_	_	_	O
사업	사업	NNG	O
을	을	JKO	O
_	_	_	O
시작한	시작하+ㄴ	VV+ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
2009	2009	SN	B-DAT
년	년	NNB	I-DAT
부터	부터+이	JX+VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 새누리당 선거관리위원회는 21일 8·9전당대회의 당 대표 경선에 7명 이상 출마할 경우 컷오프를 적용해 후보를 5명으로 줄이기로 결정했다.
## <새누리당:ORG> <선거관리위원회:ORG>는 <21일:DAT> <8·9전당대회:POH>의 당 대표 경선에 <7명:NOH> 이상 출마할 경우 컷오프를 적용해 후보를 <5명:NOH>으로 줄이기로 결정했다.
새누리당	새누리당	NNP	B-ORG
_	_	_	O
선거관리위원회	선거관리위원회	NNG	B-ORG
는	는	JX	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
8	8	SN	B-POH
·	·	SP	I-POH
9	9	SN	I-POH
전당	전당	NNG	I-POH
대회	대회	NNG	I-POH
의	의	JKG	O
_	_	_	O
당	당	NNG	O
_	_	_	O
대표	대표	NNG	O
_	_	_	O
경선	경선	NNG	O
에	에	JKB	O
_	_	_	O
7	7	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
출마할	출마하+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
컷오프	컷오프	NNG	O
를	를	JKO	O
_	_	_	O
적용해	적용하+여	VV+EC	O
_	_	_	O
후보	후보	NNG	O
를	를	JKO	O
_	_	_	O
5	5	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
줄이	줄이	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
결정	결정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 세계 진출 꿈꾸며 ‘태평양’ 상호… 6·25전쟁때 ‘ABC포마드’ 빅히트
## 세계 진출 꿈꾸며 ‘<태평양:ORG>’ 상호… <6·25전쟁:POH>때 ‘<ABC포마드:POH>’ 빅히트
세계	세계	NNG	O
_	_	_	O
진출	진출	NNG	O
_	_	_	O
꿈꾸	꿈꾸	VV	O
며	며	EC	O
_	_	_	O
‘	‘	SS	O
태평양	태평양	NNP	B-ORG
’	’	SS	O
_	_	_	O
상호	상호	NNG	O
…	…	SE	O
_	_	_	O
6	6	SN	B-POH
·	·	SP	I-POH
25	25	SN	I-POH
전쟁	전쟁	NNG	I-POH
때	때	NNG	O
_	_	_	O
‘	‘	SS	O
ABC	ABC	SL	B-POH
포마드	포마드	NNG	I-POH
’	’	SS	O
_	_	_	O
빅	빅	NNG	O
히트	히트	NNG	O

## 11
## 당시 신생잡지 ‘마스터 험프리의 시계’ 편집을 맡고 있던 디킨스는 작업에 제대로 진행되지 않자 4호에 ‘오래된 골동품 상점’을 연재하기 시작했는데 대히트를 쳤다.
## 당시 신생잡지 ‘<마스터 험프리의 시계:POH>’ 편집을 맡고 있던 <디킨스:PER>는 작업에 제대로 진행되지 않자 <4호:NOH>에 ‘<오래된 골동품 상점:POH>’을 연재하기 시작했는데 대히트를 쳤다.
당시	당시	NNG	O
_	_	_	O
신생	신생	NNG	O
잡지	잡지	NNG	O
_	_	_	O
‘	‘	SS	O
마스터	마스터	NNG	B-POH
_	_	_	I-POH
험프리	험프리	NNP	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
시계	시계	NNG	I-POH
’	’	SS	O
_	_	_	O
편집	편집	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
던	던	ETM	O
_	_	_	O
디킨스	디킨스	NNP	B-PER
는	는	JX	O
_	_	_	O
작업	작업	NNG	O
에	에	JKB	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
진행되	진행되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
자	자	EC	O
_	_	_	O
4	4	SN	B-NOH
호	호	NNB	I-NOH
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
오래된	오래되+ㄴ	VV+ETM	B-POH
_	_	_	I-POH
골동품	골동품	NNG	I-POH
_	_	_	I-POH
상점	상점	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
연재하	연재하	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
는데	는데	EC	O
_	_	_	O
대	대	XPN	O
히트	히트	NNG	O
를	를	JKO	O
_	_	_	O
쳤	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 12
## ‘오래된 골동품 상점’의 인기를 실감케 하는 일화가 있다.
## ‘<오래된 골동품 상점:POH>’의 인기를 실감케 하는 일화가 있다.
‘	‘	SS	O
오래된	오래되+ㄴ	VV+ETM	B-POH
_	_	_	I-POH
골동품	골동품	NNG	I-POH
_	_	_	I-POH
상점	상점	NNG	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
실감	실감하	VV	O
케	게	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
일화	일화	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 13
## 장세진 삼례공고 교사
## <장세진:PER> <삼례공고:ORG> 교사
장세진	장세진	NNP	B-PER
_	_	_	O
삼례	삼례	NNG	B-ORG
공고	공고	NNG	I-ORG
_	_	_	O
교사	교사	NNG	O

