## 1
## 민장성 동아오츠카 사장(48)은 동아에스티 사장으로 자리를 옮겼다.
## <민장성:PER> <동아오츠카:ORG> 사장(<48:NOH>)은 <동아에스티:ORG> 사장으로 자리를 옮겼다.
민	민	NNP	B-PER
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-NOH
골	골	NNG	I-NOH
을	을	JKO	O
_	_	_	O
몰아쳐	몰아치+어	VV+EC	O
_	_	_	O
팀	팀	NNG	O
_	_	_	O
승리	승리	NNG	O
(	(	SS	O
5	5	SN	B-NOH
-	-	SO	I-NOH
3	3	SN	I-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
힘	힘	NNG	O
을	을	JKO	O
_	_	_	O
보탰	보태+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 1초에 1회 진동하면 1헤르츠(㎐), 1000번 진동하면 1㎑, 100만 번 진동하면 1㎒(1000㎑), 10억 번 진동하면 1㎓(1000㎒)다.
## <1초:NOH>에 <1회:NOH> 진동하면 <1헤르츠:NOH>(㎐), <1000번:NOH> 진동하면 <1㎑:NOH>, <100만 번:NOH> 진동하면 <1㎒:NOH>(<1000㎑:NOH>), <10억 번:NOH> 진동하면 <1㎓:NOH>(<1000㎒:NOH>)다.
1	1	SN	B-NOH
초	초	NNB	I-NOH
에	에	JKB	O
_	_	_	O
1	1	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
진동하	진동하	VV	O
면	면	EC	O
_	_	_	O
1	1	SN	B-NOH
헤르츠	헤르츠	NNB	I-NOH
(	(	SS	O
㎐	㎐	SW	O
)	)	SS	O
,	,	SP	O
_	_	_	O
1000	1000	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
진동하	진동하	VV	O
면	면	EC	O
_	_	_	O
1	1	SN	B-NOH
㎑	㎑	SW	I-NOH
,	,	SP	O
_	_	_	O
100	100	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
진동하	진동하	VV	O
면	면	EC	O
_	_	_	O
1	1	SN	B-NOH
㎒	㎒	SW	I-NOH
(	(	SS	O
1000	1000	SN	B-NOH
㎑	㎑	SW	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
10	10	SN	B-NOH
억	억	NR	I-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
진동하	진동하	VV	O
면	면	EC	O
_	_	_	O
1	1	SN	B-NOH
㎓	㎓	SW	I-NOH
(	(	SS	O
1000	1000	SN	B-NOH
㎒	㎒	SW	I-NOH
)	)+이	SS+VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 내심 잘 챙겨주지 못한 월이에게 미안한 마음이 있었던 육씨는 큰 항의 없이 다음날 A씨로부터 월이를 받기로 한 뒤 집으로 돌아갔습니다.
## 내심 잘 챙겨주지 못한 <월이:PER>에게 미안한 마음이 있었던 <육:PER>씨는 큰 항의 없이 다음날 <A:PER>씨로부터 <월이:PER>를 받기로 한 뒤 집으로 돌아갔습니다.
내심	내심	NNG	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
챙겨	챙기+어	VV+EC	O
주	주	VX	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
월이	월이	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
미안한	미안하+ㄴ	VA+ETM	O
_	_	_	O
마음	마음	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
육	육	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
항의	항의	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
다음날	다음날	NNG	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
로부터	로부터	JKB	O
_	_	_	O
월이	월이	NNP	B-PER
를	를	JKO	O
_	_	_	O
받	받	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
집	집	NNG	O
으로	으로	JKB	O
_	_	_	O
돌아갔	돌아가+았	VV+EP	O
습니다	습니다	EF	O
.	.	SF	O

## 7
## 그런데 집으로 돌아온 월이의 상태가 심상치 않았습니다.
## 그런데 집으로 돌아온 <월이:PER>의 상태가 심상치 않았습니다.
그런데	그런데	MAJ	O
_	_	_	O
집	집	NNG	O
으로	으로	JKB	O
_	_	_	O
돌아온	돌아오+ㄴ	VV+ETM	O
_	_	_	O
월이	월이	NNP	B-PER
의	의	JKG	O
_	_	_	O
상태	상태	NNG	O
가	가	JKS	O
_	_	_	O
심상	심상하	VA	O
치	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 8
## 지난달 4차 핵실험 뒤 북한은 정작 잊히고 한미일-중러가 싸웠듯 이번에는 우리끼리 싸울까 걱정이다.
## 지난달 <4차:NOH> 핵실험 뒤 <북한:ORG>은 정작 잊히고 <한미일:ORG>-<중러:ORG>가 싸웠듯 이번에는 우리끼리 싸울까 걱정이다.
지난달	지난달	NNG	O
_	_	_	O
4	4	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
핵	핵	NNG	O
실험	실험	NNG	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
북한	북한	NNP	B-ORG
은	은	JX	O
_	_	_	O
정작	정작	NNG	O
_	_	_	O
잊히	잊히	VV	O
고	고	EC	O
_	_	_	O
한미	한미	NNP	B-ORG
일	일	NNP	I-ORG
-	-	SO	O
중	중	NNP	B-ORG
러	러	NNP	I-ORG
가	가	JKS	O
_	_	_	O
싸	싸우	VV	O
웠	었	EP	O
듯	듯	EC	O
_	_	_	O
이번	이번	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
우리	우리	NP	O
끼리	끼리	XSN	O
_	_	_	O
싸울까	싸우+ㄹ까	VV+EC	O
_	_	_	O
걱정	걱정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 15일 조사를 받은 조성민은 “다시는 이런 일로 경찰서를 찾는 일이 없었으면 좋겠다”는 바람을 전했다.
## <15일:DAT> 조사를 받은 <조성민:PER>은 “다시는 이런 일로 경찰서를 찾는 일이 없었으면 좋겠다”는 바람을 전했다.
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
조성민	조성민	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
다시	다시	MAG	O
는	는	JX	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
일	일	NNG	O
로	로	JKB	O
_	_	_	O
경찰서	경찰서	NNG	O
를	를	JKO	O
_	_	_	O
찾	찾	VV	O
는	는	ETM	O
_	_	_	O
일	일	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
었	었	EP	O
으면	으면	EC	O
_	_	_	O
좋	좋	VA	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
바람	바람	NNG	O
을	을	JKO	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 오로지 일등만을 기억하니 좌우지간 일등을 하라는 독려(?)였다.
## 오로지 <일등:NOH>만을 기억하니 좌우지간 <일등:NOH>을 하라는 독려(?)였다.
오로지	오로지	MAG	O
_	_	_	O
일등	일등	NNG	B-NOH
만	만	JX	O
을	을	JKO	O
_	_	_	O
기억하	기억하	VV	O
니	니	EC	O
_	_	_	O
좌우지간	좌우지간	NNG	O
_	_	_	O
일등	일등	NNG	B-NOH
을	을	JKO	O
_	_	_	O
하	하	VV	O
라는	라는	ETM	O
_	_	_	O
독려	독려	NNG	O
(	(	SS	O
?	?	SF	O
)	)+이	SS+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 그러나 에스피는 물러난 후 자신의 결백을 입증하기 위해 법정투쟁을 벌이겠다고 밝혀 클린턴에 여전히 부담을 주고있다.
## 그러나 <에스피:PER>는 물러난 후 자신의 결백을 입증하기 위해 법정투쟁을 벌이겠다고 밝혀 <클린턴:PER>에 여전히 부담을 주고있다.
그러나	그러나	MAJ	O
_	_	_	O
에스피	에스피	NNP	B-PER
는	는	JX	O
_	_	_	O
물러난	물러나+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
결백	결백	NNG	O
을	을	JKO	O
_	_	_	O
입증하	입증하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
법정	법정	NNG	O
투쟁	투쟁	NNG	O
을	을	JKO	O
_	_	_	O
벌이	벌이	VV	O
겠	겠	EP	O
다고	다고	EC	O
_	_	_	O
밝혀	밝히+어	VV+EC	O
_	_	_	O
클린턴	클린턴	NNP	B-PER
에	에	JKB	O
_	_	_	O
여전히	여전히	MAG	O
_	_	_	O
부담	부담	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
고	고	EC	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 12
## 브릭스(BRICs) 국가 중에서는 러시아와 인도가 대표적이다.
## <브릭스:ORG>(<BRICs:ORG>) 국가 중에서는 <러시아:ORG>와 <인도:ORG>가 대표적이다.
브릭스	브릭스	NNB	B-ORG
(	(	SS	O
BRICs	BRICs	SL	B-ORG
)	)	SS	O
_	_	_	O
국가	국가	NNG	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
러시아	러시아	NNP	B-ORG
와	와	JC	O
_	_	_	O
인도	인도	NNP	B-ORG
가	가	JKS	O
_	_	_	O
대표적	대표적	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 성적은 1패, 방어율 6.88(17이닝 13자책점)에 그쳤다.
## 성적은 <1패:NOH>, 방어율 <6.88:PNT>(<17이닝:NOH> <13자책점:NOH>)에 그쳤다.
성적	성적	NNG	O
은	은	JX	O
_	_	_	O
1	1	SN	B-NOH
패	패	NNB	I-NOH
,	,	SP	O
_	_	_	O
방어율	방어율	NNG	O
_	_	_	O
6.88	6.88	SN	B-PNT
(	(	SS	O
17	17	SN	B-NOH
이닝	이닝	NNG	I-NOH
_	_	_	O
13	13	SN	B-NOH
자책점	자책점	NNG	I-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
그	그치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 미국 외교정책에서 큰 역할을 차지하는 의회의 여야가 바뀌어 미국 의회의 중요성이 그만큼 커졌다는 것이 전문가들의 지적이다.
## <미국:ORG> 외교정책에서 큰 역할을 차지하는 의회의 여야가 바뀌어 <미국 의회:ORG>의 중요성이 그만큼 커졌다는 것이 전문가들의 지적이다.
미국	미국	NNP	B-ORG
_	_	_	O
외교	외교	NNG	O
정책	정책	NNG	O
에서	에서	JKB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
차지하	차지하	VV	O
는	는	ETM	O
_	_	_	O
의회	의회	NNG	O
의	의	JKG	O
_	_	_	O
여야	여야	NNG	O
가	가	JKS	O
_	_	_	O
바뀌	바뀌	VV	O
어	어	EC	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
의회	의회	NNG	I-ORG
의	의	JKG	O
_	_	_	O
중요성	중요성	NNG	O
이	이	JKS	O
_	_	_	O
그만큼	그만큼	MAG	O
_	_	_	O
커	커지	VV	O
졌	었	EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
전문가	전문가	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
지적	지적	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

