## 1
## 《 딱 10년 전이다,
## 《 딱 <10년:NOH> 전이다,
《	《	SS	O
이벤트	이벤트	NNG	O
를	를	JKO	O
_	_	_	O
운영하	운영하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
고객	고객	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
혜택	혜택	NNG	O
을	을	JKO	O
_	_	_	O
제공한다	제공하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 우선 현대차는 본인을 포함해 직계존비속, 형제자매 중 이 전에 쏘나타를 구매했던 이력이 있는 쏘나타 구매 고객에게 차량 가격 30만 원 할인을 제공해 주는 ‘쏘나타 패밀리 가격 할인 이벤트’를 진행한다.
## 우선 <현대차:ORG>는 본인을 포함해 직계존비속, 형제자매 중 이 전에 <쏘나타:POH>를 구매했던 이력이 있는 <쏘나타:POH> 구매 고객에게 차량 가격 <30만 원:MNY> 할인을 제공해 주는 ‘<쏘나타:POH> 패밀리 가격 할인 이벤트’를 진행한다.
우선	우선	MAG	O
_	_	_	O
현대차	현대차	NNP	B-ORG
는	는	JX	O
_	_	_	O
본인	본인	NNG	O
을	을	JKO	O
_	_	_	O
포함해	포함하+여	VV+EC	O
_	_	_	O
직계	직계	NNG	O
존비속	존비속	NNG	O
,	,	SP	O
_	_	_	O
형제자매	형제자매	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
이	이	MM	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
쏘나타	쏘나타	NNP	B-POH
를	를	JKO	O
_	_	_	O
구매	구매하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
이력	이력	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
쏘나타	쏘나타	NNP	B-POH
_	_	_	O
구매	구매	NNG	O
_	_	_	O
고객	고객	NNG	O
에게	에게	JKB	O
_	_	_	O
차량	차량	NNG	O
_	_	_	O
가격	가격	NNG	O
_	_	_	O
30	30	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
할인	할인	NNG	O
을	을	JKO	O
_	_	_	O
제공해	제공하+여	VV+EC	O
_	_	_	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
쏘나타	쏘나타	NNP	B-POH
_	_	_	O
패밀리	패밀리	NNG	O
_	_	_	O
가격	가격	NNG	O
_	_	_	O
할인	할인	NNG	O
_	_	_	O
이벤트	이벤트	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
진행한다	진행하+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 지난 1월 말 문을 연 이마트가 600m이내 거리로, 주변 병원, 상가 등 다양한 편의시설 이용이 편리하다.
## 지난 <1월:DAT> 말 문을 연 <이마트:LOC>가 <600m:NOH>이내 거리로, 주변 병원, 상가 등 다양한 편의시설 이용이 편리하다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
말	말	NNB	O
_	_	_	O
문	문	NNG	O
을	을	JKO	O
_	_	_	O
연	열+ㄴ	VV+ETM	O
_	_	_	O
이마트	이마트	NNP	B-LOC
가	가	JKS	O
_	_	_	O
600	600	SN	B-NOH
m	m	SL	I-NOH
이내	이내	NNG	O
_	_	_	O
거리	거리	NNG	O
로	로	JKB	O
,	,	SP	O
_	_	_	O
주변	주변	NNG	O
_	_	_	O
병원	병원	NNG	O
,	,	SP	O
_	_	_	O
상가	상가	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
편의	편의	NNG	O
시설	시설	NNG	O
_	_	_	O
이용	이용	NNG	O
이	이	JKS	O
_	_	_	O
편리하	편리하	VA	O
다	다	EF	O
.	.	SF	O

## 7
## 한강신도시 모아엘가 2차는 계약금(1차) 정액제(1000만 원)와 중도금 전액(60%) 무이자 대출조건으로 내 집 마련을 꿈꾸는 수요자들의 부담을 덜어주고 있다.
## <한강신도시:LOC> 모아엘가 <2차:NOH>는 계약금(<1차:NOH>) 정액제(<1000만 원:MNY>)와 중도금 전액(<60%:PNT>) 무이자 대출조건으로 내 집 마련을 꿈꾸는 수요자들의 부담을 덜어주고 있다.
한강신도시	한강신도시	NNP	B-LOC
_	_	_	O
모아엘가	모아엘가	NNP	O
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
는	는	JX	O
_	_	_	O
계약금	계약금	NNG	O
(	(	SS	O
1	1	SN	B-NOH
차	차	NNB	I-NOH
)	)	SS	O
_	_	_	O
정액	정액	NNG	O
제	제	XSN	O
(	(	SS	O
1000	1000	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
와	와	JKB	O
_	_	_	O
중도금	중도금	NNG	O
_	_	_	O
전액	전액	NNG	O
(	(	SS	O
60	60	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
무이자	무이자	NNG	O
_	_	_	O
대출	대출	NNG	O
조건	조건	NNG	O
으로	으로	JKB	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
집	집	NNG	O
_	_	_	O
마련	마련	NNG	O
을	을	JKO	O
_	_	_	O
꿈꾸	꿈꾸	VV	O
는	는	ETM	O
_	_	_	O
수요자	수요자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
부담	부담	NNG	O
을	을	JKO	O
_	_	_	O
덜	덜	VV	O
어	어	EC	O
주	주	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 8
## 저자는 그간 아시아를 들볶았던 워싱턴 합의(미국이 정한 국제질서)나 신자유주의는 서구의 잣대일 뿐이라고 갈파한다.
## 저자는 그간 <아시아:LOC>를 들볶았던 <워싱턴 합의:POH>(<미국:ORG>이 정한 국제질서)나 신자유주의는 서구의 잣대일 뿐이라고 갈파한다.
저자	저자	NNG	O
는	는	JX	O
_	_	_	O
그간	그간	NNG	O
_	_	_	O
아시아	아시아	NNP	B-LOC
를	를	JKO	O
_	_	_	O
들볶	들볶	VV	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
워싱턴	워싱턴	NNP	B-POH
_	_	_	I-POH
합의	합의	NNG	I-POH
(	(	SS	O
미국	미국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
정한	정하+ㄴ	VV+ETM	O
_	_	_	O
국제	국제	NNG	O
질서	질서	NNG	O
)	)	SS	O
나	나	JC	O
_	_	_	O
신자유주의	신자유주의	NNG	O
는	는	JX	O
_	_	_	O
서구	서구	NNP	O
의	의	JKG	O
_	_	_	O
잣대	잣대	NNG	O
일	일	NNP	O
_	_	_	O
뿐	뿐	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
갈파한다	갈파하+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 진짜사나이 신소율-한그루 등 출연진, 실제 ‘키·체중’ 공개…프로필과 다른 멤버는?
## 진짜사나이 <신소율:PER>-<한그루:PER> 등 출연진, 실제 ‘키·체중’ 공개…프로필과 다른 멤버는?
진짜	진짜	NNG	O
사나이	사나이	NNG	O
_	_	_	O
신소	신소	NNG	B-PER
율	율	XSN	I-PER
-	-	SO	O
한	한	MM	B-PER
그루	그루	NNB	I-PER
_	_	_	O
등	등	NNB	O
_	_	_	O
출연진	출연진	NNG	O
,	,	SP	O
_	_	_	O
실제	실제	NNG	O
_	_	_	O
‘	‘	SS	O
키	키	NNG	O
·	·	SP	O
체중	체중	NNG	O
’	’	SS	O
_	_	_	O
공개	공개	NNG	O
…	…	SE	O
프로필	프로필	NNG	O
과	과	JC	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
멤버	멤버	NNG	O
는	는	JX	O
?	?	SF	O

## 10
## 고사목은 베어졌지만 재선충병으로부터 지켜야 할 많은 소나무들이 우리의 푸른 숲을 이루고 있기 때문에 미리 살펴 관찰하는 예찰이 더욱 중요한 까닭. 모니터링센터는 출범 1주년을 맞아 예찰·방제인력의 역량 강화뿐 아니라 예찰의 사각지대 해소를 위해 찾아가는 교육을 실시하고 SNS 등을 활용한 정보 제공 서비스의 장을 확대할 계획이다.
## 고사목은 베어졌지만 재선충병으로부터 지켜야 할 많은 소나무들이 우리의 푸른 숲을 이루고 있기 때문에 미리 살펴 관찰하는 예찰이 더욱 중요한 까닭. 모니터링센터는 출범 <1주년:NOH>을 맞아 예찰·방제인력의 역량 강화뿐 아니라 예찰의 사각지대 해소를 위해 찾아가는 교육을 실시하고 SNS 등을 활용한 정보 제공 서비스의 장을 확대할 계획이다.
고사목	고사목	NNG	O
은	은	JX	O
_	_	_	O
베	베	VV	O
어	어	EC	O
졌	지+었	VX+EP	O
지만	지만	EC	O
_	_	_	O
재선	재선	NNG	O
충	충	NNG	O
병	병	NNG	O
으로부터	으로부터	JKB	O
_	_	_	O
지켜야	지키+어야	VV+EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
소나무	소나무	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
우리	우리	NP	O
의	의	JKG	O
_	_	_	O
푸른	푸르+ㄴ	VA+ETM	O
_	_	_	O
숲	숲	NNG	O
을	을	JKO	O
_	_	_	O
이루	이루	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
미리	미리	MAG	O
_	_	_	O
살펴	살피+어	VV+EC	O
_	_	_	O
관찰하	관찰하	VV	O
는	는	ETM	O
_	_	_	O
예찰	예찰	NNG	O
이	이	JKS	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
까닭	까닭	NNG	O
.	.	SF	O
_	_	_	O
모니터링	모니터링	NNG	O
센터	센터	NNG	O
는	는	JX	O
_	_	_	O
출범	출범	NNG	O
_	_	_	O
1	1	SN	B-NOH
주년	주년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
아	고	EC	O
_	_	_	O
예찰	예찰	NNG	O
·	·	SP	O
방제	방제	NNG	O
인력	인력	NNG	O
의	의	JKG	O
_	_	_	O
역량	역량	NNG	O
_	_	_	O
강화	강화	NNG	O
뿐	뿐	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
예찰	예찰	NNG	O
의	의	JKG	O
_	_	_	O
사각지대	사각지대	NNG	O
_	_	_	O
해소	해소	NNG	O
를	를	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
찾아가	찾아가	VV	O
는	는	ETM	O
_	_	_	O
교육	교육	NNG	O
을	을	JKO	O
_	_	_	O
실시하	실시하	VV	O
고	고	EC	O
_	_	_	O
SNS	SNS	SL	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
활용한	활용하+ㄴ	VV+ETM	O
_	_	_	O
정보	정보	NNG	O
_	_	_	O
제공	제공	NNG	O
_	_	_	O
서비스	서비스	NNG	O
의	의	JKG	O
_	_	_	O
장	장	NNB	O
을	을	JKO	O
_	_	_	O
확대할	확대하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 국제자산신탁이 자금관리하고 천마종합건설에서 책임준공하는 ‘중문 오션 클라우드’는 중산간로와 일주로를 통해 서귀포시내로 10분대에 진입할 수 있으며, 단지 바로 앞에 30m도시계획도로(인도 포함 4차로)가 조성될 예정이라 접근성 및 교통 여건이 매우 뛰어나다.
## <국제자산신탁:POH>이 자금관리하고 <천마종합건설:POH>에서 책임준공하는 ‘<중문 오션 클라우드:LOC>’는 중산간로와 일주로를 통해 <서귀포:LOC>시내로 <10분:NOH>대에 진입할 수 있으며, 단지 바로 앞에 <30m:NOH>도시계획도로(인도 포함 <4차로:NOH>)가 조성될 예정이라 접근성 및 교통 여건이 매우 뛰어나다.
국제	국제	NNG	B-POH
자산	자산	NNG	I-POH
신탁	신탁	NNG	I-POH
이	이	JKS	O
_	_	_	O
자금	자금	NNG	O
관리	관리	NNG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
천마	천마	NNG	B-POH
종합	종합	NNG	I-POH
건설	건설	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
책임	책임	NNG	O
준공	준공	NNG	O
하	하	XSV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
중문	중문	NNG	B-LOC
_	_	_	I-LOC
오션	오션	NNG	I-LOC
_	_	_	I-LOC
클라우드	클라우드	NNG	I-LOC
’	’	SS	O
는	는	JX	O
_	_	_	O
중	중	NNG	O
산간	산간	NNG	O
로	로	XSN	O
와	와	JKB	O
_	_	_	O
일	일	NNP	O
주로	주로	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
서귀포	서귀포	NNP	B-LOC
시내	시내	NNG	O
로	로	JKB	O
_	_	_	O
10	10	SN	B-NOH
분	분	NNB	I-NOH
대	대	XSN	O
에	에	JKB	O
_	_	_	O
진입할	진입하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
단지	단지	NNG	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
앞	앞	NNG	O
에	에	JKB	O
_	_	_	O
30	30	SN	B-NOH
m	m	SL	I-NOH
도시	도시	NNG	O
계획	계획	NNG	O
도로	도로	NNG	O
(	(	SS	O
인도	인도	NNP	O
_	_	_	O
포함	포함	NNG	O
_	_	_	O
4	4	SN	B-NOH
차	차	NNB	I-NOH
로	로	JKB	I-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
조성될	조성되+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
접근성	접근성	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
교통	교통	NNG	O
_	_	_	O
여건	여건	NNG	O
이	이	JKS	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
뛰어나	뛰어나	VA	O
다	다	EF	O
.	.	SF	O

## 12
## 본보기집은 제주시 한라대학로 37(노형동 3813-10번지)에 있다.
## 본보기집은 <제주시:LOC> <한라대학로 37:LOC>(<노형동 3813-10번지:LOC>)에 있다.
본보기	본보기	NNG	O
집	집	NNG	O
은	은	JX	O
_	_	_	O
제주시	제주시	NNP	B-LOC
_	_	_	O
한라	한라	NNP	B-LOC
대학로	대학로	NNP	I-LOC
_	_	_	I-LOC
37	37	SN	I-LOC
(	(	SS	O
노형동	노형동	NNP	B-LOC
_	_	_	I-LOC
3813	3813	SN	I-LOC
-	-	SO	I-LOC
10	10	SN	I-LOC
번지	번지	NNG	I-LOC
)	)	SS	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 13
## 아이오와 주 유권자들의 보수 기독교 성향도 크루즈에게는 우군이다.
## <아이오와 주:LOC> 유권자들의 보수 기독교 성향도 <크루즈:PER>에게는 우군이다.
아이오와	아이오와	NNP	B-LOC
_	_	_	I-LOC
주	주	NNP	I-LOC
_	_	_	O
유권자	유권자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
보수	보수	NNG	O
_	_	_	O
기독교	기독교	NNG	O
_	_	_	O
성향	성향	NNG	O
도	도	JX	O
_	_	_	O
크루즈	크루즈	NNG	B-PER
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
우군	우군	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

