## 1
## 수도권에서 한해 죽는 사람이 10만 명 내외이기 때문에 1만 5천 명이란 숫자는 매우 큰 수다.
## <수도권:LOC>에서 한해 죽는 사람이 <10만 명:NOH> 내외이기 때문에 <1만 5천 명:NOH>이란 숫자는 매우 큰 수다.
수도권	수도권	NNG	B-LOC
에서	에서	JKB	O
_	_	_	O
물놀이	물놀이	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
바네사	바네사	NNP	B-PER
_	_	_	I-PER
후펜코텐	후펜코텐	NNG	I-PER
의	의	JKG	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이제 kt 젊은 투수들이 이에 응답할 때다.
## 이제 <kt:ORG> 젊은 투수들이 이에 응답할 때다.
이제	이제	MAG	O
_	_	_	O
kt	kt	SL	B-ORG
_	_	_	O
젊	젊	VA	O
은	은	ETM	O
_	_	_	O
투수	투수	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
이	이	NP	O
에	에	JKB	O
_	_	_	O
응답할	응답하+ㄹ	VV+ETM	O
_	_	_	O
때	때+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 노령층 관광객들은 성륜사, 태안사 등 사찰이나 막걸리를 빚는 곡성·죽곡 주조장을 둘러보는 것을 좋아한다.
## 노령층 관광객들은 <성륜사:LOC>, <태안사:LOC> 등 사찰이나 막걸리를 빚는 <곡성:LOC>·<죽곡:LOC> 주조장을 둘러보는 것을 좋아한다.
노령	노령	NNG	O
층	층	XSN	O
_	_	_	O
관광객	관광객	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
성	성	NNG	B-LOC
륜	륜	NNG	I-LOC
사	사	NNG	I-LOC
,	,	SP	O
_	_	_	O
태안사	태안사	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
사찰	사찰	NNG	O
이나	이나	JC	O
_	_	_	O
막걸리	막걸리	NNG	O
를	를	JKO	O
_	_	_	O
빚	빚	VV	O
는	는	ETM	O
_	_	_	O
곡성	곡성	NNP	B-LOC
·	·	SP	O
죽	죽	NNG	B-LOC
곡	곡	XSN	I-LOC
_	_	_	O
주조장	주조장	NNG	O
을	을	JKO	O
_	_	_	O
둘러보	둘러보	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
좋아한다	좋아하+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## NC는 16일까지 좌완 상대 타율 0.303으로 이 부문 1위를 달리고 있다.
## <NC:ORG>는 <16일:DAT>까지 좌완 상대 타율 <0.303:PNT>으로 이 부문 <1위:NOH>를 달리고 있다.
NC	NC	SL	B-ORG
는	는	JX	O
_	_	_	O
16	16	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
좌완	좌완	NNG	O
_	_	_	O
상대	상대	NNG	O
_	_	_	O
타율	타율	NNG	O
_	_	_	O
0.303	0.303	SN	B-PNT
으로	으로	JKB	O
_	_	_	O
이	이	MM	O
_	_	_	O
부문	부문	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
달리	달리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## 물론 요즘은 4색 잉크 제품도 충분히 고품질 사진을 뽑을 수 있습니다만, 그래도 6색 잉크에는 미치지 못하죠. 30만원대 이하에서 추천 할 만한 제품은 이하 2가지 입니다.
## 물론 요즘은 <4색:NOH> 잉크 제품도 충분히 고품질 사진을 뽑을 수 있습니다만, 그래도 <6색:NOH> 잉크에는 미치지 못하죠. <30만원:MNY>대 이하에서 추천 할 만한 제품은 이하 <2가지:NOH> 입니다.
물론	물론	MAG	O
_	_	_	O
요즘	요즘	NNG	O
은	은	JX	O
_	_	_	O
4	4	SN	B-NOH
색	색	NNG	I-NOH
_	_	_	O
잉크	잉크	NNG	O
_	_	_	O
제품	제품	NNG	O
도	도	JX	O
_	_	_	O
충분히	충분히	MAG	O
_	_	_	O
고품질	고품질	NNG	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
뽑	뽑	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
습니다	습니다	EC	O
만	만	JX	O
,	,	SP	O
_	_	_	O
그래도	그리하+여도	VV+EC	O
_	_	_	O
6	6	SN	B-NOH
색	색	NNG	I-NOH
_	_	_	O
잉크	잉크	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
미치	미치	VV	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
죠	죠	EF	O
.	.	SF	O
_	_	_	O
30	30	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
대	대	XSN	O
_	_	_	O
이하	이하	NNG	O
에서	에서	JKB	O
_	_	_	O
추천	추천	NNG	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
제품	제품	NNG	O
은	은	JX	O
_	_	_	O
이하	이하	NNG	O
_	_	_	O
2	2	SN	B-NOH
가지	가지	NNB	I-NOH
_	_	_	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 10
## 캐논 PIXMA G3900프린트 외에 스캔, 복사까지 가능한 복합기 형식의 제품으로, 4색 무한 잉크통까지 탑재했습니다.
## <캐논 PIXMA G3900프린트:POH> 외에 스캔, 복사까지 가능한 복합기 형식의 제품으로, <4색:NOH> 무한 잉크통까지 탑재했습니다.
캐논	캐논	NNG	B-POH
_	_	_	I-POH
PIXMA	PIXMA	SL	I-POH
_	_	_	I-POH
G	G	SL	I-POH
3900	3900	SN	I-POH
프린트	프린트	NNG	I-POH
_	_	_	O
외	외	NNB	O
에	에	JKB	O
_	_	_	O
스캔	스캔	NNG	O
,	,	SP	O
_	_	_	O
복사	복사	NNG	O
까지	까지	JX	O
_	_	_	O
가능한	가능하+ㄴ	VA+ETM	O
_	_	_	O
복합	복합	NNG	O
기	기	XSN	O
_	_	_	O
형식	형식	NNG	O
의	의	JKG	O
_	_	_	O
제품	제품	NNG	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
4	4	SN	B-NOH
색	색	NNG	I-NOH
_	_	_	O
무한	무한	NNG	O
_	_	_	O
잉크통	잉크통	NNG	O
까지	까지	JX	O
_	_	_	O
탑재	탑재하	VV	O
했	였	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 11
## 박 의원이 탈당하면서 그의 국회 교육문화체육관광위원장(교문위원장)직도 논란거리다.
## <박:PER> 의원이 탈당하면서 그의 국회 교육문화체육관광위원장(교문위원장)직도 논란거리다.
박	박	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
이	이	JKS	O
_	_	_	O
탈당	탈당	NNG	O
하	하	XSV	O
면서	면서	EC	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
국회	국회	NNG	O
_	_	_	O
교육	교육	NNG	O
문화	문화	NNG	O
체육	체육	NNG	O
관광	관광	NNG	O
위원장	위원장	NNG	O
(	(	SS	O
교문	교문	NNG	O
위원장	위원장	NNG	O
)	)	SS	O
직도	직도	NNG	O
_	_	_	O
논란거리	논란거리+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

