## 1
## 텃밭을 가꿔본 국민들의 국산농산물 구매의사는 67.6%로 도시농업을 체험하지 않은 사람보다 7.7%포인트 높은 것으로 나타났다.
## 텃밭을 가꿔본 국민들의 국산농산물 구매의사는 <67.6%:PNT>로 도시농업을 체험하지 않은 사람보다 <7.7%:PNT>포인트 높은 것으로 나타났다.
텃밭	텃밭	NNG	O
## 전문가들은 “스팩은 상장 이후 본격적으로 M&A에 나서기 때문에 어떤 기업과 합병될지 알 수 없다”며 “따라서 우량기업 인수 경험이 많은 증권사를 찾아야 하고 무엇보다 최대 3년간 자금이 묶일 수 있는 만큼 여윳돈을 갖고 투자해야 한다”고 강조했다.
## 전문가들은 “스팩은 상장 이후 본격적으로 M&A에 나서기 때문에 어떤 기업과 합병될지 알 수 없다”며 “따라서 우량기업 인수 경험이 많은 증권사를 찾아야 하고 무엇보다 최대 <3년간:DUR> 자금이 묶일 수 있는 만큼 여윳돈을 갖고 투자해야 한다”고 강조했다.
전문가	전문가	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
스팩	스팩	NNG	O
은	은	JX	O
_	_	_	O
상장	상장	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
본격적	본격적	NNG	O
으로	으로	JKB	O
_	_	_	O
M	M	SL	O
&	&	SW	O
A	A	SL	O
에	에	JKB	O
_	_	_	O
나서	나서	VV	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
어떤	어떤	MM	O
_	_	_	O
기업	기업	NNG	O
과	과	JKB	O
_	_	_	O
합병	합병	NNG	O
될지	되+ㄹ지	XSV+EC	O
_	_	_	O
알	알+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
따라서	따라서	MAJ	O
_	_	_	O
우량	우량	NNG	O
기업	기업	NNG	O
_	_	_	O
인수	인수	NNG	O
_	_	_	O
경험	경험	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
증권사	증권사	NNG	O
를	를	JKO	O
_	_	_	O
찾	찾	VV	O
아야	아야	EC	O
_	_	_	O
하	하	VX	O
고	고	EC	O
_	_	_	O
무엇	무엇	NP	O
보다	보다	JKB	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
3	3	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
자금	자금	NNG	O
이	이	JKS	O
_	_	_	O
묶일	묶이+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
여윳돈	여윳돈	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
투자해야	투자하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 정상회담실현까지의 시간을 단축시키기 위하여 예비회담에서는 의제는 논의하지 않고 그대신 예비회담의 토의 안건은 ①언제②어디서③어떻게의 세 가지로 국한시켰으면 하는 것이 우리측의 입장인 것으로 전해지고 있기 때문이다.
## 정상회담실현까지의 시간을 단축시키기 위하여 예비회담에서는 의제는 논의하지 않고 그대신 예비회담의 토의 안건은 <①:NOH>언제<②:NOH>어디서<③:NOH>어떻게의 <세 가지:NOH>로 국한시켰으면 하는 것이 <우리:ORG>측의 입장인 것으로 전해지고 있기 때문이다.
정상회담	정상회담	NNG	O
실현	실현	NNG	O
까지	까지	JX	O
의	의	JKG	O
_	_	_	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
단축	단축	NNG	O
시키	시키	XSV	O
기	기	ETN	O
_	_	_	O
위하	위하	VV	O
여	여	EC	O
_	_	_	O
예비	예비	NNG	O
회담	회담	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
의제	의제	NNG	O
는	는	JX	O
_	_	_	O
논의하	논의하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
그	그	MM	O
대신	대신	NNG	O
_	_	_	O
예비회담	예비회담	NNG	O
의	의	JKG	O
_	_	_	O
토의	토의	NNG	O
_	_	_	O
안건	안건	NNG	O
은	은	JX	O
_	_	_	O
①	①	SW	B-NOH
언제	언제	MAG	O
②	②	SW	B-NOH
어디	어디	NP	O
서	서	JKB	O
③	③	SW	B-NOH
어떻	어떻	VA	O
게	게	EC	O
의	의	JKG	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	I-NOH
가지	가지	NNB	I-NOH
로	로	JKB	O
_	_	_	O
국한	국한	NNG	O
시	시키	XSV	O
켰	었	EP	O
으면	으면	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
우리	우리	NP	B-ORG
측	측	NNB	O
의	의	JKG	O
_	_	_	O
입장	입장	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전해	전하+여	VV+EC	O
지	지	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## ―대안을 관철시키는 게 직언이라고? “민정수석 시절이던 1986년 한강 세모유람선에 서울시 공무원이 들어가려다 구타당했다는 신문 기사가 났다.
## ―대안을 관철시키는 게 직언이라고? “민정수석 시절이던 <1986년:DAT> <한강:LOC> <세모유람선:LOC>에 <서울시:ORG> 공무원이 들어가려다 구타당했다는 신문 기사가 났다.
―	―	SS	O
대안	대안	NNG	O
을	을	JKO	O
_	_	_	O
관철	관철	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
직언	직언	NNG	O
이	이	VCP	O
라고	라고	EF	O
?	?	SF	O
_	_	_	O
“	“	SS	O
민정	민정	NNG	O
수석	수석	NNG	O
_	_	_	O
시절	시절	NNG	O
이	이	VCP	O
던	던	ETM	O
_	_	_	O
1986	1986	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
한강	한강	NNP	B-LOC
_	_	_	O
세모	세모	NNP	B-LOC
유람선	유람선	NNG	I-LOC
에	에	JKB	O
_	_	_	O
서울시	서울시	NNP	B-ORG
_	_	_	O
공무원	공무원	NNG	O
이	이	JKS	O
_	_	_	O
들어가	들어가	VV	O
려다	려다	EC	O
_	_	_	O
구타	구타	NNG	O
당	당하	XSV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
신문	신문	NNG	O
_	_	_	O
기사	기사	NNG	O
가	가	JKS	O
_	_	_	O
났	나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이상하다 싶어 직원들에게 알아보라 했더니 유람선을 운영하는 유병언 삼우트레이딩 대표가 대통령을 팔고 다닌다는 거였다.
## 이상하다 싶어 직원들에게 알아보라 했더니 유람선을 운영하는 <유병언:PER> <삼우트레이딩:ORG> 대표가 대통령을 팔고 다닌다는 거였다.
이상하	이상하	VA	O
다	다	EC	O
_	_	_	O
싶	싶	VX	O
어	어	EC	O
_	_	_	O
직원	직원	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
알아보	알아보	VV	O
라	라	EC	O
_	_	_	O
했	+였	+EP	O
더니	더니	EC	O
_	_	_	O
유람선	유람선	NNG	O
을	을	JKO	O
_	_	_	O
운영하	운영하	VV	O
는	는	ETM	O
_	_	_	O
유병언	유병언	NNP	B-PER
_	_	_	O
삼우트레이딩	삼우트레이딩	NNP	B-ORG
_	_	_	O
대표	대표	NNG	O
가	가	JKS	O
_	_	_	O
대통령	대통령	NNG	O
을	을	JKO	O
_	_	_	O
팔	팔	VV	O
고	고	EC	O
_	_	_	O
다닌다는	다니+ㄴ다는	VV+ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

